公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 四川谦庭集团有限公司	     	魏经理	     	15882473832	     	四川 成都
成都中天良薄膜开关有限公司	     	朱经理	     	13688248831	     	四川 成都
成都金沙职业技术学校	     	罗艳	     	13547832406	     	四川 成都
-0825-6688300	     	荣敏女士(销售)	     	称：隆鑫包装有限公司	     	四川 遂宁四川 射洪县 顺美大道隆鑫科技园公司官网：http://www.lxpg.net.cn/#公司电话：86-0825-6688300公司传真：86-0825-6688300
 0826 2813786	     	余	     	称：四川省广安德力玻璃制品有限公司	     	四川 广安四川 广安市 广安前锋48号公司官网：http://www.jmgs01.com.cn公司电话：86 0826 2813786
-0825-2620999	     	李霖先生(厂长)	     	称：遂宁市桃源印刷厂	     	四川 遂宁四川 遂宁市 四川遂宁遂宁公司电话：86-0825-2620999公司传真：86--
-028-82410605	     	吴娟女士(技术员)	     	称：成都市新津托展油墨有限公司技术开发部	     	四川 成都四川 成都市 新津花源工业园区公司电话：86-028-82410605公司传真：86-028-82410605
-028-84116550	     	龙渊先生(成都地区主管)	     	称：广州蓝邦电子五金材料有限公司	     	四川 成都四川 成都市 成都市成华区二仙桥东路公司电话：86-028-84116550公司传真：86-028-84116550
-028-68691292	     	孙学容女士(联系人)	     	称：成都共同商贸有限公司	     	四川 成都四川 成都市 成都市一环路东五段118号东恒国际1栋2区311号公司电话：86-028-68691292公司传真：86-028-68691291
-0827-6223257	     	：浙江杭州志大丝印器材&lt;四川分公司&gt	     	86-0827-7803896	     	四川 巴中四川 平昌县 新平街道公司电话：86-0827-7803896公司传真：86-0827-6223257
-28-84200622	     	满小辉先生	     	称：成都市天彩有限公司	     	四川 成都四川 成都市 白果林小区文华路/或者-成华区龙潭东路公司电话：86-28-84200622公司传真：86-28-84200622
-028-83190060	     	张小刚先生(营销部)	     	称：成都睿祥科技发展有限公司	     	四川 成都四川 成都市金牛区 西北桥桥边街1号五丁苑金牛座0803号公司官网：http://www.cdruixiang.cn公司电话：86-028-83190060公司传真：86-028-83187589
 028 67325585	     	陈志林	     	称：成都晶合光电科技有限公司	     	四川 成都四川 成都市新都区 新都工业开发区新力路公司官网：http://www.czl4855.cn公司电话：86 028 67325585公司传真：86 028 83963880
-0813-3958038	     	张玉桃女士(经理)	     	称：自贡市宇星碳素制品有限公司	     	四川 自贡四川 自贡市 自贡市沿滩区詹井街9号公司官网：http://zhytyux.2b2.hc360.com公司电话：86-0813-3958038公司传真：86-0813-3958188
成都基汇设备耗材有限责任公司	     	胡崇	     	15884444607	     	四川 成都
四川泸州捌陆壹环保包装制品有限公司	     	邹先生	     	13882749185	     	四川 泸州公司电话：0830-3892571
-028-66796863	     	兰祥彬先生	     	称：成都南山广告制卡中心	     	四川 成都四川 成都市 成都市金牛区长福街89号公司官网：http://nsled.cn公司电话：86-028-66796863公司传真：86-028-87692667
-28-66070356	     	谢先生先生(经理)	     	称：成都帕丽斯特国际贸易有限责任公司工程塑料部	     	四川 成都四川 成都市 成都高新区天府大道高新孵化园公司官网：http://www.ps_lenticular.com公司电话：86-28-66070356公司传真：86-28-66070350
成都神标防伪科技有限公司	     	赵代银	     	13219008360	     	四川 成都四川省成都市双流县九江镇马家寺社区公司电话：028-67082021
成都市永莱特油墨有限公司	     	周林	     	13882271745	     	四川 成都公司电话：028-89993722
-028-83420397	     	张浩先生(销售经理)	     	称：四川省成都市雄港特种玻璃制造有限公司	     	四川 成都四川 成都市 四川省成都市公司电话：86-028-83420397公司传真：86-028-83421513
成都禾绳包装有限公司	     	徐艳	     	18200522039	     	四川 成都中国 四川 成都市 成都市高新区世纪城路新会展中心南侧公司官网：http://www.51buybags.com公司电话：86 028  65573220公司传真：86 028 65573221
成都市金世通印刷厂	     	郭先生	     	13708223941	     	四川 成都公司电话：13708223941
河南豫晖矿山机械有限公司	     	石先生	     	13803857310	     	四川 泸州公司电话：0371-55616668
四川谦庭集团有限公司	     	魏经理	     	15882473832	     	四川 成都
成都中天良薄膜开关有限公司	     	朱经理	     	13688248831	     	四川 成都
成都金沙职业技术学校	     	罗艳	     	13547832406	     	四川 成都
