公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
成都誉祥金属丝网有限公司	王鑫	18081062063	四川 成都
四川成都越琪科技有限公司	陈小林	13550006836	四川 成都四川省成都市金府路799号金府国际1栋29楼6-1公司官网：http://www.sclongdun.com.cn公司电话：028-61286105公司传真：028-61286105
四川安华金属丝网制造有限公司	刘玉	13880962273	四川 成都公司电话：028-87668111
四川威盛金属丝网制造有限公司	景斌	13076085857	四川 成都公司电话：028-83189729
四川越琪科技有限公司	王毅巧	13880000379	四川 成都公司电话：028-61286105-688
四川鑫智成金属丝网制造有限公司	王云	18181977110	四川 成都公司电话：028-89993909
四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
四川省亿琪交通设施有限	刘女士	15282280537	四川 资阳四川省资阳市雁江区万达B座22楼2210
四川璐森围栏工程公司	李义	18180888577	四川 成都
四川双华拔丝织网有限公司	余婷	15882477645	四川 成都
