公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都坤恒顺维科技股份有限公司	     	陈西	     	17729838053	     	四川 成都
成都迅磊科技有限公司	     	李经理	     	13880808080	     	四川 成都成都市金牛区金府路593号公司官网：www.cdxunlei.com公司传真：028-87697060-808
成都凯特斯科技有限公司	     	段先生	     	17138084066	     	四川 成都成都高新区
成都市平恒电子衡器有限公司	     	鲁跃平	     	13551309798	     	四川 成都四川成都市金牛区金府路6号公司电话：028-66944292公司传真：028-87696018
8-61418186	     	8780204528	     	称：成都华海洋电科技有限公司	     	四川 成都中国四川成都市成都市金牛区营门口39号6楼24号公司电话：028-61418186公司传真：028-61418186
8-85182001	     	张松林	     	称：成都深澳科技有限责任公司	     	四川 成都四川省成都市武侯区芳草西一街2号公司电话：028-85182001公司传真：028-85184620
成都成刃螺纹工量具销售有限公司	     	彭叶波	     	13438208936	     	四川 成都四川省成都市成华区二环路东一段14号公司电话：028-85000173公司传真：028-85436720
8-86265097	     	刘斌	     	称：成都旭升恒业科技有限公司	     	四川 成都四川省成都市青羊区西御河沿街５号附１４号公司电话：028-86265097公司传真： 
8-82009599 	     	李	     	称：成都圣洪生物科技有限公司	     	四川 成都四川省成都市成飞大道1号青羊工业园电子商务大厦4楼公司电话：028-82009599 
30-4116085	     	申亚平	     	称：四川天一科技股份有限公司泸州分公司	     	四川 泸州四川省泸州市纳溪区较场坝公司电话：0830-4116085公司传真：0830-4112250
8-87348983	     	吉红伟	     	称：四川金诺建筑仪器有限公司	     	四川 成都四川省成都市青羊区青华路22号附6号公司电话：028-87348983公司传真： 
31-2321233	     	张宾	     	称：宜宾市汇洋商贸有限责任公司	     	四川 宜宾宜宾航天路四川出入境检验检疫局宜宾办事处办公大楼...公司电话：0831-2321233公司传真： 
四川宇恒星光科技有限公司	     	羊凤	     	18990114610	     	四川 绵阳
金牛区跃川机电设备经营部	     	刁启祥	     	13908177207	     	四川 成都成都市金牛区洞子口158号公司官网：www.cdycwyq.com公司电话：028-83105238公司传真：028-82861560
8-87695103	     	王伟	     	称：郫县腾飞电热配套设备厂	     	四川 成都中国 四川 成都市 万贯机电城12号大厅6号门内公司电话：028-87695103公司传真：028-87690265
四川千分尺不动产评估有限公司	     	阚路	     	13908136000	     	四川 乐山四川省乐山市市中区春华路393号公司传真： 
	     	：成都巨力恒科技有限公司	     	028-88530799	     	四川 成都四川成都蒲江公司电话：028-88530799公司传真： 
成都火神仪器仪表有限公司	     	刘明辉	     	18971095566	     	四川 成都新都区兴城大道1955号创想大厦2-1711公司电话：028-61953535
武侯区华天试验仪器经营部	     	孙金凤 经理	     	13880337103	     	四川 成都中国 四川 成都  四川省成都市武侯祠大街252-2号公司电话：028-13880337103
成都市宜邦科析仪器有限公司	     	李军 经理	     	13881883893	     	四川 成都中国 四川 成都  芦竹路468号名商塑化城6幢13A号公司电话：028-84537011
绵阳弘测科技有限公司	     	许晓东经理	     	18981189107	     	四川 绵阳中国 四川 绵阳  .公司电话：018301335519
成都科惠黑山羊有限责任公司	     	薛友洪	     	13550228138	     	四川 成都公司电话：028-000
成都博宇机电经营部	     	胡广宇	     	13689095388	     	四川 成都公司电话：028-61377292
成都齐鲁光普商贸有限公司	     	王瑞强	     	15682121214	     	四川 成都四川省成都市锦江区净居寺路20号科源种子大厦公司官网：www.scnky.cn公司电话：028-64077926
-028-66648516	     	陈建岗先生(经理)	     	称：成都博威自动化工程有限公司	     	四川 成都四川 成都市 成都高新区创业路公司电话：86-028-66648516公司传真：86--
绵阳全光通信科技有限公司	     	丁财金	     	18140371910	     	四川 绵阳四川省绵阳市公司官网：www.my-aoc.com公司电话：0816-6392881公司传真：0816-2861526
成都爱德蒙德光学有限公司	     	陈真	     	13308095422	     	四川 成都公司电话：028-85558543
