公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 四川零极限制冷工程有限公司	张先生	17713404567	四川 成都
四川新越棉机科技有限公司	刘燕	18990397446	四川 眉山
四川新越棉机科技有限公司	帅艳娇	17341954609	四川 眉山四川省眉山市经济开发区新区本草大道南段10号
17-8622294	张益佳	称：四川嘉宝汽车有限责任公司	四川 南充四川省蓬安县周口镇城北路45号公司电话：0817-8622294公司传真：0817-8622459
25-2638608	吴泽卿	称：遂宁市锦达医疗器械有限公司	四川 遂宁四川省遂宁市南津路243-6号公司电话：0825-2638608公司传真：0825-6816389
攀枝花市帅普工贸有限责任公司	魏熙正	13320711369	四川 攀枝花四川省攀枝花市仁和区太平乡花山村公司电话：0812-5545771公司传真： 
成都西星机械有限责任公司	陈海莺	13558658892	四川 成都四川省成都市龙泉驿区农家村公司电话：028-84622448公司传真： 
省成都市金牛区四川省成都市金牛区蜀光路６号１幢...	3408683818	称：四川烨诚医疗器械有限公司	四川 成都四川省成都市金牛区四川省成都市金牛区蜀光路６号１幢...
25-6629894	文刚	称：射洪县金鑫机械厂	四川 遂宁四川省遂宁市射洪县太和镇登云路5号公司电话：0825-6629894公司传真： 
省成都市新都区新繁镇青林村	：新都区新繁镇振兴机械配件加工厂	83004664	四川 成都四川省成都市新都区新繁镇青林村公司电话：83004664
	：四川省棉麻集团有限公司	028-86740381	四川 成都四川省成都市青羊区白丝街56号公司电话：028-86740381公司传真： 
32-2202777/2202722	刘汝泉	称：四川方向光电股份有限公司	四川 内江四川省内江市甜城大道方向光电科技园公司电话：0832-2202777/2202722公司传真：0832-2202724
-028-84125878	：四川三泰祥食品有限公司	86-028-84125778	四川 成都四川 成都市 成都市建设北路三段56号附2号公司官网：http://WWW.ALEN-GE.COM公司电话：86-028-84125778公司传真：86-028-84125878
-0830-3580333	：四川长江工程起重机有限公司	86-0830-3581738	四川 泸州四川 泸州市 茜草坝公司官网：http://www.cj-crane.com公司电话：86-0830-3581738公司传真：86-0830-3580333
-0813-2608035	：自贡市汇东起重机总厂	86-0813-2608083	四川 自贡四川 自贡市 光大街东光路31号公司电话：86-0813-2608083公司传真：86-0813-2608035
--	：四川双流白鹤经营部	86-028-85815240	四川 成都四川 双流县 成都市双流县黄水镇二手设备闲置市场公司电话：86-028-85815240公司传真：86--
-028-83068061	杨国军女士	称：成都市新都龙桥机械制造有限公司	四川 成都四川 成都市 新都区龙桥镇公司官网：http://www.clzb.com公司电话：86-028-83068061公司传真：86-028-83079029
-028-83695416	：成都林扬工程机械租聘有限公司	86-028-8395416	四川 成都四川 成都市 成都清北江公司电话：86-028-8395416公司传真：86-028-83695416
-028-85737306	：四川科宇施工升降机有限公司	86-028-88971582	四川 成都四川 双流县 四川省成都市蛟龙工业港（双流园区）双巷路2座公司官网：http://www.sckyjx.com公司电话：86-028-88971582公司传真：86-028-85737306
 028 83934189	杨体文	称：成都市新都区协天机械厂	四川 成都四川 成都市 新都区新都镇慈板村5社公司官网：http://www.xdxtjx.com.cn公司电话：86 028 83934189公司传真：86 028 83934189
-0838-2870882	宋卫先生	称：德阳吉峰农机汽车贸易有限责任公司	四川 德阳四川 德阳市 华山南路南段东侧公司官网：http://deyangjifeng.com.cn公司电话：86-0838-2870882公司传真：86-0838-2870725
-28-83695262	：青白江华禹起重设备经营部	86-28-83695262	四川 成都四川 成都市青白江区 红阳西路１８０号公司电话：86-28-83695262公司传真：86-28-83695262
-028-	：河南省新乡市恒升起重机有限公司	86-028-83678066	四川 成都四川 成都市 成都市青白江区公司电话：86-028-83678066公司传真：86-028-
--	：凌云酒店用品设备批发部	86-028-89034264	四川 成都四川 成都市 成都市成华区二仙桥东路9号公司电话：86-028-89034264公司传真：86--
--	：双流恒信叉车经营部	86-028-85781955	四川 成都四川 双流县 成都市流县旧设备市场公司电话：86-028-85781955公司传真：86--
-0838-2800800	：四川德阳金特尔建筑机械厂	86-0838-2800800	四川 德阳四川 德阳市 德阳市天元工业园区公司官网：http://金特尔.cn公司电话：86-0838-2800800公司传真：86-0838-2800800
-0835-6523008	冯波先生(经理)	称：雅安芦山吉峰经营部	四川 雅安四川 芦山县 芦山县农机局公司电话：86-0835-6523008公司传真：86--
