公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 快乐童年成都品牌管理有限公司	任女士	17381939965	四川 成都
锦江区王歌鞋业商贸部	王景强	18780138912	四川 成都
中山市坦洲镇伟美塑胶制品厂	唐勇平	13302828189	四川 成都中国四川成都市武候区簇桥乡五通桥工业区公司电话：862885046756 公司传真：028-85046756
成都市南丁格尔制衣厂	杨巍	13340833363	四川 成都四川成都市武侯区簇桥科技工业园公司电话：028-66434663公司传真：028-84347678
82-88889195	李绍村	称：精猴橡胶饰品加工厂	四川 成都四川/成都公司电话：0082-88889195公司传真：028-88889195
崇州市崇平乐笑皮鞋厂	熊星	18180567887	四川 成都四川省成都市崇州市崇平乐笑皮鞋厂公司官网：www.lxxy88.com公司电话：028-85378078公司传真：028-85378078
-028-66991802	张运燕女士(销售经理)	称：成都爱法纳米技术有限公司	四川 成都四川 成都市 武侯区永胜南街11号公司电话：86-028-66991802公司传真：86-028-85065722
 028 85361202	楼屹东	称：成都市武侯区宏达鞋革设备厂	四川 成都四川 成都市 成都市武侯区金江中路508号公司官网：http://www.hdxieji.cn公司电话：86 028 85361202公司传真：86 028 66462660
-028-87486611	范建龙先生(主管)	称：成都特星投资发展有限公司	四川 成都四川 成都市 武侯区双星大道北段99号公司电话：86-028-87486611公司传真：86-028-
-028-66188178	王波先生	称：金箭针车商行	四川 成都四川 成都市 四川成都西部鞋都旁公司电话：86-028-66188178
-28-81223310	邢晶女士(经理)	称：Magic Touch International PTE.	四川 成都四川 成都市 成都市锦江区公司电话：86-28-81223310公司传真：86--
-028-66131038	黄静如女士(经理)	称：冠捷休闲鞋业	四川 成都四川 成都市 成都荷花池鞋一区十排三号公司电话：86-028-66131038公司传真：86-028-
886527988	shui	称：四川顶胜进出口贸易有限公司	四川 成都成都市八宝街公司电话：02886527988
东鸿干燥剂	l刘强	13350054946	四川 成都成都市，武侯区，金花鞋材广场。18栋A-7档公司电话：028-85014316
8-85005645	努西娜	称：成都虹成网络科技有限公司	四川 成都成都虹成网络科技有限公司公司传真：028-85005645
快乐童年成都品牌管理有限公司	任女士	17381939965	四川 成都
锦江区王歌鞋业商贸部	王景强	18780138912	四川 成都
中山市坦洲镇伟美塑胶制品厂	唐勇平	13302828189	四川 成都中国四川成都市武候区簇桥乡五通桥工业区公司电话：862885046756 公司传真：028-85046756
快乐童年成都品牌管理有限公司	任女士	17381939965	四川 成都
锦江区王歌鞋业商贸部	王景强	18780138912	四川 成都
中山市坦洲镇伟美塑胶制品厂	唐勇平	13302828189	四川 成都中国四川成都市武候区簇桥乡五通桥工业区公司电话：862885046756 公司传真：028-85046756
快乐童年成都品牌管理有限公司	任女士	17381939965	四川 成都
锦江区王歌鞋业商贸部	王景强	18780138912	四川 成都
中山市坦洲镇伟美塑胶制品厂	唐勇平	13302828189	四川 成都中国四川成都市武候区簇桥乡五通桥工业区公司电话：862885046756 公司传真：028-85046756
快乐童年成都品牌管理有限公司	任女士	17381939965	四川 成都
锦江区王歌鞋业商贸部	王景强	18780138912	四川 成都
中山市坦洲镇伟美塑胶制品厂	唐勇平	13302828189	四川 成都中国四川成都市武候区簇桥乡五通桥工业区公司电话：862885046756 公司传真：028-85046756
