公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成华区旭升洁具厂	小古	13981903650	四川 成都
-028-87626204	王晓波女士	称：成都红峰高新阀门有限责任公司营销部	四川 成都四川 成都市 九里堤西路3号千禧花园11-3-2-2公司官网：http://hfwm007100.wjw.cn/公司电话：86-028-87626204公司传真：86-028-87626165
 0838 5106253	何军	称：四川泓博航空机械有限责任公司	四川 德阳四川 广汉市 四川省广汉市福州路公司官网：http://www.hongbojx.cn公司电话：86 0838 5106253公司传真：86 0838 5106257
-0826-6232209	张天七先生	称：新生机械公司	四川 广安四川 武胜县 民主街70号公司电话：86-0826-6232209公司传真：86-0826-6232209
成都希尔达商贸有限公司	岳经理	15002800514	四川 成都公司电话：028-83140278
 28 85355199/8535	李	称：成都立合贸易有限公司	四川 成都四川 成都市 成都市锦绣路34号棕北国际A座902公司官网：http://www.cdlehe.cn公司电话：86 28 85355199/8535公司传真：86 28 85355288
-813-3903010	李天莉女士	称：自贡高压阀门股份有限公司（外贸部）	四川 自贡四川 自贡市 自贡市沿滩区太源井公司官网：http://www.zifavalve.cn公司电话：86-813-3903010公司传真：86-813-3903007
-28-87697266	黄显飞先生(经理)	称：中国.大众阀门集团传动机械分公司成都销售处	四川 成都四川 成都市 金府路777号公司官网：http://www.dazhong-valve.com公司电话：86-28-87697266公司传真：86-28-87697366
 028 13908212559	陈小明	称：上海良工阀门厂西南销售处	四川 成都四川 成都市 成都市公司官网：http://www.cjx5021314.com.cn公司电话：86 028 13908212559公司传真：86 028 86385676
四川波尔泰康体设备有限公司	雷剑	13880971288	四川 成都公司电话：028-86126008
-28-85075549	李剑锋先生	称：四川空分设备(集团)有限责任公司	四川 成都四川 成都市 成都市一环路西一段燃灯寺东街2号公司电话：86-28-85075549公司传真：86-28-85086027
-28-66051575	马麟先生(高级客户经理)	称：成都金网格科技有限责任公司	四川 成都四川 成都市 四川成都市高新区二环路南四段十号公司官网：http://www.jwgkj.com公司电话：86-28-66051575公司传真：86-28-66051505
成华区旭升洁具厂	小古	13981903650	四川 成都
-028-87626204	王晓波女士	称：成都红峰高新阀门有限责任公司营销部	四川 成都四川 成都市 九里堤西路3号千禧花园11-3-2-2公司官网：http://hfwm007100.wjw.cn/公司电话：86-028-87626204公司传真：86-028-87626165
 0838 5106253	何军	称：四川泓博航空机械有限责任公司	四川 德阳四川 广汉市 四川省广汉市福州路公司官网：http://www.hongbojx.cn公司电话：86 0838 5106253公司传真：86 0838 5106257
成华区旭升洁具厂	小古	13981903650	四川 成都
-028-87626204	王晓波女士	称：成都红峰高新阀门有限责任公司营销部	四川 成都四川 成都市 九里堤西路3号千禧花园11-3-2-2公司官网：http://hfwm007100.wjw.cn/公司电话：86-028-87626204公司传真：86-028-87626165
 0838 5106253	何军	称：四川泓博航空机械有限责任公司	四川 德阳四川 广汉市 四川省广汉市福州路公司官网：http://www.hongbojx.cn公司电话：86 0838 5106253公司传真：86 0838 5106257
成华区旭升洁具厂	小古	13981903650	四川 成都
-028-87626204	王晓波女士	称：成都红峰高新阀门有限责任公司营销部	四川 成都四川 成都市 九里堤西路3号千禧花园11-3-2-2公司官网：http://hfwm007100.wjw.cn/公司电话：86-028-87626204公司传真：86-028-87626165
 0838 5106253	何军	称：四川泓博航空机械有限责任公司	四川 德阳四川 广汉市 四川省广汉市福州路公司官网：http://www.hongbojx.cn公司电话：86 0838 5106253公司传真：86 0838 5106257
成华区旭升洁具厂	小古	13981903650	四川 成都
-028-87626204	王晓波女士	称：成都红峰高新阀门有限责任公司营销部	四川 成都四川 成都市 九里堤西路3号千禧花园11-3-2-2公司官网：http://hfwm007100.wjw.cn/公司电话：86-028-87626204公司传真：86-028-87626165
 0838 5106253	何军	称：四川泓博航空机械有限责任公司	四川 德阳四川 广汉市 四川省广汉市福州路公司官网：http://www.hongbojx.cn公司电话：86 0838 5106253公司传真：86 0838 5106257
成华区旭升洁具厂	小古	13981903650	四川 成都
-028-87626204	王晓波女士	称：成都红峰高新阀门有限责任公司营销部	四川 成都四川 成都市 九里堤西路3号千禧花园11-3-2-2公司官网：http://hfwm007100.wjw.cn/公司电话：86-028-87626204公司传真：86-028-87626165
 0838 5106253	何军	称：四川泓博航空机械有限责任公司	四川 德阳四川 广汉市 四川省广汉市福州路公司官网：http://www.hongbojx.cn公司电话：86 0838 5106253公司传真：86 0838 5106257
