公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都市金雅迪彩色印刷有限公司	     	赵代武	     	13882283861	     	四川 成都
成都誉琅文化传播有限公司	     	曹弘	     	13880950205	     	四川 成都成都市武侯区科华北路65号世外桃源广场27楼0469号
北京美印创新科技有限公司	     	刘贞金	     	17313623137	     	四川 绵阳
8-85195715	     	张维荣	     	称：成都惠尔斯科技有限公司	     	四川 成都中国 四川 成都市 成都市二环路南三段138号瑞升南园4-...公司电话：028-85195715公司传真：028-85195715
省成都市高新技术开发区沙子堰西巷５号２幢３单元...	     	3060056624	     	称：成都市兴志商贸有限责任公司	     	四川 成都四川省成都市高新技术开发区沙子堰西巷５号２幢３单元...
成都星辉广告公司	     	祝正军	     	17340126825	     	四川 成都
雅安平川喷绘有限公司	     	冯跃锴	     	13518189384	     	四川 雅安公司电话：0835-52629080
-0831-3553988~5945	     	古风哲先生(办事员)	     	称：印务公司	     	四川 宜宾四川 宜宾市 岷江西路138号公司电话：86-0831-3553988~5945公司传真：86--
-0835-8981319	     	小彭先生(业务员)	     	称：成都红紫荆包装印务有限公司	     	四川 成都四川 彭州市 成都彭州致和镇明台村公司官网：http://pengguichuan@longonline.net公司电话：86-0835-8981319公司传真：86--
-028-85566099	     	崔先生先生(客户经理)	     	称：成都迪奥智能卡开发制作有限公司	     	四川 成都四川 成都市 成都市洗面桥街22号城市阳光10F-6号公司官网：http://www.cddiao.com公司电话：86-028-85566099公司传真：86-028-85566099-17
8-65921916	     	先生	     	称：成都印美杰图文设计制作公司	     	四川 成都成都二环路北一段241号营门商厦418公司电话：028-65921916公司传真：028-65921916
成都东轩广告印务有限公司	     	鸿飞	     	13881786472	     	四川 成都公司电话：028-64207531
-028-88845242	     	寇晋敏先生(经理)	     	称：成都宏图印刷有限公司/正意设计工作室	     	四川 成都四川 成都市 成都市海椒市东方新城3栋922室公司官网：http://www.cdzhiyue.cn公司电话：86-028-88845242公司传真：86-028-84540049
 838 3165095	     	宋红军	     	称：德阳金路高新材料有限公司	     	四川 德阳四川 什邡市 四川什邡市洛水镇公司官网：http://www.sanglar.cn/公司电话：86 838 3165095公司传真：86 838 3165311
成都市武侯区机投镇川西印刷厂	     	张英	     	13708098588	     	四川 成都四川省公司官网：http://www.sccdyw.com公司电话：028-87481178公司传真：028-87481178
-028-88866385	     	于文浩先生(主管)	     	称：成都市玉芝浩制衣公司	     	四川 成都四川 成都市 人民南路三段35号公司电话：86-028-88866385公司传真：86-028-85131563
-028-89151390	     	李雪铭先生(经理)	     	称：成都美源印务有限责任公司	     	四川 成都四川 成都市 成都市茶店子字八一路20号公司电话：86-028-89151390公司传真：86-028-87573931
-28-85098857	     	谢远碧女士(信息部)	     	称：成都联辉包装印刷有限公司	     	四川 成都四川 成都市 成都市羊西线公司电话：86-28-85098857公司传真：86-28-85097978
 028 80357207	     	张先生	     	称：成都凡宇机电有限公司	     	四川 成都四川 成都市公司官网：http://www.xibu660532.cn公司电话：86 028 80357207
 028 87078807	     	黄爱梅	     	称：成都通相印刷包装有限公司	     	四川 成都四川 成都市 青羊区蛟龙工业港B区41号公司官网：http://www.cdtxys.cn公司电话：86 028 87078807公司传真：86 028 87078805
-028-87655768	     	王力得先生	     	称：四川力得丰科贸有限公司	     	四川 成都四川 成都市 石灰街71号大华商厦10楼A2公司电话：86-028-87655768公司传真：86-028-87657768
-28-84337650	     	伍强先生(厂长)	     	称：四川省市立纸品厂CEO	     	四川 成都四川 成都市 万年路140#公司电话：86-28-84337650公司传真：86-28-84337650
-028-13882180237	     	邓先生先生(不干交印刷)	     	称：林凯印务有限公司	     	四川 成都四川 成都市 成都市槐树店40号公司电话：86-028-13882180237
 0831 3566877	     	刘成国	     	称：四川省宜宾普拉斯包装材料有限公司	     	四川 宜宾四川 宜宾市翠屏区 宜宾市岷江西路150号公司官网：http://www.ybpls.cn公司电话：86 0831 3566877公司传真：86 0831 3511668
-0-13438986063	     	黄勇军先生	     	称：成都维纳广告耗材经销商	     	四川 成都四川 成都市 四川成都公司电话：86-0-13438986063公司传真：86--
-000-5289741	     	曾荣女士	     	称：百乐彩印包装有限公司	     	四川 凉山四川 木里藏族自治县 北泉路百乐巷公司电话：86-000-5289741公司传真：86-000-5289741
 028 66003069	     	赵川	     	称：成都希兴科技工程有限公司	     	四川 成都四川 成都市 成都市武候区金花镇金航路22 24号公司官网：http://www.cdxxkj.cn公司电话：86 028 66003069公司传真：86 028 85031868
