公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 资中县韵茜种植家庭农场	黄静	18981860577	四川 内江
资阳恒惠香橙苗	曾良明	15308388561	四川 资阳
四川盈帆环境科技有限公司	周女士	17311207218	四川 成都
成都市千世兴腾农业开发有限公司	庄先生	13551166159	四川 成都
广元市昭化区联盛山桐子育苗专业合作社	盛明海	18113704788	四川 广元四川省广元市昭化区清水场镇公司电话：028-61625550
四川六个核桃苗木科技有限公司	万经理	18981145331	四川 绵阳松垭镇福鑫小区公司官网：http://www.htmjd.com公司电话：0816-2823820
四川维尔路达科技有限公司	王经理	18981199012	四川 绵阳
四川果树苗种植专业合作社	佳语小谭	17775576367	四川 资阳公司电话：028-86749957
简阳市兴鹭农业开发有限公司	马兰	18349902356	四川 资阳公司电话：028-27555518
简阳市兴鹭农业开发有限公司	丁萍	18349905345	四川 资阳公司电话：028-27755518
四川维尔路达科技有限公司	谭经理	15228387371	四川 绵阳
四川核桃苗基地	张经理	18981113400	四川 资阳公司电话：0189-81113400
成都千蜀园林绿化有限公司	小钟	18302809991	四川 成都成都郫县公司电话：028-86555551
山东创信达电子产品经营部	刘强	17091891508	四川 公司电话：0539-1709189-1508
简阳市尖山核桃种植专业合作社	林超杰	15183773282	四川 资阳
四川省绵阳维尔路达科技有限公司	胡小刚	15228387273	四川 绵阳
简阳市海天农牧开发有限公司	付经理	13678245195	四川 资阳简阳市东城区十号花园6-1-5公司电话：028-27028972
成都诚欣然科技有限公司	赵熙	15680076079	四川 成都公司电话：028-68566930
简阳市海天农牧开发有限公司	杨女士	13678245195	四川 成都公司电话：028-27028972
四川合进农业科技有限公司	黄义	18256888882	四川 成都公司电话：0558-7270111
成都丰叶林花卉租赁有限公司	莹 儿	13438851147	四川 成都公司电话：028-13808036226
四川朝越农业科技有限公司	李春梅	13118173979	四川 绵阳绵阳游仙新桥公司电话：0816-2776121
成都华全红枫园林	文虎	15882299736	四川 成都公司电话：028-82677936
久亿农林开发有限公司	王欢	13730719032	四川 绵阳公司电话：0816-2241012
宜宾伯农中药材种植收购专业合作社	吴代权	13398212228	四川 宜宾宜宾市翠屏区叙府路西段公司官网：http://www.bonong.icoc.cc/公司电话：0831-3055298
