公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 深圳市正卡智能	     	余丽敏	     	15813700395	     	四川 成都
四川省亿琪交通设施有限公司	     	李女士	     	15183248203	     	四川 资阳
成都市通捷科技有限公司	     	王雪	     	17711522958	     	四川 成都黄水镇玉龙南街99号公司官网：http://www.tonjie.com
8-84378895	     	琚瑜生	     	称：成都国新机电有限责任公司	     	四川 成都四川省成都市成华区成都市二环路东二段三号公司电话：028-84378895公司传真：028-84378895
深圳创新通科技有限公司	     	张经理	     	13510869891	     	四川 成都
成都市峰能电站设备有限公司	     	杨仁元	     	13708083312	     	四川 成都四川省成都市武侯区高升桥公司传真： 
-028-	     	：成都金盾防盗门厂	     	86-028-80357975	     	四川 成都四川 成都市 武侯区菊乐路29公司电话：86-028-80357975公司传真：86-028-
 028 83079051	     	贾坤	     	称：成都富坤门窗厂	     	四川 成都四川 成都市 新都区龙桥镇青桥村8组公司官网：http://www.fukunmenchuang.cn公司电话：86 028 83079051公司传真：086 028 83079051
-028-85196699	     	：成都千帆科技开发有限公司	     	86-028-85196699	     	四川 成都四川 成都市 永丰路47号705公司电话：86-028-85196699公司传真：86-028-85196699
 028 87522316	     	韦先生	     	称：维嘉尔科技发展有限公司	     	四川 成都四川 成都市 成都市金牛区营康西路428号一品天下C区1栋1单元6楼91号公司官网：http://www.weijer.cn公司电话：86 028 87522316公司传真：86 028 87522316
 成都市 万和路90号天象大厦404	     	：四川省得安科技有限公司	     	86-028-86261878	     	四川 成都四川 成都市 万和路90号天象大厦404公司官网：http://www.scdean.com公司电话：86-028-86261878
成都星宇视界科技有限公司	     	李先生	     	18227623421	     	四川 成都
--	     	：成都愈强文具配送中心	     	86-028-00000000	     	四川 成都四川 成都市 四川省成都市锦江区锦华路二段晨晖路金象花园35栋商单元3号门市公司电话：86-028-00000000公司传真：86--
泸州智安安防科技有限公司	     	张经理	     	15883058958	     	四川 泸州公司电话：0830-6362688
-028-85242503	     	：广州奥奇曼电子科技有限公司成都办事处	     	86-028-85242503	     	四川 成都四川 成都市武侯区 高攀西巷4号科华南苑1栋1单元102室公司官网：http://www.watchman.cn公司电话：86-028-85242503公司传真：86-028-85242503
-028-82688500	     	：四川一舟集团有限公司	     	86-028-82688779	     	四川 成都四川 成都市 温江区公司电话：86-028-82688779公司传真：86-028-82688500
-028-87516002	     	：成都竹阳科技有限责任公司销售部	     	86-028-87516002	     	四川 成都四川 成都市金牛区 成都市金牛区金周路452号公司电话：86-028-87516002公司传真：86-028-87516002
-028-68008494	     	代志强先生(工程师)	     	称：永辉园科技有限公司	     	四川 成都四川 成都市 武候区公司官网：http://www.cdyhy.com公司电话：86-028-68008494公司传真：86--68008494
-028-66651409	     	杨晓雨女士(职员)	     	称：温州福特安电子有限公司成都办	     	四川 成都四川 成都市 成都市金牛区银沙北街公司电话：86-028-66651409公司传真：86--
-028-83079996	     	：成都亨博门业	     	86-028-83079099	     	四川 成都四川 成都市 成都市新都区龙桥镇场镇社区6组公司官网：http://028hb.cn公司电话：86-028-83079099公司传真：86-028-83079996
4000	     	梅利鑫先生	     	称：宁大信息产业有限公司业务部	     	四川 宜宾
-028-88832325	     	陈海燕女士(市场部经理)	     	称：成都威图科技有限责任公司	     	四川 成都四川 成都市 成都市一环路三段22号501室公司官网：http://www.witoeas.com公司电话：86-028-88832325公司传真：86-028-85249730
四川国安安装工程有限责任公司	     	刘女士	     	18382222038	     	四川 成都
-28-83229970	     	：成都嘉保智能工程有限公司	     	86-28-86844411	     	四川 成都四川 成都市 一环路北三段７４号雅图丽景公寓１４－５公司官网：http://www.jb6666.com公司电话：86-28-86844411公司传真：86-28-83229970
 028 83000330	     	奉能	     	称：四川成都瑞利吉办公设备有限公司	     	四川 成都四川 成都市 成都本公司公司官网：http://www.fengneng521.cn公司电话：86 028 83000330公司传真：86 028 83000330
 028 86925778	     	WangWeimin	     	称：广东铁甲卫士防盗设备有限公司成都分公司	     	四川 成都四川 成都市 太升北路56号公司官网：http://www.sale-alarm.cn公司电话：86 028 86925778公司传真：86 028 86925778
-831-2050052	     	陈杰先生(经理)	     	称：宜宾杰威电子经营部	     	四川 宜宾四川 宜宾市 岷江西路50号公司电话：86-831-2050052公司传真：86-831-2050052
