公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都东尚阳光科技有限公司	梁飞	13510132916	四川 成都
成都盛世光大装饰工程有限公司	李军	15388157791	四川 成都成都华阳家乐福公司电话：028-80205858
成都木言中式仿古家具有限公司	邓女士	13551187569	四川 成都
8-85201108	许斌	称：四川富丽奇现代家具有限公司	四川 成都四川省成都市武侯区顺江村6组公司电话：028-85201108公司传真：028-85201108
8-87370606	陈明	称：四川省明清文化艺术有限公司	四川 成都四川省成都市青羊区浣花北路22号公司电话：028-87370606公司传真： 
成都田园都市休闲家具有限公司	何磊	13438289920	四川 成都中国四川成都市成都市佳灵路56号公司电话：860284006000675公司传真：02861813566
家乐迪厨卫电器商行	唐勇	15982096678	四川 成都中国广东佛山市顺德区四川省成都市五块石电子电器市场...公司电话：8602883122886公司传真：02883122886
8-82617286	叶强	称：成都金兰花卉有限公司	四川 成都中国·四川省·成都市温江县踏水镇南岳村公司电话：028-82617286公司传真：028-82711133
8-87287917/87235462	王宗俊	称：四川省新岷江人造板机器有限责任公司	四川 成都四川省成都市都江堰市蒲阳镇同义村拉撒基路口公司电话：028-87287917/87235462公司传真：028-87235429
31-3557688	颜书林	称：宜宾康飞床垫厂	四川 宜宾中国 四川 宜宾市 翠屏区象鼻镇方水井村土地常60号公司电话：0831-3557688公司传真：0831-8252936
新都区发泰家具经营部	杨先生	13258128555	四川 成都
8-83080476	代思云	称：四川龙益公司	四川 成都四川省成都市新都县新繁镇水利村5组公司电话：028-83080476公司传真： 
 028 89038819	陈素容	称：成都市武侯区新毅家具厂	四川 成都四川 成都市 簇桥文盛路10号公司官网：http://www.cdxrjj.com.cn公司电话：86 028 89038819公司传真：86 028 89038819
 028 82262110	黄毅	称：成都别致教具实业有限公司	四川 成都四川 崇州市 崇州公司官网：http://www.cdbzjj.com.cn公司电话：86 028 82262110公司传真：86 028 82263234
-28-87443568	：成都正在昨天木业文化有限公司	86-28-87443568	四川 成都四川 成都 武侯金花川西营工业园公司电话：86-28-87443568公司传真：86-28-87443568
 028 83999128	吕善同	称：成都天泽轻纺有限责任公司	四川 成都四川 成都市 成都市新都区新都镇新东村榕圆饭店内公司官网：http://www.cdtf88.cn公司电话：86 028 83999128公司传真：86 028 83999128
-0816-2235911	：绵阳市天天阳光有限责任公司	86-0816-2481727	四川 绵阳四川 绵阳市 绵阳市涪城路121号公司电话：86-0816-2481727公司传真：86-0816-2235911
-028-83144539	：四川天子集团公司	86-0832-7896891	四川 成都四川 成都市 成都市北三环路天回镇公司官网：http://wangyang4089296@qq.com公司电话：86-0832-7896891公司传真：86-028-83144539
-28-83578665	：金牛区三和家私厂	86-28-83578665	四川 成都四川 成都市金牛区 成都市金牛区天回镇石门村７组公司电话：86-28-83578665公司传真：86-28-83578665
-028-85790973	陈先生(经理)	称：武侯鑫源教学设备厂	四川 成都四川 成都市 武侯区金花镇江安河村5社公司电话：86-028-85790973公司传真：86-028-85790973
-28-85866210	彭勇先生(总经理)	称：成都爱佳课桌椅制品厂	四川 成都四川 成都市 成都双流百家黄荆工业园1号公司官网：http://www.cdaj.com.cn公司电话：86-28-85866210公司传真：86-28-85866210
-028-83038188	：金帝家具厂	86-028-83038158	四川 成都四川 成都市 新都区木兰镇公司官网：http://www.golden-king.com公司电话：86-028-83038158公司传真：86-028-83038188
-028-85751268	：成都江雪医疗器械有限公司	86-028-85751268	四川 成都四川 双流县 九江镇万家社区公司电话：86-028-85751268公司传真：86-028-85751268
 028 65312890	何至于	称：成都长德木业家私有限公司	四川 成都四川 成都市 成都市一二三街5号公司官网：http://www.cdcdmy.cn公司电话：86 028 65312890公司传真：86 028 23123123
 028 85792818	唐明	称：双流富发家具厂	四川 成都四川 双流县 成都市双流县九江工业区公司官网：http://www.fufajiasi.com.cn公司电话：86 028 85792818公司传真：86 028 85792818
 028 00000000	赵立	称：成都精王木业制造有限公司	四川 成都四川 成都市 成都市锦江区晨辉路6号育才都市家园1期5-2-501公司官网：http://www.cdjwmy.com.cn公司电话：86 028 00000000公司传真：86
-28-83736479	：四川彭州柏林塔家具厂	86-28-83736479	四川 成都四川 彭州市 彭州市致和护国工业开发区公司官网：http://www.bolinta.com公司电话：86-28-83736479公司传真：86-28-83736479
