公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都洪金海装饰装修有限公司	房先生	18280002480	四川 成都
宜宾安利日用品有限公司	毕姐	18784605713	四川 宜宾
成都市艺人美家装饰有限责任公司温江分公司	王晨	15680766035	四川 成都成都市温江工商行政管理局
成都丽维家科技有限公司	张事成	13008113065	四川 成都
四川仔薇电子商务有限公司	刘洋	17313058297	四川 成都
成都川浴卫浴有限责任公司	陈明	13018214408	四川 成都
成都原木轩家居用品有限责任公司	岳先生	18208130886	四川 成都
四川金港科技有限公司	马经理	17788692360	四川 南充
四川御临阁家具有限公司	侯芳	13980720436	四川 眉山
西昌市月城漂白粉厂	孙芝奇	13881555948/13881555948	四川 西宁四川省西昌市西宁镇
38-3700398	向元龙	称：罗江县云龙漂白粉厂	四川 德阳四川省德阳市罗江县文星镇工业区公司电话：0838-3700398公司传真： 
四川聚米集团分公司	刘冬梅	15002812741	四川 内江
33-6900223	苏中祥	称：仁寿县碗厂机砖厂	四川 眉山四川省眉山市仁寿县碗厂乡民益公司电话：0833-6900223公司传真： 
成都瀚海宏业商贸有限公司	阿俊	18781931033	四川 成都
四川罗斯顿门窗厂	唐经理	15184496306	四川 德阳
眉山阳泰工贸有限公司	何丽	18990361340	四川 眉山
自贡市一品商贸有限公司	余波	17748884684	四川 自贡
32-8957422	皮跃友	称：威远县碗厂镇荣森矸石厂	四川 内江四川省内江市威远县碗厂镇青宁公司电话：0832-8957422公司传真： 
自贡市廖师傅设备安装有限责任公司	廖川	15700688929	四川 自贡自贡市贡井区南环路228号（川南五金城27幢一城1-01）公司官网：www.zigong88.com公司电话：0813-8261922公司传真：0813-8261922
 028 87609022	蒋勇	称：东盟照明有限公司	四川 成都四川 成都市 四川成都金府灯具城c区44号公司官网：http://www.jiangyong0576.com.cn公司电话：86 028 87609022公司传真：86 028 66081825
-0816-2312432	：绵阳市精宏远建筑工程监理有限公司	86-0816-2312432	四川 绵阳四川 绵阳市 金阳公寓B座12-2公司电话：86-0816-2312432公司传真：86-0816-2312432
-028-87338859	：洪力消防有限公司	86-028-87338859	四川 成都四川 成都市 成都市青羊区金沙公司电话：86-028-87338859公司传真：86-028-87338859
成都莱客家具有限公司	吕瑞豪	18328738921	四川 成都
-028-85096050	：乐淘淘木桶木业有限公司	86-028-85094611	四川 成都四川 成都市 成都高升桥南街9号附17公司官网：http://www.shop33543774.taobao.com公司电话：86-028-85094611公司传真：86-028-85096050
28-82781991	：成都市鑫彩合科技有限责任公司	86-028-66246413	四川 成都四川 成都市 四川省成都市温江区海峡科技园科林路华银工业港公司电话：86-028-66246413公司传真：-028-82781991
-0812-6886052	毛腾飞先生(经理)	称：星月商贸有限公司	四川 攀枝花四川 攀枝花市东区 华山电业局2号楼62-2#公司电话：86-0812-6886052公司传真：86-0812-2233580
-028-83986677	：成都市巅峰卫浴有限公司	86-028-83986677	四川 成都四川 成都市 新都区泰兴工业园公司电话：86-028-83986677公司传真：86-028-83986677
