公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 崇州市崇阳锦鹏家电	肖路	18180633908	四川 成都
四川康松环保科技有限公司	康松环保	18980575092	四川 成都
四川省康松环保科技有限公司	杨吉东	13458606784	四川 成都
33-5838172	胡红蓉	称：四川省明珠陶瓷有限公司	四川 乐山四川省乐山市夹江县黄土镇茶坊村五社公司电话：0833-5838172公司传真：0833-5838172
成都硅峰科技有限责任公司	李俊	13320993712	四川 成都四川省成都市武侯区高朋大道10号航利大厦公司电话：028-85148478公司传真： 
39-5040838	赵斌	称：剑阁县赵斌家电花卉实业有限责任公司	四川 广元四川省广元市剑阁县普安镇南街8号公司电话：0839-5040838公司传真： 
成都东兴绝缘材料有限公司	李伟钢	13208187728	四川 成都四川省成都市金牛区一环路北一段49-4号公司电话：028-87668880公司传真： 
省成都市青羊区蛟龙工业港高新区Ａ区１９座	：成都博仕汉德压缩机制造有限公司	87671000	四川 成都四川省成都市青羊区蛟龙工业港高新区Ａ区１９座公司电话：87671000
8-86757899	林飞	称：成都家家乐通讯器材有限公司	四川 成都四川省成都市锦江区中林祠中街68号公司电话：028-86757899公司传真：028-86757899
 0838 5937857/593	黄建国	称：中江县凯创电子厂	四川 德阳四川 中江县 东河路45号公司官网：http://www.kcdzc.cn公司电话：86 0838 5937857/593公司传真：86 0838 5932992
-0-13708237858	：成都宇航厨具电气公司	86-0-13708237858	四川 成都四川 成都市 成都公司电话：86-0-13708237858公司传真：86-0-13708237858
-0837-6331750	冯鑫先生(总经理助理)	称：四川岷江硅业有限责任公司	四川 阿坝四川 阿坝州市 水磨铁合金厂宿舍公司官网：http://www.mjsilicon.com公司电话：86-0837-6331750公司传真：86-0837-6331750
-028-13880958918	：浙江华光太阳能真空集热管有限公司（西南办事处）	86-028-13880958918	四川 成都四川 成都市 成都市公司电话：86-028-13880958918公司传真：86-028-13880958918
 028 68691741	何祚鹏	称：成都三弘化工有限公司	四川 成都四川 成都市 成都市一环路东五段108号东恒国际公司官网：http://www.cdsanhong.cn公司电话：86 028 68691741公司传真：86 028
-028-83117981	：深圳市科兰德实业发展有限公司成都办事处	86-028-83117980	四川 成都四川 成都市 成都市成华区五块石福康街福顺苑7-1-2公司官网：http://www.wetking.com公司电话：86-028-83117980公司传真：86-028-83117981
6-0833-50153	：四川省格辉阳电气有限责任公司 电气六部	86-0833-8950152	四川 眉山四川 彭山县 彭山凤鸣镇紫薇中街280公司官网：http://www.ysx0926.cn公司电话：86-0833-8950152公司传真：086-0833-50153
-028-65823350	崔良学先生(经理)	称：成都康源净水设备公司	四川 成都四川 成都市 成都五块石电器市场B座一区南厅2号公司电话：86-028-65823350公司传真：86-028-87440908
-816-2547999	独兴宏先生(市场部经理)	称：四川强磁磁性材料有限公司	四川 绵阳四川 绵阳市 四川绵阳高新区公司电话：86-816-2547999公司传真：86-816-2547966
-0833-3971945	：现代集团浙江现代新能源有限公司	86-1528-3768935	四川 乐山四川 井研县 四川省乐山市竹园新街58号公司电话：86-1528-3768935公司传真：86-0833-3971945
-818-8154007	杨洋先生(经理)	称：星海出口贸易有限公司	四川 达州四川 达县 南外正南大厦Ｄ幢１号公司电话：86-818-8154007公司传真：86-818-8154058
-0816-2323067	：绵阳约克小家电经营部	86-0816-2323067	四川 绵阳四川 绵阳市 绵阳市长虹大道中段37号公司官网：http://www.york.com公司电话：86-0816-2323067公司传真：86-0816-2323067
-0838-7203712	：四川省德	86-0838-7201249	四川 德阳四川 中江县 四川省中江公司电话：86-0838-7201249公司传真：86-0838-7203712
-028-86035180	张先生(经理)	称：成都市沙巴克股份有限公司	四川 成都四川 成都市 高新西区公司电话：86-028-86035180公司传真：86-028-80635180
-816-6981848	：绵阳城区我的咖啡茶品批发经营部	86-816-2301981	四川 绵阳四川 绵阳市 剑南路西段剑南104市场新区公汽司停车场正上方C1-11号公司官网：http://www.13060179857.cn公司电话：86-816-2301981公司传真：86-816-6981848
-028-87578360	：艾瑞克(成都)净化设备有限公司	86-028-87573005	四川 成都四川 成都市 成都市金牛区金牛乡清水村公司电话：86-028-87573005公司传真：86-028-87578360
-028-85589699	罗静先生(售后服务)	称：四川普瑞净化设备有限公司（销售部）	四川 成都四川 新津县 四川 成都 新津公司电话：86-028-85589699公司传真：86-028-85589699
 028 85881837	叶伟	称：成都市逸欣商贸有限公司	四川 成都四川 成都市 四川省成都市顺城街248号B座1105室公司官网：http://www.scyeg.cn公司电话：86 028 85881837公司传真：86 028 85881837
