公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都赤诚优品电子商务有限公司	申经理	18081935913	四川 成都成都市成华区建材路39号1栋5楼512号
成都黄丰科技有限公司	张世侨	18008021643	四川 成都四川省成都市武侯区武侯大道双楠段389号公司电话：028-69757316
38-2432114	许正威	称：东方电气集团东方汽轮机有限公司	四川 德阳中国 四川 德阳市旌阳区 四川省德阳市公司电话：0838-2432114公司传真：0838-2432458
 成都市 金牛区马鞍西路13号	：佛山顺德正普电器有限公司	86-028-65663212	四川 成都四川 成都市 金牛区马鞍西路13号公司官网：http://WWW.KENACN.COM公司电话：86-028-65663212
 028 82901385	柳永文	称：成都市金牛区曦隆电器商行	四川 成都四川 成都市 成都市花圃路2号城北商务广场403室公司官网：http://www.cdxldq.cn公司电话：86 028 82901385公司传真：86 028 66126913
-028-85482921	：成都市中振十分责任有限公司	86-028-85480376	四川 成都四川 成都市 成都人民南路三段３７号中加大厦３１０公司官网：http://www.chengdupc.com公司电话：86-028-85480376公司传真：86-028-85482921
-0833-2563773	谭国兵先生(销售)	称：南方电器有限公司	四川 乐山四川 乐山市 长青路公司电话：86-0833-2563773公司传真：86--
-028-84448176	：成都瑞邦创新实业有限责任公司市场部	86-028-66796527	四川 成都四川 成都市 成都市双桥子新2号成发商厦407公司电话：86-028-66796527公司传真：86-028-84448176
--	：成都科技有限责任公司市场部	86-28-85648956	四川 成都四川 成都市 成都市建设北路三段公司电话：86-28-85648956公司传真：86--
 泸县 观兴沙田北街55号	：宏态来销售责任有限公司	86-0830-6966136	四川 泸州四川 泸县 观兴沙田北街55号公司电话：86-0830-6966136
-0830-3313266	：泸州利祥家电公司	86-0830-3313266	四川 泸州四川 泸州市 江阳区官井坎二号楼二单元二号公司官网：http://www.biz.jqw.com/sp/295530/公司电话：86-0830-3313266公司传真：86-0830-3313266
-028-83155895	：成都五江亨瑞特商贸有限公司	86-028-66377033	四川 成都四川 成都市 五块石商贸大道恒业国际2-1-55公司电话：86-028-66377033公司传真：86-028-83155895
成都煜达机电设备工程有限公司	杨天贞	18010685990	四川 成都公司电话：028-84540722
四川欧府电器有限公司	廖智能	18011518218	四川 成都公司电话：028-64866618
-0818-2533550	：三鑫电器商行	86-0818-2533550	四川 达州四川 达州市 暂无公司电话：86-0818-2533550公司传真：86-0818-2533550
巴中市广兴福商贸有限责任公司	王先生	18566200350	四川 巴中巴州区南池街57号公司官网：https://shop117191128.taobao.com;https://shop110980533.taobao.com公司电话：0827-3187285-188公司传真：0827-3187285
-826-3218333	：广安市耀德电器有限公司	86-826-3218333	四川 广安四川 邻水县 四川省广安市邻县鼎屏镇万兴富源小区F栋底楼公司电话：86-826-3218333公司传真：86-826-3218333
 成都市成华区 四川成都成华区长天路3号7-1-14	：中山市康拜恩电器有限公司四川办事处	86-028-81861088	四川 成都四川 成都市成华区 四川成都成华区长天路3号7-1-14公司官网：http://www.combinechina.com公司电话：86-028-81861088
四川亿赛尔科技有限公司	余苗	15198263770	四川 成都天府大道中段公司电话：028-86117868-8010
中山市金利百威电器有限公司	金利百威电器	13509876345	四川 成都公司电话：0760-88779998
 成都市 成都市双林路	：成都博元电器有限责任公司	86-028-68197363	四川 成都四川 成都市 成都市双林路公司官网：http://www.CDGHK.COM公司电话：86-028-68197363
成都赤诚优品电子商务有限公司	申经理	18081935913	四川 成都成都市成华区建材路39号1栋5楼512号
成都黄丰科技有限公司	张世侨	18008021643	四川 成都四川省成都市武侯区武侯大道双楠段389号公司电话：028-69757316
38-2432114	许正威	称：东方电气集团东方汽轮机有限公司	四川 德阳中国 四川 德阳市旌阳区 四川省德阳市公司电话：0838-2432114公司传真：0838-2432458
成都赤诚优品电子商务有限公司	申经理	18081935913	四川 成都成都市成华区建材路39号1栋5楼512号
成都黄丰科技有限公司	张世侨	18008021643	四川 成都四川省成都市武侯区武侯大道双楠段389号公司电话：028-69757316
38-2432114	许正威	称：东方电气集团东方汽轮机有限公司	四川 德阳中国 四川 德阳市旌阳区 四川省德阳市公司电话：0838-2432114公司传真：0838-2432458
