公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 福州林文光电子科技有限公司	代正刚	15283317490	四川 乐山
成都银德菲商务信息咨询有限公司	韦先生	15012486138	四川 成都
成都彼样生物科技有限公司	鲜凤玲	18108052721	四川 成都
8-85923262-85255590	姚平	称：四川平升网络科技有限公司	四川 成都四川成都市武侯区成科西路3号四川省软件工程中心4F公司电话：028-85923262-85255590公司传真：028-85923262/85255590 
32-4870189	吴启宇	称：安岳县琼江钢木制品厂	四川 资阳四川省资阳市四川省资阳市安岳县林凤镇琼江街村公司电话：0832-4870189公司传真： 
四川亮剑企业管理顾问有限公司	李先生	13551205544	四川 成都
16-2469708	霞晖	称：四川九州宽带网络有限公司	四川 绵阳四川省绵阳市涪城区越进路16号公司电话：0816-2469708公司传真：0816-2469708
成都大立英海航教育咨询中心	曾诚	18111637529	四川 成都
 028 85177430-805	汪钱梅	称：成都祥和专用蜡有限公司 销售部	四川 成都四川 成都市 成都市高新区创业路49号公司官网：http://www.cdxh888.cn公司电话：86 028 85177430-805公司传真：86 028 85179804
--	：兰州全景科技绵阳分公司	86-0816-8795887	四川 绵阳四川 绵阳市 绵阳高新区108国道东段公司电话：86-0816-8795887公司传真：86--
880999319	凌君	称：成都易沃电子科技有限公司	四川 成都成都市武侯区科华北路2号公司官网：www.eavo.com.cn公司电话：13880999319公司传真：028-85211280
-028-68803335	刘志强先生(销售)	称：成都万辰光学仪器厂	四川 成都四川 成都市 中同仁路160号公司官网：http://www.hrgx.com公司电话：86-028-68803335公司传真：86-028-86691019
-028-87975664	冯玉波先生(总经理)	称：成都洪正光学有限公司	四川 成都四川 成都市 四川省成都市郫县成都洪正光学有限公司公司电话：86-028-87975664公司传真：86-028-87975663
-028-85225221	施必林先生	称：成都英思特贸易有限公司市场部	四川 成都四川 成都市 科华南路8号君悦领地公司官网：http://www.yesdz.com公司电话：86-028-85225221公司传真：86--
-028-83281086	许龙先生(经理)	称：成都蜀为科技有限公司	四川 成都四川 成都市 武侯区小天竺公司电话：86-028-83281086公司传真：86-028-83281086
-0816-2543739	岳彤先生(经理)	称：绵阳市赛龙电子有限公司市场部	四川 绵阳四川 绵阳市 绵阳市高新区普明南路东段113号公司电话：86-0816-2543739公司传真：86-0816-2540863
-28-89666966	吴冬梅	称：四川徕拓科技发展有限公司	四川 成都四川 成都市 成都市二环路北一段18号嘉立大厦410室(会展中心旁)公司官网：http://www.leito.com.cn公司电话：86-28-89666966公司传真：86-28-87686640
 028 65602201	何利红	称：双流县鸿易光学仪器厂	四川 成都四川 双流县 四川成都市双流西航港经济开发区公司官网：http://www.cdhygx.com.cn公司电话：86 028 65602201公司传真：86 028 85962586
-0818-6239509	唐会平女士(总经理)	称：大竹县和平物资贸易有限公司	四川 达州四川 大竹县 达州市大竹县竹阳镇公司官网：http://www.chinayingtian.com公司电话：86-0818-6239509公司传真：86-0818-8852990
-028-87626613	郑宏先生	称：成都光机电测绘仪器有限公司	四川 成都四川 成都市 二环路北二段269号4-29号公司电话：86-028-87626613公司传真：86-028-87626613
-028-87438426	穆治泉先生(厂长)	称：成都立新电器制作部	四川 成都四川 成都市 成都市金雁路名流花园公司电话：86-028-87438426公司传真：86-028-87438426
 028 86632850	陈泳絮	称：四川时运成套仪器有限公司	四川 成都四川 成都市 金河路20号附12号公司官网：http://WWW.888sy.com公司电话：86 028 86632850公司传真：86 028 86271581
 028 89515196	孔祥梅	称：成都市金牛区建明机电经营部	四川 成都四川 成都市 成都万贯五金机电城23号大厅10号公司电话：86 028 89515196公司传真：86 028 87691671
-028-84207509	jxgnr先生	称：成都广域通信技术有限责任公司	四川 成都四川 成都市 成都市东三环路二段成都龙潭都市工业集中发展区１０＃公司官网：http://www.widearea.com.cn公司电话：86-028-84207509公司传真：86-028-84209696
-0835-8308866	陈宇彬先生(经理)	称：四川省宝兴县微纳粉体有限责任公司	四川 雅安四川 宝兴县 宝兴县穆坪南街103#公司电话：86-0835-8308866公司传真：86-0835-6822241
-0816-2902111	刘先生先生(经理)	称：绵阳卓远科技有限责任公司	四川 绵阳四川 绵阳市 绵阳市高新区园艺街47号公司电话：86-0816-2902111公司传真：86-0816-2533356
--	：四川大学化学工程学院	86-028-85401791	四川 成都四川 成都市 四川大学公司电话：86-028-85401791公司传真：86--
