公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都绿通达科技有限公司	     	查恩才	     	13908089172	     	四川 成都四川省成都市新都区绕城路南二段207-209号
马鞍山金方圆机床	     	邰圣伟	     	15882482538	     	四川 成都
成都诺比侃科技有限公司	     	李婷婷	     	13881711734	     	四川 成都
峨眉山市属于个人回收	     	徐姐	     	18011661138	     	四川 乐山
成都起源数控刀具有限公司	     	陶英伟	     	13540208519	     	四川 成都
成都湿菱电器有限公司	     	马经理	     	15680438859	     	四川 成都公司电话：028-66783055
四川省内江庆隆机床有限公司	     	陈	     	13890547883	     	四川 内江四川内江市牌楼路１２０号公司电话：0832-2117243
自贡吉星液压设备有限公司	     	詹建程	     	13708150528	     	四川 自贡四川省贡井区筱溪街贡兴路6栋十一门底楼公司电话：0813-3211828公司传真：0813-3315595
8-83778276	     	杨中泽	     	称：彭州市川台钻床厂	     	四川 成都四川省彭州市丽春镇花棚社区公司电话：028-83778276公司传真：028-83778276
-028-83603389	     	：四川锦宏金属制品有限公司现代货架厂	     	86-028-83508516/1328	     	四川 成都四川 成都市 一里村二组公司电话：86-028-83508516/1328公司传真：86-028-83603389
成都川三机床有限公司	     	肖玲	     	17779617687	     	四川 成都公司电话：028-17779617687
-028-87514441	     	：成都市金牛区高迪空调设备厂	     	86-028-13608034441	     	四川 成都四川 成都市 金牛区罗家工业园区公司电话：86-028-13608034441公司传真：86-028-87514441
-028-85739964	     	：成都圣韦斯特精密设备制造有限公司	     	86-028-85739965	     	四川 成都四川 双流县 成都蛟龙工业港双流园区东海一路三座公司电话：86-028-85739965公司传真：86-028-85739964
 028 85649368	     	张成果	     	称：双流县蒲菲特机械加工部	     	四川 成都四川 成都市 双流县华阳镇公司官网：http://www.pftmachine.com.cn公司电话：86 028 85649368公司传真：028 85649368
 028 82529128	     	李金福	     	称：成都九鼎机械有限责任公司	     	四川 成都四川 新津县 五津镇五津东路21号公司官网：http://www.jdjx999.cn公司电话：86 028 82529128公司传真：86 028 82529128
-028-86613214	     	王忻怡女士(一般)	     	称：忻怡电子公司	     	四川 成都四川 成都市 双华路151号公司电话：86-028-86613214公司传真：86--
--	     	：国营广明无线电厂	     	86-0839-3360650	     	四川 广元四川 广元市 四川省广元市国营广明无线电厂机电６分厂公司电话：86-0839-3360650公司传真：86--
 绵竹市 四川绵竹	     	：四川索普刀具配件厂	     	86-0838-6403186	     	四川 德阳四川 绵竹市 四川绵竹公司电话：86-0838-6403186
-0833-3206006	     	谢一夫先生	     	称：四川亚西橡塑机器有限公司外联部	     	四川 乐山四川 乐山市 乐山市牛华镇胜利街128号公司官网：http://www.yxxs.com公司电话：86-0833-3206006公司传真：86-0833-3270290
-0832-3189352	     	：(中加)简阳分公司	     	86-0832-3189320	     	四川 资阳四川 简阳市 政府街161号公司官网：http://xzzhongjia@163.com公司电话：86-0832-3189320公司传真：86-0832-3189352
--	     	：成都五块石电子电器市场	     	86-028-83139300	     	四川 成都四川 成都市 成都五块石商贸大道17号518室公司电话：86-028-83139300公司传真：86--
 028 82765772	     	王润民	     	称：成都永和精密机械制造有限公司	     	四川 成都四川 成都市温江区 柳城镇两河路西段188号公司官网：http://www.panlongkj.cn公司电话：86 028 82765772公司传真：86 028 82765772
-028-83555211	     	：浙江远洋工业有限公司(驻成都办事处)	     	86-028-83555211	     	四川 成都四川 成都市 金俯路双水康城2-1-602公司官网：http://www.zhouwsheng.7dud.com公司电话：86-028-83555211公司传真：86-028-83555211
-028-83961837	     	：成都市林森机电配件厂	     	86-028-83961837	     	四川 成都四川 成都市 成都市新都区新都工业开发区南二路公司电话：86-028-83961837公司传真：86-028-83961837
-028-87570883	     	周鹰女士(总经理助理)	     	称：成都兴中意贸易有限公司	     	四川 成都四川 成都市 金牛区蜀华街2号新和名座617室公司电话：86-028-87570883公司传真：86-028-87570883
攀枝花昆熙重工机械有限公司	     	康熙	     	15515513115	     	四川 攀枝花
-28-89028362	     	：成都正山机械制造有限公司	     	86-28-89028362	     	四川 成都四川 成都市 龙泉驿区东航路397号公司电话：86-28-89028362公司传真：86-28-89028362
