公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
黎代志养殖泥鳅	黎代志	13541510905	四川 内江四川内江市中区白马镇公司电话：0832-13541510905
洪雅县中禾四川经营部	梁中	18783398368	四川 眉山公司电话：028-37516656
乐山犍为娃娃鱼生态驯养基地	张先生	13980271794	四川 乐山公司电话：0833-4229598
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
成都琼伟信息技术有限公司	何先生	15583960801	四川 资阳
四川王沟特种水产公司	胡先生	13795569384	四川 自贡
32-4512666	申恩德 销售部经理	称：四川思味特食品有限公司	四川 资阳中国.四川省.资阳公司电话：0832-4512666公司传真：0832-4512666
