公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 盐源苹果阿超果园直发	阿超	18981576572	四川 资阳
四川省资阳市雁江区赵大姐果业	王体文	18982903788	四川 资阳
泸县潮河龙眼出售	简先生	15181416942	四川 自贡
8-83962554	郭峰	称：成都紫泉饮料工业有限公司	四川 成都四川省成都市新都区南三路公司电话：028-83962554公司传真： 
四川省青联众创电子商务有限公司	杨先生	18981494211	四川 达州
8-82588268	龚涛	称：四川省-汇泉罐头食品有限公司	四川 成都四川省成都市公司电话：028-82588268公司传真：028-82588598
攀枝花市沙龙商贸有限责任公司	吴玉珍	13808141136	四川 攀枝花四川省攀枝花市东区长寿路渡口桥北营欣大厦2楼公司电话：0812-2293165公司传真：0812-3397187
省成都市锦江区三槐树路新２号	：成都市长寿堂商务有限公司	86622175	四川 成都四川省成都市锦江区三槐树路新２号公司电话：86622175
 028 15928522390	钟天英	称：成都天晟商贸有限公司	四川 成都四川 成都市 成都市一环路东五段公司官网：http://www.piaoxue2901.com.cn公司电话：86 028 15928522390公司传真：86 010 80115555-721
--	：东方红机械公司	86-0833-6679361	四川 眉山四川 仁寿县 禾加镇正街公司电话：86-0833-6679361公司传真：86--
 0839 58527716	童彬	称：中意绿色食品有限公司	四川 广元四川 广元市 苍溪龙山镇白马街120号公司官网：http://www.t057.cn公司电话：86 0839 58527716公司传真：86 0839 58527716
-0817-3350184	：海林商贸有限公司	86-0817-3366584	四川 南充四川 南充市 高坪区元宝街三幢一层公司电话：86-0817-3366584公司传真：86-0817-3350184
-028-66830500	：成都绿之源进出口贸易有限公司国际部	86-028-66830883	四川 成都四川 成都市 成都市三官堂街１６号望江嘉苑17-1-2公司官网：http://greensourcecn.com公司电话：86-028-66830883公司传真：86-028-66830500
成都爱尚鑫鲜果汇果业有限公司	孙泽强	18980024562	四川 成都公司电话：028-87543556
攀枝花市天翊商贸有限责任公司	钱龙	15181291986	四川 攀枝花公司电话：0812-15181291986
 达州市 四川省达州市大堰乡八村六组	：杨记贸易有限公司	86-0818-3564403	四川 达州四川 达州市 四川省达州市大堰乡八村六组公司电话：86-0818-3564403
-0818-5376929	：雅琼农产品公司	86-0818-5376929	四川 达州四川 万源市 四川省万源市建设路11号公司电话：86-0818-5376929公司传真：86-0818-5376929
-028-82320008	：四川省成都市街子农业旅游开发有限公司	86-028-82320008	四川 成都四川 崇州市 崇州市街子镇余庆村公司电话：86-028-82320008公司传真：86-028-82320008
--	：蜀竹农产品贸易有限公司	86-0818-6233141	四川 达州四川 大竹县 大竹县东柳果园公司电话：86-0818-6233141公司传真：86--
德昌县唯益农业科技有限责任公司	李仕冬	18781528133	四川 凉山德昌县白鹤沟轻纺食品工业园区公司官网：http://www.weiyidc.icoc.me公司电话：0834-18919506485公司传真：0834-5286566
--	：远航绿色果业有限公司	86-0835-2889945	四川 雅安四川 雅安市 新康路3号公司电话：86-0835-2889945公司传真：86--
 巴中市 文星路250号	：南江核桃产业开发有限公司	86-0827-8268378	四川 巴中四川 巴中市 文星路250号公司电话：86-0827-8268378
--	：海龙商贸有限公司	86-028-84040589	四川 成都四川 金堂县 金堂县温州批发城公司电话：86-028-84040589公司传真：86--
-028-83801176	：四川彭州市九尺镇玉源葡萄园基地	86-028-83801176	四川 成都四川 彭州市 九尺镇玉源村1社{56号}公司电话：86-028-83801176公司传真：86-028-83801176
--	：水星商贸有限公司	86-0830-2991216	四川 资阳四川 安岳县 四川资阳安岳县公司官网：http://gzmtjpj.com公司电话：86-0830-2991216公司传真：86--
-0839-8722231	：广元市元坝区天顺种植场	86-0839-2819089	四川 广元四川 广元市元坝区 元坝区葭萌路公司官网：http://www.tianshun08.cn公司电话：86-0839-2819089公司传真：86-0839-8722231
-0818-8314278	：南唐股份有限公司	86-028-82632654	四川 达州四川 开江县 任市镇655号公司电话：86-028-82632654公司传真：86-0818-8314278
