公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都市燚森电子科技有限公司	     	罗先生	     	18868379618	     	四川 成都
成都科立达科技有限公司	     	mohonglin	     	13980588266	     	四川 成都四川.成都.双流区西航港开发区腾飞四路88号
8-86083688	     	李晓刚	     	称：成都利富汽车美容装饰连锁服务有限公司	     	四川 成都四川省成都市青羊区古中寺街１８号公司电话：028-86083688公司传真： 
-028-66277741	     	刘理先生	     	称：成都华泰汇丰科技有限公司	     	四川 成都四川 成都市 成都高新西区创业园A-321号公司官网：http://www.huatechn.com公司电话：86-028-66277741公司传真：86-028-66277741
-028-85228352	     	刘东先生	     	称：成都英思特贸易有限公司	     	四川 成都四川 成都市 成都市科华南路8号公司官网：http://www.yesdz.com公司电话：86-028-85228352公司传真：86-28-85226701
-028-83910270	     	牟乃华先生	     	称：成都优力特机电有限责任公司销售部	     	四川 成都四川 新津县 成都市新都区大丰工业区公司官网：http://cngv.net公司电话：86-028-83910270公司传真：86-028-83910270
-028-88048606	     	罗云先生	     	称：四川省博日科技发展有限责任公司	     	四川 成都四川 成都市 成都市磨子街7号新棕北716号公司电话：86-028-88048606
-28-83263245	     	赵国荣先生(经理)	     	称：四川浩珑科技有限公司	     	四川 成都四川 成都市 成都市李家沱泰兴路36号462公司官网：http://www.hollong.com公司电话：86-28-83263245公司传真：86-28-83269691
 028 66767630	     	兰品文	     	称：金牛区百丰商贸部	     	四川 成都四川 成都市 成都市万贯机电城二期B区1楼81-87公司电话：86 028 66767630公司传真：86 028 82840146
-028-81202535	     	罗小浪先生(经理)	     	称：上海雅荣生化设备有限公司成都办事处	     	四川 成都四川 成都市 闵行公司电话：86-028-81202535公司传真：86-028-81202535
 28 87043849	     	沈子倪	     	称：成都聚泰行科技有限公司	     	四川 成都四川 成都市 龙腾东路2号附34号公司官网：http://www.fx-1-cn.cn公司电话：86 28 87043849公司传真：86 28 87043849
 028 66459640	     	章小姐	     	称：成都贝斯达仪器有限公司 市场部	     	四川 成都四川 成都市 成都二环路西一段13号侨台大厦3楼公司官网：http://www.cdbsd.net.cn公司电话：86 028 66459640公司传真：86 028 85074290
-028-87662397	     	丁建武先生(主管)	     	称：成都施特威科技发展公司	     	四川 成都四川 成都市 花牌坊街公司官网：http://www.grainstorage.net公司电话：86-028-87662397公司传真：86-028-87661523
成都北方汽车职业技能培训学校	     	冯军	     	13980828074	     	四川 成都
-028-85084428	     	彭荣先生(经理)	     	称：成都市众联汽车配件有限公司	     	四川 成都四川 成都市 成都市红牌楼红运汽配商城3-1-28公司电话：86-028-85084428公司传真：86-028-85076838
-028-66639906	     	陈慧玲女士	     	称：四川亚特技术有限责任公司	     	四川 成都四川 成都市 成都市高新西区西芯大道2号1幢1室公司电话：86-028-66639906公司传真：86--
-28-83730627	     	高举先生(总经理)	     	称：四川省太清机械有限公司	     	四川 成都四川 彭州市 西郊乡公司官网：http://www.sctaiqing.com公司电话：86-28-83730627公司传真：86-28-83730138
-028-87441591-805	     	龚伟先生(没有职位)	     	称：成都博川控制设备有限公司	     	四川 成都四川 成都市 成都市晋阳路颐和雅居2-1-4公司电话：86-028-87441591-805公司传真：86-028-87441593
-028-86661755	     	冯建平先生(首席运营官)	     	称：成都作业者无损检测设备有限公司	     	四川 成都四川 成都市 锦江区下东大街１８号东方时代商城５０５市公司电话：86-028-86661755公司传真：86-028-86666803
-028-83259994	     	周彬先生(经理)	     	称：成都彬彬商贸有限公司	     	四川 成都四川 成都市 成都市八里小区桃蹊路80号2-301公司官网：http://www.bbky.cn公司电话：86-028-83259994公司传真：86-028-83259994
-0817-6171988	     	huangyiming先生(销售)	     	称：四川顺邦石化有限公司	     	四川 南充四川 南充市 四川省南充市维康路2号公司电话：86-0817-6171988公司传真：86--
-028-86838969	     	杨先生先生(采购经理)	     	称：成都德裕隆汽车用品服务有限公司	     	四川 成都四川 成都市 成都市武侯区佳灵路公司电话：86-028-86838969
-028-86372816	     	高速先生(经理)	     	称：成都锦江嘉鑫汽配商行	     	四川 成都四川 成都市 红牌楼三九汽配城公司电话：86-028-86372816公司传真：86-028-86372816
 028 85018639	     	陆永江	     	称：成都市锦绣前程商贸有限公司	     	四川 成都四川 成都市 三九佛兰大车市场１５栋１５－１６号公司官网：http://www.jincheng888.net.cn公司电话：86 028 85018639公司传真：86 028 85018639
-028-66262096	     	赵先东先生(gl)	     	称：成都岛屿电子有限公司	     	四川 成都四川 成都市 bdj公司电话：86-028-66262096公司传真：86-028-66262096
-028-85240955	     	郭健先生(副总)	     	称：成都四通工控有限责任公司	     	四川 成都四川 成都 成都市一环路南2段2号新世纪电脑城西楼10楼C座公司电话：86-028-85240955公司传真：86-028-85241385
 0838 2307561	     	黄定杰	     	称：德阳立达仪器有限责任公司	     	四川 德阳四川 德阳市 德阳市庐山南路三段32号公司官网：http://www.dyldyq.cn公司电话：86 0838 2307561公司传真：86 0838 2903778
