公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 重庆萌图集团	     	s1dsa531d32as1	     	17081218304	     	四川 绵阳
四川千里达救护车出租平台	     	杨登望	     	15583768895	     	四川 成都
四川豪运盈发汽车销售服务有限公司	     	刘先生	     	17360034794	     	四川 成都
13-6600875	     	杨世斌	     	称：荣县宏泰汽车修理厂	     	四川 自贡四川省自贡市荣县新桥镇东兴街261号公司电话：0813-6600875公司传真： 
16-6339888	     	杨进	     	称：四川三阳汽车有限公司	     	四川 绵阳四川省绵阳市高新技术产业开发区科创园街道创业大道...公司电话：0816-6339888公司传真：0816-6355036
38-8999908	     	吴德开	     	称：四川德阳金垆润滑油有限公司	     	四川 德阳四川省德阳市泰山北路区农行宿舍1栋4楼7号公司电话：0838-8999908公司传真：0838-2430713
成都博远电动车有限公司	     	郭颖	     	13980085670	     	四川 成都成都市武侯区长益路2号
成都朗境科技有限公司	     	李建达	     	15228929993	     	四川 成都
福建喜相逢汽车服务股份有限公司四川分公司	     	张鸿	     	15883447691	     	四川 成都
-028-84360072	     	肖震女士(经理)	     	称：成都市联合万方实业有限公司	     	四川 成都四川 成都市 新鸿路249号千和苑3-1-402公司官网：http://www.cnallied.com/公司电话：86-028-84360072公司传真：86-028-84360592
成都聚百元汽车用品服务有限公司	     	张琼	     	18929229209	     	四川 成都公司电话：028-81448108
-028-13880878595	     	唐宏先生	     	称：成都日成汽车护理用品营销公司	     	四川 成都四川 成都市 成都市红牌楼永盛北街1号五幢4-6-1公司官网：http://www.cdrc.com.cn公司电话：86-028-13880878595公司传真：86--
-0816-6391218	     	何其华先生	     	称：绵阳蓝科技有限公司	     	四川 绵阳四川 绵阳市 三江信息工业园公司电话：86-0816-6391218公司传真：86-0816-6391178
-0817-4986066	     	景红梅	     	称：东风南充汽车有限公司	     	四川 南充四川 南充市 南充市嘉陵区嘉南路一段180号公司电话：86-0817-4986066
-028-86717900	     	何世勋先生(负责人)	     	称：成都领秀物资有限公司	     	四川 成都四川 成都市 成都市盐道街六号美华大厦六零四公司电话：86-028-86717900公司传真：86-028-86717900
-28-87796779或86887	     	顾云先生	     	称：安徽江淮客车有限公司	     	四川 成都四川 成都市 一环路西三段03A号公司官网：http://www.jac-bus.com公司电话：86-28-87796779或86887公司传真：86-514-7953112
-0791-5273733	     	罗小平先生	     	称：江铃专用车辆厂成都办事处	     	四川 成都四川 成都市 成都金府路四川江铃公司官网：http://www.jlcxns.com公司电话：86-0791-5273733公司传真：86-0791-5277200
-028-13880964873	     	张德军先生(销售)	     	称：中国人保寿险有限公司	     	四川 成都四川 成都市 成都市通锦桥站公司电话：86-028-13880964873公司传真：86-028-13880964873
-0816-6280095	     	何光全先生(经理)	     	称：绵阳华瑞汽车有限公司	     	四川 绵阳四川 绵阳市 仙人路6号公司电话：86-0816-6280095公司传真：86-0816-6280939
-028-89664445	     	刘智军先生(经理)	     	称：长航武汉汽车物流有限公司	     	四川 成都四川 成都市 成都市成华区鑫驷马桥停车场B区116号公司电话：86-028-89664445公司传真：86-028-83531803
 28 84868486	     	张里波	     	称：成都市天龙交通设备有限公司	     	四川 成都四川 成都市 经济技术开发区(龙泉驿)世纪大道515号龙腾工业城9B-1公司官网：http://www.tzy1.cn公司电话：86 28 84868486公司传真：86 28 84879388
 028 85766700	     	彭万刚	     	称：成都奥菲尔车用复合板厂	     	四川 成都公司官网：http://www.cdlccxl.cn公司电话：86 028 85766700
成都绿捷新能源电动汽车服务有限公司	     	黄美瑶	     	18328588699	     	四川 成都公司电话：028-65402554
成都绿通达科技有限公司	     	查恩才	     	13908089172	     	四川 成都公司电话：028-83918719
-0813-5445421	     	何先生先生(公司领导)	     	称：利达汽车运输公司	     	四川 绵阳四川 绵阳市 粉玫瑰公司电话：86-0813-5445421公司传真：86-0816-1548245
-028-85085213	     	苏先生先生(职工)	     	称：成都市东泰汽车配件商行	     	四川 成都四川 成都市 成都市红牌楼三九汽配城一号楼三号公司电话：86-028-85085213公司传真：86-028-85084213
四川建邦建工机械有限公司	     	李洪霞	     	18080917696	     	四川 德阳四川广汉向阳镇瓦店村7社公司官网：www.scjbjg.com公司电话：0838-5567130公司传真：0838-5567130
