公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都卡美尔汽车用品有限公司	     	杨经理	     	18382325013	     	四川 成都成都双流彭镇公司官网：http://www.huangye88.com公司传真：028-83223742
成都锐行汽车改装店	     	老李	     	18008051141	     	四川 成都
武侯区天一汽车用品商行	     	成都天一汽车改装	     	18215682399	     	四川 成都天一车灯
17-2603044	     	黄文浦	     	称：南充市顺庆区顺安汽车座椅厂	     	四川 南充四川省南充市顺庆区金鱼岭路公司电话：0817-2603044公司传真： 
32-7126668	     	曾亚平	     	称：简阳市兴旺汽车标准件厂	     	四川 资阳四川省资阳市简阳市新市镇新伍街48号公司电话：0832-7126668公司传真：0832-7126668
省成都市武侯区四川省成都市武侯区新光路１号	     	3881971111	     	称：成都欧派精工汽车护理有限公司银都分公司	     	四川 成都四川省成都市武侯区四川省成都市武侯区新光路１号
-0839-5283537	     	杨名洋先生(销售主管)	     	称：环球公司	     	四川 广元四川 苍溪县 四川省苍溪县北门路48号公司电话：86-0839-5283537公司传真：86--
-0838-8896251	     	曾洪贵先生(负责人)	     	称：四川省德阳市新星车蓬发展公司	     	四川 德阳四川 德阳市 市区城北白糖厂社区内公司电话：86-0838-8896251公司传真：86--
 028 83576549	     	芦瑛琳	     	称：成都新佳特石油化工有限公司	     	四川 成都四川 成都市 金牛区天回镇车站村2组公司官网：http://www.xinjiate168.com.cn公司电话：86 028 83576549公司传真：86 028 83576549
成都威斯盾科技有限公司	     	谢女士	     	18111541702	     	四川 成都四川省成都市武侯区武科西二路189号中铁隆大厦208公司官网：http://www.vstcar.com公司电话：028-85530853
-028-13558886642	     	刘侨先生(销售)	     	称：成都酷卡汽车用品有限公司	     	四川 成都四川 成都市锦江区 成都火车南站西路599号公司电话：86-028-13558886642公司传真：86--
成都玖桦贸易有限公司	     	杨小姐	     	15928056821	     	四川 成都公司电话：028-85291460
-0827-6260109	     	陈均先生(主管)	     	称：四川室内环保产品有限公司	     	四川 巴中四川 平昌县 汉王庙长太三号楼2-10-1公司官网：http://www.pcchenjun.com公司电话：86-0827-6260109公司传真：86-0827-6260109
四川御豪威格汽车用品制造有限公司	     	15828522461	     	15828522461	     	四川 成都公司电话：028-86962545
-0817-2636149	     	：嘉腾商贸公司	     	86-0817-2636149	     	四川 南充四川 南充市 四川南充西河北路公司电话：86-0817-2636149公司传真：86-0817-2636149
-028-85057161	     	王娇女士	     	称：成都紫东方环保科技有限公司	     	四川 成都四川 成都市 成都高升桥南街罗浮世家2栋3单元1101公司官网：http://www.ovtech.com.cn公司电话：86-028-85057161公司传真：86-028-85057161
--	     	：江油市皓鑫商贸有限公司	     	86-816-6516068	     	四川 绵阳四川 江油市 工业区公司官网：http://haoxin.ebigchina.com公司电话：86-816-6516068公司传真：86--
-0832-3943968	     	贺博先生	     	称：四川天视车镜有限责任公司	     	四川 内江四川 隆昌县 外站路138号公司官网：http://www.ts-mirror.cn公司电话：86-0832-3943968公司传真：86-0832-3944628
-28-84400736	     	龙飞舟先生(经理)	     	称：天日科技有限公司	     	四川 成都四川 成都市 一环路东五段公司电话：86-28-84400736公司传真：86-28-84400726
-028-85251121	     	刘宏先生(总经理)	     	称：西南化工研究设计院循环水项目部	     	四川 成都四川 成都市 成都市人民南路四段公司电话：86-028-85251121公司传真：86-028-85249599
武侯区盛世华创汽车用品商行	     	王周	     	15982164915	     	四川 成都公司电话：028-61811291
-028-85064225	     	：嘉陵油业有限公司	     	86-028-85064225	     	四川 成都四川 成都市 永丰汽配城9101号公司电话：86-028-85064225公司传真：86-028-85064225
 028 83573996	     	张轶	     	称：四川蜀光石油化工有限公司	     	四川 成都四川 成都市金牛区 成都市金牛区天回乡红星村二组公司官网：http://www.scsg168.cn公司电话：86 028 83573996公司传真：86 028 83573996
-028-85305726	     	：沃尔达润滑油有限公司	     	86-028-85305716	     	四川 成都四川 成都市 四川省川东川北公司电话：86-028-85305716公司传真：86-028-85305726
 028 66737956	     	童强	     	称：成都东羽汽车贴纸有限公司	     	四川 成都四川 成都市 成都市亿家天下（二环路北3段191号）A座825号公司官网：http://www.dy10zx.cn公司电话：86 028 66737956公司传真：86
四川盛利兴电子科技有限公司	     	孙川	     	15228681520	     	四川 遂宁公司电话：0825-2317187
成都泊安电子贸易有限公司	     	罗冬梅	     	13880158381	     	四川 成都公司电话：028-85056603
