公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 平舆县杨埠镇祺翔废旧灭火器回收点	     	冯先生	     	13520065999	     	四川 资阳平舆县杨埠镇河南集市
四川万尔升科技有限公司	     	焦畏毛	     	13908029795	     	四川 成都
成都四海防火制品有限公司	     	孙捷	     	15882221452	     	四川 成都四川成都市龙泉经济技术开发区车城东七路412号公司传真：028-84818780
省成都市金牛区沙湾路２２０号附４号	     	3688091162	     	称：成都宏尔贸易有限公司	     	四川 成都四川省成都市金牛区沙湾路２２０号附４号
8-86279883	     	秦琳	     	称：攀枝花市春雷楼宇自动化防灾工程有限责任公司成都分公...	     	四川 成都四川省成都市青羊区人民北路28号房地产大厦20层公司电话：028-86279883公司传真：028-86279466
成都市五洋消防设备有限公司	     	李豪杰	     	13693479110	     	四川 成都
-028-87796391	     	盛平先生(代理)	     	称：临安艾丽格装饰材料有限公司	     	四川 成都四川 成都市 成都市八一家具城公司官网：http://www.ailige.com.cn公司电话：86-028-87796391公司传真：86-028-85502063
-0816-2377549	     	顾俊杰先生(私营)	     	称：威邦国际企业集团绵阳地区	     	四川 绵阳四川 绵阳市 临园路西段73-34号公司电话：86-0816-2377549公司传真：86-0816-2364587
-0818-8155598	     	：四川达州安顺达物资有限公司	     	86-0818-2676020	     	四川 达州四川 达州市 达县南外升华街公司电话：86-0818-2676020公司传真：86-0818-8155598
-0832-8956045	     	：四通耐火材料厂	     	86-0832-8956031	     	四川 内江四川 威远县 小河镇公司电话：86-0832-8956031公司传真：86-0832-8956045
 028 66252128	     	彭为光	     	称：四川千业环保产业发展有限公司	     	四川 成都四川 成都市 成都市十陵镇来龙村七组自编号1-1公司官网：http://www.sichuanqianye.cn公司电话：86 028 66252128公司传真：86 028 66252096
 028 87183186	     	张泰良	     	称：成都光烈电熔耐火材料有限公司	     	四川 成都四川 都江堰市 都江堰市驾虹乡公司官网：http://www.cdnhcl.com.cn公司电话：86 028 87183186公司传真：86 028 87233599
 0816 3312816	     	欧阳安平	     	称：四川江油市德园空心微珠厂(普通合伙)	     	四川 绵阳四川 江油市 江油市太平镇龙头村九组公司官网：http://www.dykxwz.cn公司电话：86 0816 3312816公司传真：86 0816 3312826
-0838-3991318	     	唐华国先生(厂长)	     	称：罗江县利华玻璃纤维加工厂	     	四川 德阳四川 德阳市 罗江县太平村八组公司电话：86-0838-3991318公司传真：86-0838-3991318
--	     	：四川巨健消防有限责任公司	     	86-0817-3664119	     	四川 南充四川 南充市 四川南充公司电话：86-0817-3664119公司传真：86--
成都石人消防器材装备有限责任公司	     	赖昱滔	     	18683258792	     	四川 成都公司电话：028-81705725
--	     	：攀枝花合力泰工贸有限责任公司	     	86-0812-3359899	     	四川 攀枝花四川 攀枝花市 东区公司电话：86-0812-3359899公司传真：86--
 812 6210088	     	陈家伟	     	称：攀枝花市万腾工贸有限责任公司	     	四川 攀枝花四川 攀枝花市仁和区 攀枝花市钒钛产业园区公司官网：http://www.pzhwanteng.cn公司电话：86 812 6210088公司传真：86 812 6210088
-0835-2243469	     	裴晓锋先生(经理)	     	称：瑞锋化料公司	     	四川 雅安四川 雅安市雨城区 张家山路155号公司电话：86-0835-2243469公司传真：86-0835-2243469
-028-85361875	     	吕志会先生	     	称：成都府天新材料科技有限公司技质部	     	四川 成都四川 成都市 武科西二路一号公司电话：86-028-85361875公司传真：86-028-85361875
-028-8686121	     	：金牛区永同昌阀门销售部	     	86-028-66625916	     	四川 成都四川 成都市金牛区 金府机电城号A区9幢16公司电话：86-028-66625916公司传真：86-028-8686121
--	     	：福建泉州市晋源消防水暖有限公司成都办事处	     	86-028-86286161	     	四川 成都四川 成都市 成都交大路222号长久机电城13-9B公司电话：86-028-86286161公司传真：86--
-28-86720124	     	：-四川泰格尔系统集成有限公司	     	86-28-86720120	     	四川 成都四川 成都市 成都市天仙桥南路大川巷９号公司电话：86-28-86720120公司传真：86-28-86720124
成都华墅钢构工程有限公司	     	王宇	     	13308077818	     	四川 成都公司电话：028-82675809
-0826-4662152	     	：四川省华莹市银溪耐火材料厂	     	86-0826-4662152	     	四川 广安四川 华蓥市 四川省华莹市溪口镇原长城厂74号公司电话：86-0826-4662152公司传真：86-0826-4662152
成都丰安消防	     	刘红	     	18380200226	     	四川 成都公司电话：028-15802846119
-0816-6666942	     	邓先生先生	     	称：绵阳市涪城区华合彩钢构件安装服务部	     	四川 绵阳四川 绵阳市 绵阳市长虹大道北段38-14号公司官网：http://www.myhhcg.cn公司电话：86-0816-6666942公司传真：86-0816-2680662
