公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 四川创亿电子商行	     	杨先生	     	15882513169	     	四川 资阳
自贡市星熠彩灯文化传播有限公司	     	黄伟	     	15309001185	     	四川 自贡
宜兴市华宏电器制造有限公司成都办事处	     	童平	     	13771393348	     	四川 成都江省宜兴市红塔工业园
四川世纪昇源新能源科技有限公司	     	徐先生	     	15198257112	     	四川 成都兴乐北路88号缤纷时代广场3号楼1219公司电话：028-83019872公司传真：028-83019872
成都新炎科技有限责任公司	     	梁科	     	18780007326	     	四川 成都成都市成华区东三环路二段宝耳路2号公司官网：wwww.cdxinyan.com公司电话：028-83049861
四川众兴华业照明工程有限公司	     	罗小姐	     	18000586039	     	四川 成都四川成都武侯区公司电话：028-85648099
-816-2469394	     	肖乐阳先生	     	称：绵阳瀚森科技有限公司	     	四川 绵阳四川 绵阳市 四川绵阳市跃进路36号公司官网：http://www.jzyd.com公司电话：86-816-2469394公司传真：86--
-028-85725113	     	李燕池女士	     	称：成都科星电器桥架有限公司	     	四川 成都四川 成都市 黄甲大道一段公司电话：86-028-85725113公司传真：86-028-85725013
-028-84400901	     	刘玮先生(经理)	     	称：成都东鸿照明工程有限公司	     	四川 成都四川 成都市 成都市一环路东五段108号东恒国际2栋2区304室公司电话：86-028-84400901公司传真：86-028-84400902
-0817-3481931	     	：南充市天元节能科技有限公司	     	86-0817-3481931	     	四川 南充四川 南充市 南充市莲池路133号公司电话：86-0817-3481931公司传真：86-0817-3481931
 028 88862176	     	杨纪	     	称：成都科锐达机电设备有限公司	     	四川 成都四川 成都市金牛区 成都市三环路万贯五金机电城17号大厅19号门公司官网：http://www.krdjdsb.com.cn公司电话：86 028 88862176公司传真：86 028 82859840
-028-68107231	     	刘驰先生(副总经理)	     	称：成都三联富成实业有限公司	     	四川 成都四川 成都市 人民南路四段9号公司电话：86-028-68107231公司传真：86-028-85211367
 0826 3218600	     	徐华杰	     	称：四川省徐氏煤矿设备制造有限公司	     	四川 广安四川 邻水县 工业集中发展区公司官网：http://www.scxushi.com.cn公司电话：86 0826 3218600公司传真：86 0826 3229930
-028-85241810	     	汪	     	称：成都世纪中科智能网络系统有限公司－销售部	     	四川 成都四川 成都市 成都市一环路南一段22＃红瓦大厦802公司官网：http://www.cdsjzk.cn公司电话：86-028-85241810公司传真：86-028-85241813
 028 84400845	     	：锦江区西顿照明器材经营部	     	86 028 84400844	     	四川 成都四川 成都市 成都市一环路东五段东恒国际1栋1区241号公司官网：http://www.cdnlighting028.cn公司电话：86 028 84400844公司传真：86 028 84400845
-28-82982966	     	贺锋先生(业务经理)	     	称：四川华业市政照明工程有限公司	     	四川 成都四川 成都市 成都市华阳工业开发区公司电话：86-28-82982966公司传真：86--
-028-85050600	     	杨放女士(总经理)	     	称：成都金长源商贸有限责任公司	     	四川 成都四川 成都市 一环路高升桥瑞金广场生活阳光大厦2栋15A公司电话：86-028-85050600公司传真：86-028-85051186
-0816-6030487	     	谢瑞君先生(经理)	     	称：深圳市远腾绝缘材料有限公司四川办事处	     	四川 绵阳四川 绵阳市 游仙区中经北路35号公司电话：86-0816-6030487公司传真：86-0816-6030487
四川宝利达光电科技有限公司	     	王昌	     	18781924158	     	四川 遂宁公司电话：0825-8136686
-0816-2387752	     	李洪陈先生(经理)	     	称：四川怡成电器有限公司	     	四川 绵阳四川 绵阳市 绵阳市临园路时代大厦23楼L公司电话：86-0816-2387752公司传真：86-0816-2220544
四川长虹器件科技有限公司	     	赵女士	     	18161043824	     	四川 绵阳
 28 87528000	     	周永忠	     	称：成都新特电子工业有限公司	     	四川 成都四川 成都市 茶店子横街7号公司官网：http://www.newesp111.cn公司电话：86 28 87528000公司传真：86 28 87523300
 0838 2800131	     	刘富林	     	称：四川佳信绝缘材料有限公司	     	四川 德阳四川 德阳市 德阳市天元开发区青海路泰华山街公司电话：86 0838 2800131公司传真：86 0838 2801796
-028-87669178	     	：成都市林珈商贸部	     	86-028-87669178	     	四川 成都四川 成都市 西门华凌机电广场A区22号公司电话：86-028-87669178公司传真：86-028-87669178
 0835 2315056/231	     	刘佳	     	称：雅安兴美云母工业有限责任公司	     	四川 雅安四川 雅安市雨城区 雅安市雨城区草坝工业集中开发区公司电话：86 0835 2315056/231公司传真：86 0835 2315056
-28-66096779	     	王涛先生(总经理)	     	称：成都源胜节能科技有限责任公司１	     	四川 成都四川 成都市 金牛区蜀汉路４９０号绿杨新公司电话：86-28-66096779公司传真：86--
-0816-2285937	     	涂晓燕女士(总经理)	     	称：绵阳市昌盛电气有限责任公司	     	四川 绵阳四川 绵阳市 市南山路48号公司电话：86-0816-2285937公司传真：86-0816-2285937
