公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 四川鼎财能源科技有限责任公司	     	许经理	     	15114092164	     	四川 成都
四川智久节能科技有限公司	     	李思评	     	13038115919	     	四川 泸州
成都市理想舒适家节能科技有限公司	     	吴先生	     	18086818212	     	四川 成都
 0838 2206868	     	郁	     	称：德阳奥博换热设备有限公司	     	四川 德阳四川 德阳市 德阳市绵远街169号2栋3单元1楼1号公司电话：86 0838 2206868公司传真：86 0838 2209696
 028 87511550	     	唐潇	     	称：成都国泰三鑫制药设备工程有限公司	     	四川 成都四川 成都市 成都市外西土桥全兴酒厂后侧公司官网：http://www.cdgtsx.cn公司电话：86 028 87511550公司传真：86 028 87511034
-028-88051731	     	张明先生(总经理)	     	称：成都鑫新力冷暖设备有限公司	     	四川 成都四川 成都市金牛区 成都市蜀兴东街一号2-4-1公司电话：86-028-88051731公司传真：086-028-66650906
-28-83949771	     	：成都市新都旗云机械设备厂	     	86-28-66204610	     	四川 成都四川 成都市新都区 成都市新都区斑竹园工业区公司电话：86-28-66204610公司传真：86-28-83949771
-028-88004843	     	范晓晖先生(总经理)	     	称：成都明瑞晨晖冷暖设备有限公司	     	四川 成都四川 成都市 成都市蜀兴东街1号2-4-1公司电话：86-028-88004843公司传真：86-028-87575241
 28 66588241	     	诸小军	     	称：利德盛机械（成都）有限公司	     	四川 成都四川 成都市 成都市龙泉驿区东山国际新城A区116栋3单元204室公司官网：http://www.cdlds50.cn公司电话：86 28 66588241公司传真：86 28 66588241
	     	：上海诺深压缩机有限公司成都办事处	     	028-83908175	     	四川 成都成都公司传真：028-83908175
市黄田坝黄金苑8-5-1A	     	：杭州东能机电设备有限公司成都办事处	     	028-87468484	     	四川 成都成都市黄田坝黄金苑8-5-1A公司传真：028-87468484
市万贯五金机电城C区一幢15号	     	：成都明珠泵业有限公司	     	028-87696101	     	四川 成都成都市万贯五金机电城C区一幢15号公司官网：http://www.mzby.com公司传真：028-87696101
四川鼎财能源科技有限责任公司	     	许经理	     	15114092164	     	四川 成都
四川智久节能科技有限公司	     	李思评	     	13038115919	     	四川 泸州
成都市理想舒适家节能科技有限公司	     	吴先生	     	18086818212	     	四川 成都
四川鼎财能源科技有限责任公司	     	许经理	     	15114092164	     	四川 成都
四川智久节能科技有限公司	     	李思评	     	13038115919	     	四川 泸州
成都市理想舒适家节能科技有限公司	     	吴先生	     	18086818212	     	四川 成都
四川鼎财能源科技有限责任公司	     	许经理	     	15114092164	     	四川 成都
四川智久节能科技有限公司	     	李思评	     	13038115919	     	四川 泸州
成都市理想舒适家节能科技有限公司	     	吴先生	     	18086818212	     	四川 成都
四川鼎财能源科技有限责任公司	     	许经理	     	15114092164	     	四川 成都
四川智久节能科技有限公司	     	李思评	     	13038115919	     	四川 泸州
成都市理想舒适家节能科技有限公司	     	吴先生	     	18086818212	     	四川 成都
四川鼎财能源科技有限责任公司	     	许经理	     	15114092164	     	四川 成都
四川智久节能科技有限公司	     	李思评	     	13038115919	     	四川 泸州
成都市理想舒适家节能科技有限公司	     	吴先生	     	18086818212	     	四川 成都
