公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都鑫创物流有限公司	吴先生	13881891689	四川 成都
成都领盛货运有限公司	符辰	18380332113	四川 成都
四川大崇国际外汇交易所	王经理	15999605013	四川 南充
四川航汇国际物流有限公司	倪琪雯	17313186692	四川 成都
万享供应链管理（成都）有限公司	雷小姐	13524531938	四川 成都
四川优力达国际物流有限公司	祝晓慧	18398655017	四川 成都
四川盛迦汽车租赁有限公司	胡先生	18783765496	四川 成都公司电话：028-88863266
成都市哨子科技有限公司	方女士	17358510585	四川 成都公司电话：028-61384739
金牛区同舟废旧物资回收站	杨志周	13060065532	四川 成都公司电话：028-1306006
成都致远物流有限公司	钟女士	13350063698	四川 成都
四川狼途腾科技有限公司	高思伟	13551066688	四川 成都公司电话：028-85191218
成都世吉有限公司	周杰	15281726711	四川 成都
四川航汇国际物流有限公司	王子盟	18583973230	四川 成都
绵阳市东鸟商贸有限责任公司	陈凤军	13568119921/18981162245	四川 绵阳中国 四川 绵阳市 桃园街190号*峻峰金岸7F-12公司电话：0816-2336989/6672245公司传真：0816-2336989
成都传化锦鑫物流公司	李先生	18081988272	四川 成都
万享供应链管理成都有限公司	何江研	13438894097	四川 成都公司电话：028-85268540
-028-85184911	肖先生先生	称：成都易科快运服务有限公司	四川 成都四川 成都市 二环路南二段公司电话：86-028-85184911公司传真：86-028-85184911
-028-83375099	杜先生先生	称：四川艾达物流有限公司	四川 成都四川 成都市金牛区 成都市公司官网：http://WWW.SCADS-gYoup.com公司电话：86-028-83375099公司传真：86-028-83315250-602
重庆耀尚供应链管理有限公司	付超	18383391658	四川 成都
-028-85021512	王雪花女士(销售)	称：远成集团空运分公司	四川 成都四川 成都市 武侯大道铁佛段260号公司电话：86-028-85021512
-028-86661055	付先生先生	称：中国海运成都中海物流有限公司	四川 成都四川 成都市 国际商务大厦A座5楼公司官网：http://www.cdzh56.com公司电话：86-028-86661055公司传真：86-028-86658229
内江捷合铖电子有限公司	黄力龙	18308241684	四川 内江
成都远程航空货运代理有限公司	刘经理	13258355158	四川 成都
-028-68822318	胡泽军先生	称：成都联行物流信息技术服务有限公司	四川 成都四川 成都市 成都金色夏威夷7－23A公司官网：http://lx56.cn公司电话：86-028-68822318公司传真：86-028-68822318
供应链管理（成都）有限公司	马永玲	18382414969	四川 成都上海浦东新区公司官网：www.vanhang .cn公司电话：028-85268535
-028-66123738	杨鑫先生	称：成都市超波物流有限公司	四川 成都四川 成都市 成都市外北川陕路111号公司官网：http://超波物流公司电话：86-028-66123738公司传真：86-028-66123738
-028-66278997	张冲先生	称：四川金博奥科技有限公司	四川 成都四川 成都市 四川成都市二环路南三段一号祥福苑大厦东楼E1302公司官网：http://www.zh56 .com公司电话：86-028-66278997公司传真：86-028-
