公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 自贡市大洋艺术公司	司女士	18381710628	四川 自贡
芜湖悠派科技股份有限公司	心上宝贝客服	13411033975	四川 成都
自贡市众邦文化传播公司	刘利珍	15281337605	四川 自贡
成都雅牧坊宠物有限公司	小牧	18981913632	四川 成都
成都乐琪宠物用品有限公司	李先生	18980610160	四川 成都公司电话：028-86795061
成都乐琪宠物用品有限公司	李先生	18980610160	四川 成都公司电话：028-86795061
自贡仿真恐龙景观艺术有限公司	江经理	18681300243	四川 自贡四川省自贡市大安区新民镇董家五组公司官网：http://www.dinosaur-market.com公司电话：0813-5843118公司传真：0813-5843337
-028-89397306	：成都童心玩具有限公司	86-028-89397306	四川 成都四川 成都市 成都市新都小城故事10栋8号公司电话：86-028-89397306公司传真：86-028-89397306
 028 86378283	罗军	称：龙泉驿区十陵镇铭嘉宠物用品商店	四川 成都四川 成都市 成都市龙泉驿区十陵镇创业路明珠时代广场481号2F公司官网：http://www.mjpet.com.cn公司电话：86 028 86378283公司传真：86 028
 028 83370122	张轶骏	称：成都上一玩具商行	四川 成都" 四川 成都市金牛区 荷花池东三区负一楼A35A07号"公司官网：http://www.shangyitoys.com.cn公司电话：86 028 83370122公司传真：86 028 83370122
--	：成都市关心幼儿园	86-028-88567899	四川 成都四川 成都市 成都成华区十里店公司电话：86-028-88567899公司传真：86--
 028 84210747	胡永清	称：成华区福多宠物服饰厂	四川 成都四川 成都市 成华区十陵宠物市场D区9#铺公司官网：http://www.fdcwfz.com.cn公司电话：86 028 84210747公司传真：86 028 84210747
-028-86061888	：四川上下贸易有限责任公司	86-028-86061888	四川 成都四川 成都市 成都市一环路南二段一号天歌大厦侧楼2单元401公司官网：http://www.e7080.com公司电话：86-028-86061888公司传真：86-028-86061888
 成都市 金牛区二环路三段363号	：四川宏运科技有限公司	86-028-81223993	四川 成都四川 成都市 金牛区二环路三段363号公司电话：86-028-81223993
-028-85447088	：德西亚产业集团	86-028-82065291	四川 成都四川 崇州市 成都市一环路南一段一号公司电话：86-028-82065291公司传真：86-028-85447088
 0837 8886667	杨军	称：阿坝州鑫世纪网络服务有限公司	四川 阿坝四川 马尔康县 马尔康县团结街8号公司官网：http://www.abaren777.cn公司电话：86 0837 8886667公司传真：86
成都嘉贝乐游乐有限公司	小陆	18981781611	四川 成都成都市新津县公司电话：028-82522421
-0833-8231785	：四川省眉山市游乐设备厂	86-0833-8362797	四川 眉山四川 眉山市 东坡区象耳镇崇义村四组公司官网：http://scmswj.com公司电话：86-0833-8362797公司传真：86-0833-8231785
 成都市 金沙路135号智业公寓Ａ栋１单元１号	：四川浪潮飞龙游乐设施有限公司	86-028-87658068	四川 成都四川 成都市 金沙路135号智业公寓Ａ栋１单元１号公司官网：http://cdlangchao.com公司电话：86-028-87658068
 028 68511504	杜欢	称：成都新运动文化发展有限公司	四川 成都四川 成都市 一环路北二段3号312公司官网：http://www.cdnmt.cn公司电话：86 028 68511504公司传真：86 028 68511504
 028 85790664	周爱招	称：四川省金牌康体设备有限公司	四川 成都四川 成都市 双流县迎春路127号一幢3单元8号公司官网：http://www.jpktsb.cn公司电话：86 028 85790664公司传真：86 028 85790664
-028-85485051	：成都思维达科技发展有限公司	86-028-85485051	四川 成都四川 成都市 成都市武候区人民南路三段31号公司电话：86-028-85485051公司传真：86-028-85485051
 攀枝花市东区 仁和区田坝村	：证红贸易公司	86-0812-6827118	四川 攀枝花四川 攀枝花市东区 仁和区田坝村公司电话：86-0812-6827118
成都孩乐堡游乐设备有限公司	肖先生	13881929673	四川 成都公司电话：028-67339188
成都心相印玩具厂	邓世军	13980027460	四川 成都公司电话：028-83989403
成都市龙时代塑胶模具有限公司	陈钛	150	四川 成都中国 四川 成都市 成都市金牛区金泉街道兴盛6组兴仓储B-3（方家桥）公司官网：http://www.lsd6668.cn公司电话：86 028  87592518公司传真：86 028 87592518
成都市童智园教育设备有限公司	邹涛华	15902817926	四川 成都公司电话：028-87395852
