公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 四川恒安源电气设备有限公司	     	余海龙	     	18981782546	     	四川 成都
成都好惠捷实业有限公司	     	冯毅	     	13880602507	     	四川 成都成都市金牛区金府机电城A区10栋40号
成都三是汇科技有限公司	     	陈良东	     	15881010995	     	四川 成都
成都市美康三杉木业有限公司	     	张焕兵	     	15928992952	     	四川 成都公司电话：028-82783077
成都艾贝斯科技发展有限公司	     	冯经理	     	18328378913	     	四川 成都
成都天刚昊贸易有限公司	     	王刚	     	18608047068	     	四川 成都
成都奥博特机电设备有限公司	     	徐先生	     	13881952003	     	四川 成都
四川中农众和农业科技有限公司	     	王总	     	18682694321	     	四川 成都公司电话：028-62058187
四川华林线缆有限公司	     	杨宽	     	15184381211	     	四川 成都
-28-83118072	     	：成都恩英尔贸易有限公司	     	86-28-66582302	     	四川 成都四川 成都市 成都市金牛区蓉北商贸大道168号公司官网：http://www.eninl.com公司电话：86-28-66582302公司传真：86-28-83118072
-28-87535829	     	兰夏天先生(销售经理)	     	称：施耐德电气（香港）科技有限公司	     	四川 成都四川 成都市 成都市五里敦东路18号公司电话：86-28-87535829公司传真：86-28-87535829
-0833-8191706	     	陈良军先生(技术总监)	     	称：长菱科技新能源有限公司	     	四川 眉山四川 眉山市 眉山同升小 区东3号公司电话：86-0833-8191706公司传真：86-0833-8191706
-028-86666100	     	杨燕女士(销售员)	     	称：成都市骏凯恒丰贸易有限公司	     	四川 成都四川 成都市 磨子桥百脑汇咨讯广场3F-H23公司电话：86-028-86666100公司传真：86-028-86666100
-028-84862826	     	陈锦先生(销售经理)	     	称：成都川峰电缆厂	     	四川 成都四川 成都市 成都龙泉长柏工业区公司官网：http://www.cdchuanfeng.cn公司电话：86-028-84862826公司传真：86-028-
-028-82840301	     	韩锋先生	     	称：九州电缆有限公司	     	四川 成都四川 成都市 万贯五金机电城Ｃ区５栋１６号公司电话：86-028-82840301公司传真：86--
-028-86316535	     	全小东先生(总工)	     	称：成都新联安科技工程公司	     	四川 成都四川 成都市 成都市人民南路1段4号时代数码广场20A4公司官网：http://www.newleonard.com公司电话：86-028-86316535公司传真：86-028-86316539
-028-87650667	     	杨亚涛先生	     	称：成都宏光电磁线销售有限公司	     	四川 成都四川 成都市 一环路北一段184号公司官网：http://www.hgdcx.com公司电话：86-028-87650667公司传真：86-028-87652880
成都赛诺菲电气有限公司	     	陈女士	     	15528182256	     	四川 成都成都市武侯区武兴二路8号5层（武侯新城管委会内）公司官网：www.公司电话：028-83155235公司传真：028-83155232
-028-13684002332	     	赵敏先生	     	称：深圳市基鑫热能有限公司驻成都办事处	     	四川 成都四川 成都市 成都市西区花园江西街8巷34号公司电话：86-028-13684002332
-28-66501274	     	：成都申能科技有限公司（工程部）	     	86-28-66501275	     	四川 成都四川 成都市 一环路东五段108号1-1-909公司官网：http://www.sunentech.com公司电话：86-28-66501275公司传真：86-28-66501274
 028 82861620	     	王名郎	     	称：成都市金牛区强鑫电器材料经营部	     	四川 成都四川 成都市 成都金府路555号万贯机电城C区超市A117-120号公司官网：http://www.pktdc.com公司电话：86 028 82861620公司传真：86 028 87697080
-023-68676612	     	谭朝盛	     	称：重庆渝展电气有限公司	     	四川 成都四川 成都市 青华路42号公司电话：86-023-68676612公司传真：86-028-87325604
 816 8015392	     	文芙蓉	     	称：绵阳市三正电缆有限公司	     	四川 绵阳四川 绵阳市 绵阳公司电话：86 816 8015392
-028-87560981	     	李洋先生(工程师)	     	称：四川建平电气有限公司	     	四川 成都四川 成都市 成都市沙湾路公司电话：86-028-87560981公司传真：86-028-87560981
-028-66042478	     	：成都众汇通商贸有限责任公司	     	86-028-66568797	     	四川 成都四川 成都市 永丰路国际花园4栋4-1-4公司电话：86-028-66568797公司传真：86-028-66042478
-028-66788111	     	汪继伦先生(总经理)	     	称：成都吉伦科技有限公司销售部	     	四川 成都四川 成都市 成都市净居寺22号公司电话：86-028-66788111公司传真：86-028-84590109
6-0833-8950153	     	：四川省格辉阳电气有限责任公司 工贸服务二部	     	86-0833-8950153	     	四川 眉山四川 彭山县 凤鸣镇紫微中街280号公司官网：http://www.huiyangge.com公司电话：86-0833-8950153公司传真：086-0833-8950153
