公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都君能行皮革制品有限公司	朱钟林	18161268898	四川 成都
成都市金牛区光华箱包经营部	成立树	15828394325	四川 成都中国四川成都市四川成都市荷花池百货一区箱包41-42号公司电话：862866131839公司传真： 
四川绵阳市江油市纪念碑小区	刘雷雷	称：绵阳兰朵商贸有限公司	四川 绵阳中国四川绵阳市江油市纪念碑小区
-028-88772987	：邛崃市环宇科技服务部	86-028-88761245	四川 成都四川 成都市 邛崃市文庙街146号公司电话：86-028-88761245公司传真：86-028-88772987
--	：帮办实业有限公司	86-028-88101122	四川 成都四川 成都市 领事馆路1#公司电话：86-028-88101122公司传真：86--
-0830-6229188	：叙永县正浩科技发展有限责任公司	86-0830-6229188	四川 泸州四川 叙永县 南大街1号公司电话：86-0830-6229188公司传真：86-0830-6229188
 成都市 成都市浆洗街	：华薇电脑有限公司	86-028-88630256	四川 成都四川 成都市 成都市浆洗街公司电话：86-028-88630256
--	：新睿贸易有限公司	86-0831-5525674	四川 宜宾四川 南溪县 南溪县工字街10号公司电话：86-0831-5525674公司传真：86--
--	：江油百强电脑有限公司	86-0816-3365772	四川 绵阳四川 江油市 涪江路138#公司电话：86-0816-3365772公司传真：86--
-0830-	：泸州兄弟电脑公司	86-0830-3205557	四川 泸州四川 泸州市 四川省泸州市江阳区大山坪公司电话：86-0830-3205557公司传真：86-0830-
 成都市龙泉驿区 龙泉驿音乐广场金龙美景	：成都龙泉恒升电脑公司	86-028-84877548	四川 成都四川 成都市龙泉驿区 龙泉驿音乐广场金龙美景公司电话：86-028-84877548
 成都市武侯区 科华北路2号713室	：成都互腾科技有限公司	86-028-68599912/6859	四川 成都四川 成都市武侯区 科华北路2号713室公司电话：86-028-68599912/6859
-028-82916532	：忠英网络公司	86-028-66581343	四川 成都四川 成都市 成都市一环路南三段世纪电脑城公司电话：86-028-66581343公司传真：86-028-82916532
--	：富文家用电教经营部	86-0831-5163626	四川 宜宾四川 宜宾市 义乌小商品城B区60号公司电话：86-0831-5163626公司传真：86--
-028-88888888	：小龙数码公司	86-0832-4335334	四川 成都四川 成都市 成都公司电话：86-0832-4335334公司传真：86-028-88888888
四川龙腾百货公司	张龙丹	13855555554	四川 广元公司电话：0589-56859654
歌力皮具有限公司	王生	13310896931	四川 广元公司电话：020-36761710
金莎会皮具厂	黄先生	15627009948	四川 内江广州白云皮具城对面公司电话：010-89738888-101公司传真：010-89738888-101
成都君能行皮革制品有限公司	朱钟林	18161268898	四川 成都
成都市金牛区光华箱包经营部	成立树	15828394325	四川 成都中国四川成都市四川成都市荷花池百货一区箱包41-42号公司电话：862866131839公司传真： 
四川绵阳市江油市纪念碑小区	刘雷雷	称：绵阳兰朵商贸有限公司	四川 绵阳中国四川绵阳市江油市纪念碑小区
成都君能行皮革制品有限公司	朱钟林	18161268898	四川 成都
成都市金牛区光华箱包经营部	成立树	15828394325	四川 成都中国四川成都市四川成都市荷花池百货一区箱包41-42号公司电话：862866131839公司传真： 
四川绵阳市江油市纪念碑小区	刘雷雷	称：绵阳兰朵商贸有限公司	四川 绵阳中国四川绵阳市江油市纪念碑小区
成都君能行皮革制品有限公司	朱钟林	18161268898	四川 成都
成都市金牛区光华箱包经营部	成立树	15828394325	四川 成都中国四川成都市四川成都市荷花池百货一区箱包41-42号公司电话：862866131839公司传真： 
四川绵阳市江油市纪念碑小区	刘雷雷	称：绵阳兰朵商贸有限公司	四川 绵阳中国四川绵阳市江油市纪念碑小区
