公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 仁寿县宾利男鞋	方小姐	18381184362	四川 眉山
四川天腾电器制造有限公司	赵生	14574115410	四川 成都四川成都市金牛区金府666号1栋11层1106号公司电话：020-39042406
四川创美克科技有限公司	余小姐	15983330070	四川 眉山公司电话：028-38566168
省成都市武侯区簇桥顺江七组	3548106602	称：成都红塔建材装饰材料厂	四川 成都四川省成都市武侯区簇桥顺江七组
1337	：大邑县东禾鞋跟厂	四川省成都市大邑县新场镇揭家村三组	四川 成都四川省成都市大邑县新场镇揭家村三组
 成都市 温江区永盛镇	：成都市广汇生物化工有限公司	86-028-82622638	四川 成都四川 成都市 温江区永盛镇公司官网：http://www.cdgh99.com公司电话：86-028-82622638
金牛区人缘好家私经营部	刘安国	18202837512	四川 成都公司电话：028-4006019361
-0817-6860886	：南充步馨擦鞋修鞋连锁服务中心	86-0817-6102589	四川 南充四川 南充市 南充市丁字街10号公司电话：86-0817-6102589公司传真：86-0817-6860886
-028-85913822	：成都市泽永塑胶有限公司	86-028-85919322/8993	四川 成都四川 成都市 锦江区工业园沙发城中街83号公司电话：86-028-85919322/8993公司传真：86-028-85913822
 0838 8265091	尹丽	称：四川省沃特龙服装有限公司	四川 德阳四川 什邡市 四川省什邡市城南开发区澜丰路公司官网：http://www.cnvodlon.cn公司电话：86 0838 8265091公司传真：86 0838 8265090
-28-82637845	：成都市温江区明尼达硅氟皮化应用研究试验厂	86-28-82637845	四川 成都四川 成都市 成都市温江区森宇音乐花园10栋2单元4号公司官网：http://www.mingnida.com公司电话：86-28-82637845公司传真：86-28-82637845
 0838 2430597	沈涛	称：德阳市圣达饲料原料厂	四川 德阳四川 德阳市 德阳市城区乡三圣村二组公司官网：http://www.proteinfeed.cn公司电话：86 0838 2430597公司传真：86 0838 2430597
--	：中科院成都苏中化工厂	86-028-13688158583	四川 成都四川 成都市 成都双流彭镇公司电话：86-028-13688158583公司传真：86--
-0832-5113777	：四川资中唐源粮油有限公司分厂	86-0832-5113777	四川 内江四川 资中县 内江市火车站万担路公司电话：86-0832-5113777公司传真：86-0832-5113777
-028-85362848	：鸿羸皮革有限公司	86-028-85362848	四川 成都四川 成都市武侯区 成都市武侯区金花镇金履路300#3栋3-102公司电话：86-028-85362848公司传真：86-028-85362848
上海寿兴有限公司简介	李啊	13828272766	四川 成都公司电话：0755-29120886
智呼通信技术有限公司	智呼者	18080011074	四川 成都公司电话：028-4006991991
成都圣泉给水设备有限公司	张德威	13060067192	四川 成都公司电话：028-87384909
仁寿县宾利男鞋	方小姐	18381184362	四川 眉山
四川天腾电器制造有限公司	赵生	14574115410	四川 成都四川成都市金牛区金府666号1栋11层1106号公司电话：020-39042406
四川创美克科技有限公司	余小姐	15983330070	四川 眉山公司电话：028-38566168
仁寿县宾利男鞋	方小姐	18381184362	四川 眉山
四川天腾电器制造有限公司	赵生	14574115410	四川 成都四川成都市金牛区金府666号1栋11层1106号公司电话：020-39042406
四川创美克科技有限公司	余小姐	15983330070	四川 眉山公司电话：028-38566168
仁寿县宾利男鞋	方小姐	18381184362	四川 眉山
四川天腾电器制造有限公司	赵生	14574115410	四川 成都四川成都市金牛区金府666号1栋11层1106号公司电话：020-39042406
四川创美克科技有限公司	余小姐	15983330070	四川 眉山公司电话：028-38566168
