公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 四川润桂社会经济咨询有公司	13084469069	13084469069	四川 成都
四川时代富华电子商务有限公司	徐元烈	18200157029	四川 成都成都市武侯区太平园中六路512号1栋
成都恒通大宗商品有限公司	陆洋	15124521524	四川 成都
佛山市高端润滑油贸易有限公司成都市	溶溶	18064616375	四川 成都
四川省崇州市德泰实业有限公司	沈建	13008178593	四川 成都
8-83577072	马现红	称：成都蜀光润滑油有限公司	四川 成都四川省成都市金牛区天回镇车站村五组公司电话：028-83577072公司传真： 
四川道能科石油化工有限公司	陈兴勇	13608085683	四川 成都
31-8820737	曾国勇	称：兴文县天然气有限公司	四川 宜宾四川省宜宾市兴文县政府街商贸城2层公司电话：0831-8820737公司传真：0831-8820737
35-2625802	李世平	称：雅安市天然气有限公司	四川 雅安四川省雅安市雨城区沿江北路50号1层公司电话：0835-2625802公司传真： 
四川神源新能源科技有限公司	刘志杰	13980004609	四川 成都成都市高新区大源街136.149号公司电话：028-139800004609-1
兴蜀大宗商品交易市场有限公司	王婷	15191586612	四川 成都陕西西安高新公司电话：400-888888
四川天赐何唐中银贸易有限责任有限责任公司	文鑫	18145059197	四川 南充四川省南充市江东东路天来写字楼11楼公司官网：http://www.tchtzy.cn公司电话：0817-3334222公司传真：0817-3334222
 817 6171988	Jenny汪	称：四川顺邦石油化工有限公司销售部	四川 南充四川 南充市 嘉陵区维康路2号公司官网：http://www.jennyw584.cn公司电话：86 817 6171988公司传真：86 817 6171999
四川广润基业金银制品有限公司	周迪	18380337578	四川 成都成都市火车南站西路15号麦田中心11楼公司电话：028-89897990
四川商品交易中心	赵志行	15093105707	四川 
-028-	：四川创普科技发展有限公司	86-028-85173715	四川 成都四川 成都市 成都市高新区公司电话：86-028-85173715公司传真：86-028-
穆天投资管理有限公司	陈曼婷	15700057039	四川 成都公司电话：0577-64238319
四川禄宏商品现货市场	吴亮	15669196600	四川 成都公司电话：0574-55864744
绵阳嘉亿沃新能源销售有限公司	李小军	13541736008	四川 绵阳公司电话：0816-5675789
四川久亿农林开发有限公司	王俊友	15280931597	四川 绵阳公司电话：0816-2241012
四川蜀泰化工科技有限公司	余洁	13678256323	四川 遂宁四川省遂宁市大英县工业集中发展区公司官网：http://www.allycat.cn/index.html公司电话：0825-7880085公司传真：0825-7880095
四川润桂社会经济咨询有公司	13084469069	13084469069	四川 成都
四川时代富华电子商务有限公司	徐元烈	18200157029	四川 成都成都市武侯区太平园中六路512号1栋
成都恒通大宗商品有限公司	陆洋	15124521524	四川 成都
四川润桂社会经济咨询有公司	13084469069	13084469069	四川 成都
四川时代富华电子商务有限公司	徐元烈	18200157029	四川 成都成都市武侯区太平园中六路512号1栋
成都恒通大宗商品有限公司	陆洋	15124521524	四川 成都
