公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 四川康启生物科技有限公司	     	尤里程	     	13194966111	     	四川 成都四川省成都市武侯区星狮路
南充智能标签制品有限公司	     	蒲涛	     	13219406742	     	四川 南充
广汉四邦卫生用品有限公司	     	林霞良	     	13880853849	     	四川 德阳
都江堰三星木工机械厂	     	何晓龙	     	15520492912	     	四川 成都中国四川都江堰市石羊镇工业区公司电话：8602887231028公司传真：02887231028
四川省什邡市望风青苹果纸业有限责任公司	     	明萌	     	13108219031	     	四川 德阳
8-85562348	     	王蒙	     	称：四川朝日机电设备有限公司	     	四川 成都四川省成都市武侯区浆洗街8号公司电话：028-85562348公司传真：028-85562348
 0830 4390888	     	刘景春	     	称：四川银鸽竹浆纸业有限公司	     	四川 泸州四川 泸州市纳溪区 渠坝镇国渠街188号（321国道1778Km)公司官网：http://www.scygzy.cn公司电话：86 0830 4390888公司传真：86 0830 4390777
-028-80191713	     	何咏希女士(销售经理)	     	称：成都市迪欣生活卫生用纸品厂	     	四川 成都四川 成都市金牛区 为民路30号公司官网：http://www.cdding.com公司电话：86-028-80191713
-028-87327297	     	范超先生	     	称：成都市金元行商贸有限责任公司	     	四川 成都四川 成都市 成都市青羊区群康路公司电话：86-028-87327297公司传真：86-028-87336809
-0832-4650113	     	李海先生	     	称：上善纸业	     	四川 成都四川 都江堰市 四川成都都江堰东软大学D2栋3081号公司电话：86-0832-4650113公司传真：86-0832-4650113
-028-81328136	     	何杰先生	     	称：英杰纸品厂	     	四川 成都四川 成都市 成都市龙泉区洛带镇公司电话：86-028-81328136
-0833-8546106	     	张永革先生	     	称：眉山市新科码科技开发有限责任公司业务部	     	四川 眉山四川 眉山市 眉山市一环路融通苑公司官网：http://xkm@163.com公司电话：86-0833-8546106公司传真：-0833-8546109
-028-85480483	     	刘承容女士	     	称：成都火凤凰办公设备有限责任公司	     	四川 成都四川 成都市 成都市一环路南二段６号附９号公司官网：http://cdhongri.com公司电话：86-028-85480483公司传真：86-028-85440309
 0838 8970458	     	黄光炜	     	称：德阳市旌阳区锦上花纸制品厂	     	四川 德阳四川 德阳市旌阳区 德阳市孝感镇黄河工业园公司官网：http://www.dyjshz.cn公司电话：86 0838 8970458公司传真：86 0838 2603556
-028-86145251	     	李杰先生(公司)	     	称：四川康尔寿保健品有限公司	     	四川 成都四川 成都市 成都市锦里中路128号公司电话：86-028-86145251公司传真：86-028-86131976
-0831-8824336	     	瞿德先生(供销员)	     	称：四川省锦巍集团有限公司	     	四川 宜宾四川 兴文县 宜宾市兴文县香山西路44号公司电话：86-0831-8824336公司传真：86-0831-8824336
-028-86755591	     	郑俊平先生(销售代表)	     	称：锦新文具有限公司	     	四川 成都四川 成都市 八宝街总府街公司电话：86-028-86755591
-028-88369526	     	范尔元先生	     	称：鑫洁鑫纸业	     	四川 成都四川 成都市 成都市郫县唐元公司电话：86-028-88369526公司传真：86-028-87990115
-028-87508480	     	周勤女士(经理)	     	称：成都丽港纸制品有限公司	     	四川 成都四川 成都市 高中低档纸箱，纸板公司电话：86-028-87508480公司传真：86-028-87519640
-028-86721526	     	薛小蓉女士(业务员)	     	称：成都雅得包装有限公司	     	四川 成都四川 成都市 锦江区天仙桥南路8号美丽合江201公司电话：86-028-86721526
-0838-3082233	     	：四川德阳金太阳纸业有限公司	     	86-0838-3085388	     	四川 德阳四川 德阳市 华山大厦公司电话：86-0838-3085388公司传真：86-0838-3082233
-0838-7888888	     	李先生先生	     	称：德阳市宏盛胶粘制品厂	     	四川 德阳四川 德阳市 ***公司电话：86-0838-7888888公司传真：86-0838-7888888
-0839-4880258	     	何林周先生	     	称：成都市岭南纸业	     	四川 成都四川 成都市 成都市金牛区天回镇金华工业区公司电话：86-0839-4880258
-28-85651045	     	楚德明先生	     	称：成都金龙印务有限责任公司	     	四川 成都四川 成都市 成都市公司电话：86-28-85651045公司传真：86-28-85651203
-0833-8161683	     	罗伟先生	     	称：四川新惠阳保鲜有限公司 网络销售部	     	四川 眉山四川 眉山市 科技工业园公司官网：http://www.sgbx.com公司电话：86-0833-8161683公司传真：86-0833-8161076
-0839-2806318	     	杜海文先生(经理)	     	称：广元永辉办公耗材公司	     	四川 广元四川 广元市 利州东路566号公司电话：86-0839-2806318公司传真：86-0839-2806219
 0831 3336602	     	黄超	     	称：四川省南溪县振兴纸业有限公司	     	四川 宜宾四川 南溪县 南溪县九龙工业园区公司官网：http://www.hc3336338.cn公司电话：86 0831 3336602公司传真：86 0831 3336338
