公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 蔻赛香港控股集团有限公司	刘添琴	18982161953	四川 成都
四川李全娟京润珍珠代理商	李全娟	15882955637	四川 达州
成都贝清商贸有限公司	孔女士	13683475308	四川 成都
四川维那商贸有限公司	郭春兰	18398585777	四川 成都
金牛区秀域玲化妆品经营部	邓先生	13980915261	四川 成都四川
成都涵氏国际贸易有限公司	余方菊	18268336751	四川 成都
成都伊百度美容美体连锁	七七	18782179070	四川 成都成都市锦江区梨花街公司官网：www.lbodo.com公司电话：028-64234728
广州苏萱堂化妆品有限公司	李小霞	15776576402	四川 成都
绵阳诗琳卡化妆品有限公司	诗琳卡	18080241554	四川 绵阳
成都雅仕嘉家具发展有限公司	赵剑	13980584091	四川 成都中国四川成都市成都火车北站西一路70号公司电话：8602883170078公司传真：02883170078
成都谷根豆生物科技有限公司	小楠	18598700704	四川 成都
省成都市高新技术开发区成都高新区紫荆北街８号２...	5928952305	称：成都钰林贸易有限公司	四川 成都四川省成都市高新技术开发区成都高新区紫荆北街８号２...
成都纳英光电科技有限责任公司	王明	13709007849	四川 成都中国四川成都市四川成都高新区永丰立交元通一巷新丰园...公司电话：8602885677232公司传真：02885677232
深圳市妮微尔化妆品有限公司	陈先生	13699094274	四川 成都
成都市劳芙伦姿生物科技有限公司	安珂羽思	18781988859	四川 成都
崇州市街子延俊牛角工艺品店	张俊林经理	18301335519	四川 成都中国 四川 成都  街子镇江城街88号公司电话：086 028 82297191
南京百金工贸公司成都分公司	曾玉 经理	13880773732	四川 成都中国 四川 成都  成都市二环路东一段浅水半岛A区6-2706公司电话：028-83237117
苏赫娜香港生物科技有限公司	张文辞	13666145113	四川 成都
--	：易乐乐网贸批发代销供应公司	86-28-83382899	四川 成都四川 成都市 李家沱小区5单元3层公司电话：86-28-83382899公司传真：86--
-0812-2990324	：攀枝花市富源水果有限公司	86-0812-2990324	四川 攀枝花四川 攀枝花市 四川省攀枝花市仁和区大田镇片那立村公司电话：86-0812-2990324公司传真：86-0812-2990324
成都雅东贸易有限公司	周亚东 经理	18382328822	四川 成都中国 四川 成都  成都公司电话：028-83138695
 成都市 成都市二环路北三段245号富丽城1701	：四川怡合商贸有限公司成都店	86-028-83312577	四川 成都四川 成都市 成都市二环路北三段245号富丽城1701公司官网：http://www.trfood.com/product_5.htm公司电话：86-028-83312577
-028-66638317	：成都诗妍洗化	86-028-83211113	四川 成都四川 成都市 金荷花美博城二楼256-257公司电话：86-028-83211113公司传真：86-028-66638317
-028-83949263	：成都嘉晟商贸有限公司	86-028-88117576	四川 成都四川 成都市 成都市建兴路16号2栋2单元504公司电话：86-028-88117576公司传真：86-028-83949263
-023-	：欣业集团	86-0817-2225752	四川 南充四川 南充市顺庆区 仪凤街155号1栋7号公司电话：86-0817-2225752公司传真：86-023-
-028-87443003	：五一食品贸易公司	86-028-81308830	四川 成都四川 成都市 五块石公司电话：86-028-81308830公司传真：86-028-87443003
乐山信念贸易有限公司	周云超	18583356865	四川 乐山公司电话：0833-2053657
