公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都市科斯达工业包装有限公司	     	李森	     	13308024663	     	四川 成都成都市金牛区金府路
成都博盛化工有限公司	     	屈志阳	     	13540188489	     	四川 成都公司电话：028-84823891
成都忆创建材有限公司	     	李创	     	18080900136	     	四川 成都二环路北一段十号万科加州V派商务空间1115公司电话：028-87734517
8-84461604	     	计国银	     	称：成都国银窑炉有限公司	     	四川 成都四川省成都市成华区东风路26号富士大厦515室公司电话：028-84461604公司传真：028-84461604
8-88280234	     	鲁明	     	称：四川华天玻璃纤维有限公司	     	四川 成都四川省成都市大邑县晋原镇工业集中发展区工业大道二段...公司电话：028-88280234公司传真：028-88280234
峨眉山市祥龙粘土开发有限公司	     	周斌	     	13881388878	     	四川 乐山四川省乐山市峨眉山市高桥镇万槽村公司传真： 
四川省仁寿县川王坩埚耐材有限公司	     	张顺	     	13408688305	     	四川 眉山公司电话：028-85378237
四川润龙耐火保温材料有限公司	     	何诗琴	     	15882048938	     	四川 成都成都蜀西路58号公司电话：028-84025777
-0816 -6968523	     	：尔力实业公司	     	86-0816-6968523	     	四川 绵阳四川 绵阳市 绵阳公司电话：86-0816-6968523公司传真：86-0816 -6968523
-0816-2365562	     	曹晓波先生(总经理)	     	称：绵阳川地矿产贸易有限公司	     	四川 绵阳四川 绵阳市 绵阳市川西北地质队公司电话：86-0816-2365562公司传真：86-0816-2365850
 028 82622551	     	冷阳	     	称：成都市鑫通贸易有限公司	     	四川 成都四川 成都市 温江区海峡科技园经济配套区公司官网：http://www.cdxt2008.com.cn公司电话：86 028 82622551公司传真：86 028
什邡市宇达化工有限公司	     	白先生	     	15884275139	     	四川 德阳公司电话：0838-5965550
郫县志华石英砂厂	     	刘光亮	     	13568951961	     	四川 成都公司电话：028-87889966
成都恒飞化工设备有限公司	     	官先生	     	13438292495	     	四川 成都公司电话：028-82673311
 028 83901869	     	吴平	     	称：汶川县建玻原料股份合作公司	     	四川 成都四川 成都市 新都区军屯镇银杏树街91号公司官网：http://www.wcjbgs.com.cn公司电话：86 028 83901869公司传真：86 028 83901869
南充市鑫镁新型防火建材有限公司	     	李亚伟	     	13206091218	     	四川 南充南充市小龙电子工业校内公司电话：0817-3541378公司传真：0817-3541796
四川金石磷化工有限公司	     	覃先生	     	13890624886	     	四川 乐山沐川县舟坝镇夏寨村公司官网：http://www.kingschem.cn公司电话：0833-4681024-4681010公司传真：0833-4681010
四川勇智化工科技有限公司	     	冯建荣	     	18981933053	     	四川 成都公司电话：028-88261891
成都市科斯达工业包装有限公司	     	李森	     	13308024663	     	四川 成都成都市金牛区金府路
成都博盛化工有限公司	     	屈志阳	     	13540188489	     	四川 成都公司电话：028-84823891
成都忆创建材有限公司	     	李创	     	18080900136	     	四川 成都二环路北一段十号万科加州V派商务空间1115公司电话：028-87734517
成都市科斯达工业包装有限公司	     	李森	     	13308024663	     	四川 成都成都市金牛区金府路
成都博盛化工有限公司	     	屈志阳	     	13540188489	     	四川 成都公司电话：028-84823891
成都忆创建材有限公司	     	李创	     	18080900136	     	四川 成都二环路北一段十号万科加州V派商务空间1115公司电话：028-87734517
成都市科斯达工业包装有限公司	     	李森	     	13308024663	     	四川 成都成都市金牛区金府路
成都博盛化工有限公司	     	屈志阳	     	13540188489	     	四川 成都公司电话：028-84823891
成都忆创建材有限公司	     	李创	     	18080900136	     	四川 成都二环路北一段十号万科加州V派商务空间1115公司电话：028-87734517
