公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都鑫源环保科技有限公司	卢总	13980508655	四川 成都公司电话：028-85191218
成都市胜捷企业管理咨询有限公司	孙强	18667937170	四川 成都成都
长春一汽华润油品有限责任公司成都办事处	潘先生	13458596633	四川 成都
四川骆电电子有限公司	杨波	18583773269	四川 德阳四川德阳广汉市小汉工业园区公司官网：www.sclddz.com公司电话：0838-5700200公司传真：0838-5700200
上海棉长金融信息技术有限公司	王柏	13330116690	四川 成都
四川中浦科技有限公司	黄会玲	18328657085	四川 成都
达川地区达川市四川省达川地区达川市张家湾	：达竹矿务局多种经营总公司	0818-2374744/2310271/2310270	四川 四川达川地区达川市四川省达川地区达川市张家湾公司电话：0818-2374744/2310271/2310270
8-87510662	吴国金	称：成都超迪电器制造有限公司	四川 成都四川省成都市金牛区涧漕河公司电话：028-87510662公司传真：028-87510662
32-5229036	刘林	称：内江市中川机械设备制造有限公司	四川 内江四川省内江市资中县倒石桥公司电话：0832-5229036公司传真：0832-5229036
省成都市新津县花桥镇（西南成都建材物资专业市场...	：成都新津华油石油钻采设备有限公司	82522099	四川 成都四川省成都市新津县花桥镇（西南成都建材物资专业市场...公司电话：82522099
四川劳玛斯特高胜石油钻采设备有限公司	陈媛	13551898225	四川 成都四川省成都市双流蛟龙工业港东海路十六座公司电话：028-85730676/85730696-608公司传真：028-85730698
贵州裕元大宗	钟含杰	18482180083	四川 成都
 28 86475156	陈明富	称：成都盛威力机电有限公司长久分公司	四川 成都四川 成都市 长久机电城公司电话：86 28 86475156公司传真：86 28 86475396
-0838-5300638	陈涛先生(新广集团-四川博源石化有限公司)	称：四川新广集团	四川 德阳四川 广汉市 广汉市湖南路113号新广大厦4楼公司官网：http://www.scxgjt.com公司电话：86-0838-5300638公司传真：86-0838-5303813
-028-86745088-815	姚臻先生(媒介经理)	称：四川德先科技有限公司	四川 成都四川 成都市 太升南路184号公司官网：http://www.t-sum.com公司电话：86-028-86745088-815公司传真：86-028-86745098-835
-28-87630227	：明辉机电有限公司成都分公司	86-28-87633307	四川 成都四川 成都市 交大路203号千佳大厦506号公司电话：86-28-87633307公司传真：86-28-87630227
-0830-8193782	李朝林先生(教师)	称：四川省泸县二中城北分校	四川 泸州四川 泸县 四川省泸县二中城北分校公司电话：86-0830-8193782公司传真：86--
-028-85101354	何宇女士(私营主)	称：四川德阳东方数控科技有限公司	四川 德阳四川 德阳市 德新镇西外街公司电话：86-028-85101354公司传真：86--
 0813 2207777	王大伦	称：四川千工精密铸造有限公司	四川 自贡四川 自贡市 四川自贡高新区板仓工业集中区科创二路B区8号公司官网：http://www.jinwww5912.net.cn公司电话：86 0813 2207777公司传真：86 0813 2207777
--	：紫阳商贸有限公司	86-028-89096775	四川 成都四川 郫县 成都公司电话：86-028-89096775公司传真：86--
-816-2338893	郝琴女士(客户经理)	称：四川省绵阳市涪强电讯科技有限公司	四川 绵阳四川 绵阳市 四川省绵阳市临园路中段７０号电子大厦公司官网：http://www.dragonchip.cn公司电话：86-816-2338893公司传真：86-816-2338853
-028-87773067	lijing女士	称：四川金太阳能源设备贸易有限公司	四川 成都四川 成都市 成都市二环路西三段17号7-S公司电话：86-028-87773067公司传真：86-028-87773067
-028-80836666	：成都世纪飞翔数码科技有限公司(网络部)	86-028-80836666	四川 成都四川 成都市 人民南路四段数码广场18FB7公司官网：http://www.flypda.com公司电话：86-028-80836666公司传真：86-028-80836666
-0833-3202677	周小力女士(副总经理)	称：乐山市大山电机厂	四川 乐山四川 乐山市 牛华镇公司电话：86-0833-3202677公司传真：86-0833-3202722
-813-5115507	毛开平先生	称：自贡钰龙机械制造有限公司	四川 自贡四川 自贡市 四川，自贡，大安公司电话：86-813-5115507
--	：荥经县伍宪乡新伍煤矿	86-028-82312575	四川 雅安四川 荥经县 石滓乡公司电话：86-028-82312575公司传真：86--
-0831-4621850	：四川省长宁县诚兴矿产品有限公司	86-0831-4621850	四川 宜宾四川 长宁县 竹海路一段87号公司电话：86-0831-4621850公司传真：86-0831-4621850
