公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
12-3394123	洪及鄙	称：攀枝花钢铁有限责任公司	四川 攀枝花四川省攀枝花市东区向阳村公司电话：0812-3394123公司传真：0812-3392222
25-2518337	李英	称：遂宁市四方实业有限公司	四川 遂宁四川省遂宁市船山区开善东路544号公司电话：0825-2518337公司传真： 
25-2248181	刘兴国	称：四川派力装饰有限公司	四川 遂宁四川省遂宁市船山区凯旋上路111号附6号公司电话：0825-2248181公司传真： 
-028-81398476	周超先生(经理)	称：英光绳业	四川 成都四川 成都市 英光绳业公司电话：86-028-81398476公司传真：86-028-81398476
-0830-3110518	胡双先生	称：泸州市宏图航运有限责任公司	四川 泸州四川 泸州市 泸州市商检大楼五楼公司官网：http://www.lzcjmp.com公司电话：86-0830-3110518公司传真：86-0830-3110518
-028-87448533	叶昌盛先生	称：四川大业利华科技有限公司	四川 成都四川 成都市 成都市武侯区金雁路404号17栋公司官网：http://www.led110.com公司电话：86-028-87448533公司传真：86-028-87448533
北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
北京太通建设有限公司	海绵宝宝	13527360978	四川 成都
成都三叶绿色透平机械有限公司	金先生	18329770837	四川 成都
自贡市悦纳物流有限公司	孙君	17054844183	四川 自贡
