公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 首创涂料成都有限责任公司	陶先生	18180430608	四川 成都成都市温江区民乐村4组
四川白稀节能环保科技有限公司	刘涛	18328722023	四川 成都
德阳烯碳科技有限公司	邹廷斌	18090789212	四川 德阳
洪雅县乞兰涂料有限责任公司	付攀	13550526439	四川 眉山
东莞市卫蒲贸易有限公司	杨生	18613206876	四川 成都
6 0818 8181980	王永生	称：生兰装饰、装饰材料经营部	四川 达州四川 达州市 通川区东岳乡兴盛街公司官网：http://www.slzs8.com.cn公司电话：086 0818 8181980
-028-66645776	：克虏伯节能环保材料有限公司	86-028-66645776	四川 成都四川 成都市 成都市金牛区营门口路88号四威大厦B座704公司官网：http://www.klb-ac.com公司电话：86-028-66645776公司传真：86-028-66645776
-0816-8010928	：四川青山绿水环境有限公司	86-0816-8010997	四川 绵阳四川 绵阳市 科创园区孵化大楼青山绿水环境有限公司公司电话：86-0816-8010997公司传真：86-0816-8010928
 0838 5751971	邓向全	称：祺祥天建筑劳务管理公司	四川 德阳四川 广汉市 兴隆镇天台村九社公司官网：http://www.qxt2009.cn公司电话：86 0838 5751971
-028-66827724	：深圳市创海同电子有限公司驻成都办事处	86-028-81976683	四川 成都四川 成都市 百脑汇3楼3I17公司官网：http://WWW.TROHITO.COM公司电话：86-028-81976683公司传真：86-028-66827724
-028-89917910	：成都祥和涂料磷化总部产品事业部	86-028-89917910	四川 成都四川 成都市 四川省成都市田家巷16号1栋3单元3楼28号公司电话：86-028-89917910公司传真：86-028-89917910
 028 66645776	殷敏	称：四川克虏伯节能环保材料有限公司	四川 成都四川 成都市金牛区 营门口路88号四威大厦B座704公司官网：http://www.scklb.cn公司电话：86 028 66645776公司传真：86 028 66645775
-028-86913491	：成都立顿建材有限公司	86-028-86913495	四川 成都四川 成都市 新华大道玉沙路123号建业大厦5层公司电话：86-028-86913495公司传真：86-028-86913491
-816-2545181	吴绪敏女士	称：四川三新生物与环境工程有限公司	四川 绵阳四川 绵阳市 四川省绵阳市科创园孵化大楼C328公司官网：http://www.3asc.com公司电话：86-816-2545181公司传真：86-816-2545182
-0830-8875262	：艳丽化工限公司	86-0830-8875262	四川 泸州四川 泸县 石桥镇街村42号公司电话：86-0830-8875262公司传真：86-0830-8875262
-0832-2203667	：长沙市华中工业风机厂四川办事处	86-0832-8306098 2203	四川 内江四川 内江市 内江市中区双苏路高速路口公司官网：http://http://www.b2b168.com/c168-1285522.html公司电话：86-0832-8306098 2203公司传真：86-0832-2203667
--	：四川省三森广告装饰工程有限公司	86-028-66867567	四川 成都四川 成都市 成都市科华北路三号公司电话：86-028-66867567公司传真：86--
-028-81925286	黎刚先生	称：双流县精诚涂装设备厂	四川 成都四川 双流县 成都双流县九江镇马家寺社区五桐村公司电话：86-028-81925286公司传真：86-028-85791914
 028 84516306	罗成	称：四川永亮科技发展有限公司	四川 成都四川 双流县 中和陆肖工业区公司官网：http://www.yongliang888.cn公司电话：86 028 84516306公司传真：86 028 84532778
-028-84200622	：成都市天彩贸易公司	86-028-84200622	四川 成都四川 成都市 白果林10号公司电话：86-028-84200622公司传真：86-028-84200622
-028-84845987	李程林先生(办公室主任)	称：四川中大风机有限公司	四川 成都四川 成都市龙泉驿区 成都市龙泉驿区国家经济开发区北京路299号公司电话：86-028-84845987公司传真：86-028-84845809
 028 87521593	单秋明	称：成都蓬诚实业发展有限公司	四川 成都四川 成都市金牛区 黄忠路1号尚品优空间820室公司官网：http://www.cdpcsy.cn公司电话：86 028 87521593公司传真：86 028 87521593
-0833-3447748	：四川省乐山市恒华电力设备制造有限公司	86-0833-3447748	四川 乐山四川 乐山市 沙湾区农场村十三组公司官网：http://www.lshenghua.cn公司电话：86-0833-3447748公司传真：86-0833-3447748
-028-87812036	石丽萍女士(销售经理)	称：成都科力特风机制造有限公司	四川 成都四川 成都市 郫县安靖高桥村8组公司官网：http://www.cdklt.com.cn公司电话：86-028-87812036公司传真：86--
 成都市 柳城两河路18号	：蜀宇贸易有限责任公司	86-28-67205879	四川 成都四川 成都市 柳城两河路18号公司电话：86-28-67205879
-028-85853211	：通润宝化工有限公司	86-028-85853200	四川 成都四川 双流县 双流金桥镇金成工业园公司电话：86-028-85853200公司传真：86-028-85853211
--	：广元市汇博建筑装饰材料厂	86-0839-3225586	四川 广元四川 广元市 广元市雪峰公司官网：http://www.gyhuibo.com公司电话：86-0839-3225586公司传真：86--
