公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 省成都市武侯区簇桥乡顺江村四组	3060014772	称：成都白鸽科锐抛磨工具有限责任公司	四川 成都四川省成都市武侯区簇桥乡顺江村四组
8-87078788 	华长明	称：四川川石金刚石钻头有限公司	四川 重庆四川省城都文家蛟龙工业港高新区A区16座公司电话：028-87078788 公司传真：028-87075892
8-86010592	李建伟	称：四川川石振华工程钻头有限公司	四川 成都四川省成都市成华区二仙桥西路5号 83287051公司电话：028-86010592公司传真：028-83282162
 028 87847133	薛平	称：郫县兴磊石材厂	四川 成都四川 成都市青羊区 成都市犀浦镇福隆石材城公司电话：86 028 87847133
-028-83960180	钟正亮先生(销售经理)	称：新都科普电器厂	四川 成都四川 成都市 新都区公司官网：http://www.cdkepu.com公司电话：86-028-83960180公司传真：86-028-83962188
 0835 6849249	张雪涛	称：宝兴县雪涛重质碳酸钙厂	四川 雅安四川 宝兴县 灵关镇老场街359号公司官网：http://www.51zhonggai.cn公司电话：86 0835 6849249公司传真：86 0835 6848750
-0813-2211911	曾渡军先生(总经理)	称：自贡弘光贸易有限公司	四川 自贡四川 自贡市 自贡市自流井五星店45号513写字间公司电话：86-0813-2211911公司传真：86-0813-2211911
 028 87820429	邱刚	称：郫县四新环境艺术雕刻工作室	四川 成都四川 郫县 成都市郫县犀浦万福村6组公司官网：http://www.sxhjysdk.com.cn公司电话：86 028 87820429公司传真：86 028 87820429
 0825 2636460	李云碧	称：遂宁市东升矿山机械制造有限公司	四川 遂宁四川 遂宁市 遂宁市船山区富源路大石桥村二社公司官网：http://www.dsksjx.cn公司电话：86 0825 2636460公司传真：86 0825 2238885
-028-87511171地址：中国	：四川米易献忠石材厂	86-028-87511171	四川 成都公司官网：http://www.unstone918.com公司电话：86-028-87511171公司传真：86-028-87511171地址：中国
-0835-6846261	彭玉涛先生(经理)	称：四川省宝兴县长宏超细碳酸钙厂	四川 雅安四川 宝兴县 中坝工业开发区1组公司官网：http://www.shubao.net公司电话：86-0835-6846261公司传真：86-0835-6848853
-028-89667908	潘锦秋先生(职员)	称：成都市闽城物资贸易有限公司	四川 成都四川 成都市 成都市金府五金机电城7幢6号公司电话：86-028-89667908公司传真：86-028-86487827
-28-66075609	王岚先生	称：成都天源粉末冶金工具有限责任公司	四川 成都四川 成都市 人民北路一段12号公司官网：http://www.tycarbidetools.com公司电话：86-28-66075609公司传真：86-28-83224433
 0816 2224707-802	窦巍	称：绵阳川松贸易有限公司	四川 绵阳四川 绵阳市 四川省绵阳市警钟街2号 滨江大厦11楼A3公司官网：http://www.csmycn.cn公司电话：86 0816 2224707-802公司传真：86 0816 2224707-808
-0826-8360353	张海容女士(经理)	称：佳兴矿山配件商贸经营部	四川 广安四川 岳池县 四川省广安市岳池县公司电话：86-0826-8360353公司传真：86-0826-8360353
-028-885037655	杨博君先生(销售工程师)	称：洛阳百力克矿山机械有限公司驻成都办事处	四川 成都四川 成都市 簇桥公司官网：http://www.lyblk.com公司电话：86-028-885037655公司传真：86-028-85037655
--	：成都兴创硬质材料有限责任公司	86-028-68523282//133	四川 成都四川 成都市 成都武候区沙堰西二街20号公司电话：86-028-68523282//133公司传真：86--
-838-6503600	朱永金先生(销售经理)	称：四川绵竹三佳饲料有限责任公司（国际贸易部）	四川 德阳四川 绵竹市 绵竹市新市工业园区公司官网：http://www.sanjiahg.cn公司电话：86-838-6503600公司传真：86-838-6503600
-0816-8152511	谢东斌先生(主管)	称：绵阳吉星消防药剂有限公司	四川 绵阳四川 安县 花街镇龙兴村二组公司电话：86-0816-8152511公司传真：86--
 0834 2683379	朱细兵	称：双峰县冶金机械有限公司	四川 凉山四川 西昌市 祥和路机电市场公司官网：http://www.hnsfyjzxb.com.cn公司电话：86 0834 2683379公司传真：86 0834 2683379
 0825 2636460	张涛	称：东升矿山机械制造有限公司	四川 遂宁四川 遂宁市 遂宁公司官网：http://www.mikado7.com.cn公司电话：86 0825 2636460公司传真：86
-0835-7623540	：四川省荥经县腾达石材公司	86-0835-8627040	四川 雅安四川 荥经县 四川省荥经县石材路60号公司电话：86-0835-8627040公司传真：86-0835-7623540
-028-87502960	：金龙石材翻新护理中心	86-028-66187555	四川 成都四川 成都市 金牛区金牛乡土桥金泉路160号公司电话：86-028-66187555公司传真：86-028-87502960
-0825-6692312	赵伟先生	称：四川省射洪锂业公司	四川 遂宁四川 射洪县 成都公司电话：86-0825-6692312公司传真：86-0825-6692312
-28-66347898	丁珂先生(经理)	称：成都天创化工有限公司	四川 成都四川 成都市 成都市蜀汉路239号金港空中花园307公司电话：86-28-66347898公司传真：86-28-87525582
 0838 8307726	钟小琼	称：什邡盛佳磷化工有限公司出口部	四川 德阳四川 什邡市 雍城东路东信大楼5楼公司官网：http://www.sjphosphate321.com.cn公司电话：86 0838 8307726公司传真：86 0838 8307726
-028-88854036	唐先生先生	称：成都市东气气体实业有限公司	四川 成都四川 成都市 大墙东街178号公司官网：http://cddx.diytrade.com公司电话：86-028-88854036公司传真：86-028-86611144
