公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都华北除尘设备有限公司	     	赵洁	     	18280049366	     	四川 成都
成都渤茂科技有限公司	     	吴先生	     	13378127903	     	四川 成都
成都悦地环保设备有限公司	     	杨工	     	13551319564	     	四川 成都
-28-81967872	     	caozonghua先生(销售经理)	     	称：绵阳市正阳科技有限公司	     	四川 绵阳四川 绵阳市 成都是青羊区文家场公司电话：86-28-81967872公司传真：86--
-0818-8624398	     	苏述仁先生(职员)	     	称：万源市塑料编织厂	     	四川 达州四川 万源市 万源市罗文乡公司电话：86-0818-8624398公司传真：86--
-0838-5100199	     	庄浩闻女士(董事长)	     	称：四川省广汉市群力塑料包装有限公司	     	四川 德阳四川 广汉市 广汉市深圳路(新丰工业开发区)公司电话：86-0838-5100199公司传真：86-0838-5100558
 028 83779788	     	张德怀	     	称：彭州市长宁塑料薄膜有限公司	     	四川 成都四川 彭州市 丽春镇红星电站内公司官网：http://www.pzcnsl.cn公司电话：86 028 83779788公司传真：86 028 83779398
 028 85850388	     	宋道允	     	称：成都亿彩达塑料包装有限公司	     	四川 成都四川 成都市 成都双彭镇黄天坝工业园流县公司官网：http://www.ycdslbz.cn公司电话：86 028 85850388公司传真：86 028 85850388
-28-84363849	     	代成先生(业务员)	     	称：成都　卓越四方环境科技有限公司	     	四川 成都四川 成都市 双林路22号公司电话：86-28-84363849公司传真：86--
-028-66621578	     	杜述全先生(经理)	     	称：四川全新商贸有限公司	     	四川 成都四川 成都市 成都市簇桥乡望锦中街34号公司电话：86-028-66621578公司传真：86-028-85030721
 028 88432681	     	唐露	     	称：成都润达工贸有限公司	     	四川 成都四川 成都市 成龙路789号公司电话：86 028 88432681公司传真：86 028 88431239
 028 83370691	     	曾理	     	称：成都云舟互利塑胶有限责任公司	     	四川 成都四川 成都市 成都市解放路一段204号公司官网：http://www.yz-sj.cn公司电话：86 028 83370691公司传真：86 028 83336557
成都莘明过滤设备有限公司	     	高健华	     	18981983958	     	四川 成都成都市金牛区公司官网：www.xmgl6.com公司电话：028-69186892
781589885	     	马兵	     	称：四川朝阳再生塑料颗粒加工厂	     	四川 成都厂址：四川省西昌市太和镇（工业园区）李家坎村公司电话：18781589885公司传真：18781589885
-028-89691785	     	李嘉先生(总经理)	     	称：成都夏果经贸实业有限公司销售部	     	四川 成都四川 成都市青羊区 成都市青羊区小关庙街33号公司电话：86-028-89691785公司传真：86-028-66675912
-028-13880733369	     	：成都市鑫达泡沫包装有限公司	     	86-028-13880733369	     	四川 成都四川 成都市 新民工业园公司电话：86-028-13880733369公司传真：86-028-13880733369
 成都市 成都市金花镇	     	：四川成都同创EPE珍珠棉塑胶制品有限公司	     	86-028-88081210	     	四川 成都四川 成都市 成都市金花镇公司电话：86-028-88081210
-028-84343958	     	：立升企业成都分公司	     	86-028-84343080	     	四川 成都四川 成都市 成都市双桥路89号附6--8号公司官网：http://www.litree.com公司电话：86-028-84343080公司传真：86-028-84343958
-0818-2656294	     	余宏旭先生	     	称：太阳能塑料有限公司(美好集团)	     	四川 达州四川 达县 杨柳垭工业区公司电话：86-0818-2656294公司传真：86--
-028-83183086	     	宋波先生	     	称：成都市金牛区大东印刷物质销售部	     	四川 成都四川 成都市 成都市一环路北二段22号公司电话：86-028-83183086公司传真：86-028-83183086
成都利信焊割工具有限公司	     	吕波	     	18981851755	     	四川 成都公司电话：028-87625385
-028-66271831	     	李先生先生(经理)	     	称：成都新贵人机械公司	     	四川 成都四川 成都市 科华北路145号樱花假日商务大厦906号公司电话：86-028-66271831公司传真：86-028-85354489
 成都市龙泉驿区 十陵镇	     	：成都天诚保温材料厂	     	86-028-81958831	     	四川 成都四川 成都市龙泉驿区 十陵镇公司电话：86-028-81958831
 0834 3202360	     	刘银	     	称：冕宁县泸沽安宁塑料厂	     	四川 凉山四川 西昌市 城南大道小商品批发市场洗车场4号公司官网：http://www.anningsuliao.cn公司电话：86 0834 3202360公司传真：86 0834 2189667
 0838 5503888	     	郎杰	     	称：广汉市永达塑胶有限公司	     	四川 德阳四川 广汉市 广汉市南兴镇公司官网：http://www.ghyongda.com.cn公司电话：86 0838 5503888公司传真：86 0838 5503888
8-028-3151213	     	钟龙强先生(经理)	     	称：四海塑料厂	     	四川 成都四川 成都市 成都市锦江区公司电话：038-028-3151213
成都家具喷漆房过滤棉风机配件批发	     	王军	     	18782172335	     	山东 济南济南公司电话：000-18782172335
