公司名称                     	 联系人    	 电话 {:<}     	 地址 {:<} 	
 成都泛在科技有限公司	     	林春	     	15700000001	     	四川 成都孵化园公司官网：https://www.fanzai.net/公司传真：028-33010133
成都北斗卫通科技有限公司	     	王女士	     	13558836429	     	四川 成都成都市高新区天府大道中段500号
成都维诺信科技有限公司	     	曾德成	     	15982278507	     	四川 成都
中国电信股份有限公司苍溪分公司	     	何成军	     	15328593199	     	四川 广元四川苍溪县红军中路公司电话：0839-3390777公司传真：0839-5855000
8-84856093	     	刘通	     	称：龙泉灵通小汽车修理厂	     	四川 成都四川省成都市龙泉驿区龙泉驿河公司电话：028-84856093公司传真： 
成都恒邦伟业文化传播有限责任公司	     	苏林	     	13908050772	     	四川 成都四川省成都市金牛区一环路北三段顺沙巷23号11幢10-1号公司电话：028-86251100公司传真： 
成都卓云信息技术有限公司	     	宁老师	     	18678868170	     	四川 成都
达州光缆回收中心	     	任经理	     	18031115819	     	四川 达州
8-85168524	     	罗天文	     	称：成都三零瑞通移动通信有限公司	     	四川 成都四川省成都高新区创业路8号公司电话：028-85168524公司传真：028-85168520
-028-83381265	     	刘森先生	     	称：成都德诚智能卡科技有限公司	     	四川 成都四川 成都市 成都市建设北路一段76号通美大厦1708公司官网：http://www.dczk.com.cn公司电话：86-028-83381265公司传真：86-028-83381162
-838-5701288	     	王女生先生	     	称：广汉市双元机械厂销售部	     	四川 德阳四川 广汉市 广德路128路公司电话：86-838-5701288公司传真：86-838-5702399
-0755-26882222	     	张先鹏先生	     	称：深圳市日海通讯技术有限公司	     	四川 成都四川 成都市 深圳市蛇口工业大道日海大厦 成都市白果林文华路公司官网：http://www.sunseagroup.com公司电话：86-0755-26882222公司传真：86--
-28-85903486	     	黄科先生(经理)	     	称：成都超洋光纤网络有限公司	     	四川 成都四川 成都市 一环路南三段28号公司电话：86-28-85903486公司传真：86--
-028-85355783	     	：成都宝龙金泰信息产业发展有限公司	     	08-028-85259005/8529	     	四川 成都四川 成都市 成都市人民南路四段53号嘉云台乙栋19楼E座公司官网：http://www.cdbljt.com/gsjj.asp公司电话：08-028-85259005/8529公司传真：86-028-85355783
 0818 2982532/801	     	王达	     	称：达州会达手机维修培训中心	     	四川 达州四川 达州市 黄泥碥街26号（大观园下行80M世纪苑旁）公司官网：http://www.wd12982532.cn公司电话：86 0818 2982532/801公司传真：086 818 8012615
--	     	：张娟(体体经营)	     	86-0826-2240890	     	四川 广安四川 广安市 广安市广安区建华路公司电话：86-0826-2240890公司传真：86--
--	     	：成都明祥通讯有限公司	     	86-028-66557795	     	四川 成都四川 成都市 中央花园二期41#公司电话：86-028-66557795公司传真：86--
 028 86513278	     	张泽均	     	称：成都市青羊区玖鼎通讯器材经营部	     	四川 成都四川 成都市 太升南路184号7楼B1公司官网：http://www.ts39.com公司电话：86 028 86513278公司传真：86 028 86513278
-28-85054565	     	：成都第三网络科技有限责任公司营销中心	     	86-28-85054565	     	四川 成都四川 成都市 成都市高升桥南街2号风尚国际6栋4单元10楼2号公司官网：http://www.cdvoip.net公司电话：86-28-85054565公司传真：86-28-85054565
--	     	：四川岷山饭店有限公司	     	86-028-85583333	     	四川 成都四川 成都市 人民南路二段55号公司电话：86-028-85583333公司传真：86--
-028-83102358	     	lichao先生(片区经理)	     	称：成都一舟线缆有限公司	     	四川 成都四川 成都市 成都市温江涌泉街道办事处旁公司电话：86-028-83102358公司传真：86--
成都哈雷光电科技有限公司	     	哈雷	     	18081928703	     	四川 成都成都市高新西区天辰路88号3号楼1单元公司官网：www.halley.com.cn公司电话：028-66767345
-028-85180970-601	     	：成都联宇创新科技有限公司（销售部）	     	86-028-85180970	     	四川 成都四川 成都市 新光路5号公司电话：86-028-85180970公司传真：86-028-85180970-601
--	     	：自贡市宏伟网络公司	     	86-0813-8118888	     	四川 自贡四川 自贡市 自贡市汇东新区汇兴路宏伟综合楼3楼公司电话：86-0813-8118888公司传真：86--
 028 82687588	     	皮广德	     	称：四川广为通信有限公司	     	四川 成都四川 成都市温江区 成都市温江区海峡科技园东区浩旺路26号公司官网：http://www.scgwtx.cn公司电话：86 028 82687588公司传真：86 028 82688726
 成都市 成都市大安西路2号	     	：成都瑞珲华讯科技有限公司	     	86-028-86770062	     	四川 成都四川 成都市 成都市大安西路2号公司电话：86-028-86770062
四川省学来商贸有限公司	     	唐飞	     	18398164500	     	四川 遂宁
