公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 四川省成都市鼎盛建筑公司	杨平	15528301830	四川 成都
成都新禹承陶业有限公司	徐先生	18030859652	四川 成都成都市新都区泰兴镇恒大上林苑斜对面公司官网：https://www.xycty.com公司电话：180-30859651公司传真：028-64626654
8-88677960	张泽成	称：成都红艳超市有限公司蒲江寿安分公司	四川 成都四川省成都市蒲江县寿安镇正街下段公司电话：028-88677960公司传真：028-88677960
省成都市新津县花桥镇长绍村二组	：成都红艳超市有限公司新津花桥分公司	82515585	四川 成都四川省成都市新津县花桥镇长绍村二组公司电话：82515585
8-83849666	何其洪	称：彭州市磁峰大花煤矿矸砖厂	四川 成都四川省成都市彭州市磁峰镇庙坪村公司电话：028-83849666公司传真： 
33-7675188	王文全	称：四川省彭山县全宇陶瓷有限公司	四川 眉山四川省眉山市彭山县观音镇梁河公司电话：0833-7675188公司传真：0833-7675188
 0833 3540181	李小刚	称：乐山市沙湾区金龟山煤矿金沙矿业厂	四川 乐山四川 乐山市 乐山市沙湾区公司官网：http://www.lxg3540181.cn公司电话：86 0833 3540181公司传真：86 0833 3540181
-028-83265713	：中红集团四川省广汉建材有限公司	86-028-83265713	四川 成都四川 成都市 成都一环路东一段公司电话：86-028-83265713公司传真：86-028-83265713
--	：新空间-灵动室内设计室	86-0833-3832785	四川 乐山四川 乐山市 乐山市柏杨中路42号302室公司电话：86-0833-3832785公司传真：86--
成都山特瑞科矿山有限公司	周秀	13872005615	四川 成都公司电话：028-87691288
西昌信泰商贸有限公司	李飞	13981580684	四川 凉山公司电话：0834-13981580684
四川丹棱县金星陶瓷有限公司	李虎彪	13508135887	四川 眉山丹棱陶瓷工业园公司官网：www.jjccsm.com公司电话：0833-5675377
四川省成都市鼎盛建筑公司	杨平	15528301830	四川 成都
成都新禹承陶业有限公司	徐先生	18030859652	四川 成都成都市新都区泰兴镇恒大上林苑斜对面公司官网：https://www.xycty.com公司电话：180-30859651公司传真：028-64626654
8-88677960	张泽成	称：成都红艳超市有限公司蒲江寿安分公司	四川 成都四川省成都市蒲江县寿安镇正街下段公司电话：028-88677960公司传真：028-88677960
四川省成都市鼎盛建筑公司	杨平	15528301830	四川 成都
成都新禹承陶业有限公司	徐先生	18030859652	四川 成都成都市新都区泰兴镇恒大上林苑斜对面公司官网：https://www.xycty.com公司电话：180-30859651公司传真：028-64626654
8-88677960	张泽成	称：成都红艳超市有限公司蒲江寿安分公司	四川 成都四川省成都市蒲江县寿安镇正街下段公司电话：028-88677960公司传真：028-88677960
四川省成都市鼎盛建筑公司	杨平	15528301830	四川 成都
成都新禹承陶业有限公司	徐先生	18030859652	四川 成都成都市新都区泰兴镇恒大上林苑斜对面公司官网：https://www.xycty.com公司电话：180-30859651公司传真：028-64626654
8-88677960	张泽成	称：成都红艳超市有限公司蒲江寿安分公司	四川 成都四川省成都市蒲江县寿安镇正街下段公司电话：028-88677960公司传真：028-88677960
四川省成都市鼎盛建筑公司	杨平	15528301830	四川 成都
成都新禹承陶业有限公司	徐先生	18030859652	四川 成都成都市新都区泰兴镇恒大上林苑斜对面公司官网：https://www.xycty.com公司电话：180-30859651公司传真：028-64626654
8-88677960	张泽成	称：成都红艳超市有限公司蒲江寿安分公司	四川 成都四川省成都市蒲江县寿安镇正街下段公司电话：028-88677960公司传真：028-88677960
四川省成都市鼎盛建筑公司	杨平	15528301830	四川 成都
成都新禹承陶业有限公司	徐先生	18030859652	四川 成都成都市新都区泰兴镇恒大上林苑斜对面公司官网：https://www.xycty.com公司电话：180-30859651公司传真：028-64626654
8-88677960	张泽成	称：成都红艳超市有限公司蒲江寿安分公司	四川 成都四川省成都市蒲江县寿安镇正街下段公司电话：028-88677960公司传真：028-88677960
