公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都唐氏康宁科技发展有限公司	唐先生	13730654497	四川 成都
成都市彰华净化科技有限公司	李青松	18180541337	四川 成都
成都川禾川调商贸有限公司	何先生	13730839317	四川 成都
省成都市武侯区一环路南一段２０号（普利大厦Ｄ－...	：成都凯润实业有限公司	85444861	四川 成都四川省成都市武侯区一环路南一段２０号（普利大厦Ｄ－...公司电话：85444861
8-88430828/88430388	宋	称：成都西部石油装备有限公司	四川 成都四川成都龙泉驿成都经济技术开发区东航路285号公司电话：028-88430828/88430388公司传真：028-88430918
16-3661595	代少林	称：四川省江油市恒达机械厂	四川 四川省江油市双江公司电话：0816-3661595公司传真： 
成都达睿商贸有限责任公司	周德琴	13688140458	四川 成都四川省成都市金牛区永陵路7号8单元8号公司电话：028-87732102公司传真： 
13-6302585	：康德福炊具有限公司	0813-6302585	四川 自贡四川自贡市成佳工业区公司电话：0813-6302585公司传真：0813-6302585
成都市火速生物科技研究所	王杰	18281618675	四川 成都
8-85870564	张永平	称：成都市源流矿泉水业有限公司	四川 成都四川省成都市双流县文星镇九龙湖村公司电话：028-85870564公司传真： 
青川县白龙湖水产开发有限公司	李占平	18981236899	四川 广元中国四川青川县青川县沙州镇场镇公司电话：083908397502111公司传真：08397502111
0000	：索拉泰克精密机械有限公司	四川成都	四川 成都四川成都
成都宝斯特厨具	黄经理	18123276519	四川 成都
成都宝斯特厨具有限公司	林小姐	18381619610	四川 成都
金牛区惠康食品添加剂经营部	冯英	13568841988	四川 成都中国四川成都市成都市赛云台东一路2号附3号（五块石综...公司电话：8602883136268/83127936公司传真：02883136268
成都旺购食品设备商城	刘杰	13908197792	四川 成都四川成都公司官网：www.cdwg.com.cn公司电话：028-83263372
武侯区洛哈斯汉堡屋	杨晓	13880358269	四川 成都
成都市火速生物科技研究所	王杰	13183818777	四川 成都公司电话：028-85036477
成都市森航木业有限责任公司	于勰灿	15328038078	四川 成都四川省成都市新都区石板滩镇集体村11社公司官网：http://www.cdsenhang.com公司电话：028-83995454公司传真：028-83995454
成都宝斯特厨具有限公司	黄乃宝	15756320656	四川 成都成都武侯区西部智谷D区
成都宝斯特有限公司	黄经理	15756320628	四川 成都武侯区武兴四路西部智谷D区2栋1单元702公司电话：028-85083298
成都高新区星火包装机械销售部	刘经理	13679028848	四川 成都公司电话：028-66767121
四川星火打包机有限公司	刘经理	13679028848	四川 成都公司电话：028-66767121
四川蜀诚包装有限公司	樊宗国	18011130839	四川 绵阳公司电话：086-18011130839
成都固锝科技有限公司	李先生	13880222023	四川 成都天府新区华阳公司官网：www.goodprecision.com公司电话：028-80088888
四川正友机械科技有限公司	杨先生	18702860661	四川 成都公司电话：028-85806942
广州市微嵌计算机科技有限公司	余先生	13926064366	四川 成都公司电话：028-64065576
