公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
自贡市华牧饲料有限公司	谢世云	13608151506	四川 自贡四川自贡荣县旭阳马鞍山公司电话：0813-6161184公司传真：0813-6163259
33-3208698	唐光跃	称：乐山巨星饲料有限公司	四川 乐山四川省乐山市五通桥区牛华镇公司电话：0833-3208698公司传真：0833-3208889
8-82650599	成?	称：成都华新特种水产饲料有限公司	四川 成都四川省成都市温江区公平镇建安村二组公司电话：028-82650599公司传真：028-82652222
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
成都佳罐塑料制品有限公司	曹先生	15882492709	四川 成都公司电话：028-88354868
成都西尔维精工科技有限公司	秦小伟	13568908680	四川 成都公司电话：028-84936757
18-3531162	熊成德	称：达州通威饲料有限公司	四川 达州四川省达州市达州县南大街91号公司电话：0818-3531162公司传真：0818-3531269
