公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 浙江博达激光	黄先生	13336986333	浙江 温州
浙江杭州日盛电热制品有限公司	金建强	18069880677	浙江 杭州
温州新展展示器材有限公司	方小娇	18892685133	浙江 温州
浙江杭州食品加工有限公司	肖丽娟	18569878965	浙江 杭州
平阳县标牌有限公司	chen	15869696022	浙江 温州平阳
浙江宁波慈溪市逍林镇一佳毛绒有限公司	刘长军	18057498870	浙江 宁波浙江宁波慈溪市逍林镇一佳毛绒有限公司公司电话：0574-63829820-18936596509公司传真：63829280
宁波中创数控设备科技有限公司	文生	18892661091	浙江 宁波
宁波汇硕机械有限公司	张斌	13957471772	浙江 宁波
5800	朱先生	称：祥合管道工程有限公司	浙江 宁波
苍南县龙港亦品铭塑料喷镀厂	林玉奖	18367765697	浙江 温州浙江省温州市苍南县龙港镇松阳路571-711号B区4楼公司官网：https://yipinmian.1688.com/公司电话：0577-68612366
浙江武电电气有限公司	何经理	13587760871	浙江 温州公司电话：0577-62659970
台州黄岩天材模具厂	许总	13736566063	浙江 台州北城工业区锦川路20号公司官网：www.tc-mould.com公司电话：0576-84116929
温州渝远流体设备厂	秦勇	15067780515	浙江 温州
绍兴刺凰纺织品有限公司	APRIL	17774220810	浙江 绍兴
慈溪宏峰有限公司	黄少	13429298323	浙江 宁波
侗郎服饰加工厂	杨兵明	18357038338	浙江 中国浙江瑞安市飞云街道黄村129.130号
苍南县和雅压痕加工厂	黄金城	13587813651	浙江 温州中国浙江温州市苍南县巴曹镇黄库村官禄河南路32后面公司电话：86057768112448公司传真：057768112448
冲压模具开发及冲床产品加工公司	张聪	13738825158	浙江 宁波中国浙江宁波市鄞州区塘溪公司电话：8605748814026公司传真：05748814026
武义何氏文教用品厂	吕莺	15868999521	浙江 金华中国浙江武义县浙江武义县泉溪镇公司电话：86057987726833公司传真： 
万通线切割加工厂	徐见江	13867122449	浙江 杭州中国浙江杭州市萧山区蜀山街道公司电话：86057182685019公司传真：057182681261
057488099690	顾	称：新茗塑胶加工厂	浙江 宁波中国浙江宁波市宁波姜山工业区公司电话：86057488099690
明良仪表车床加工厂	欧明良	15606660312	浙江 温州中国浙江温州市温州市上田村公司电话：8657756993883公司传真： 
浙江省三门县永丰橡胶厂	吴伟蓬	13305768662	浙江 台州浙江省台州市三门县高枧乡桥下村公司传真： 
宁波北仑大矸宏威吸塑模具加工厂	许广亮	13616789265	浙江 宁波中国浙江宁波市宁波北仑区大矸镇富春江路国道旁>公司电话：86013616789265
057985089285	5957985815	称：义乌市飞洋饰品加工厂	浙江 中国浙江义乌市义乌市稠城街道东付宅村223号公司电话：86057985089285
慈溪市胜山福银绗缝绗绣制品厂	潘福银	13805816964	浙江 中国浙江慈溪市胜山工业区兴镇二路35号公司电话：86057463548869公司传真：057463526860
金煌服饰箱包厂	贺国俊	13325745127	浙江 宁波中国浙江宁波市北仑区浙江省宁波市北仑区新街道横浦村公司电话：86057486887173
