公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 东阳市横店瑟罗克电子商务商行	刘先生	13566727716	浙江 金华
杭州墨池轩文化用品有限公司	姚俊	18814843882	浙江 杭州桐庐县迎春南路28号海陆世贸中心一区413-14公司官网：http://www.smxke.com/公司传真：0571-82581952
浙江禾雅拍卖有限公司	陈德勒	18067059676	浙江 嘉兴浙江嘉兴南湖区
浙江宝汇拍卖有限公司	陈昊琪	13615706058	浙江 衢州
平阳县标牌厂	林雪雪	15858020213	浙江 温州
浙江瀚林文化集团	李元英	13957337149	浙江 嘉兴
浙江瀚林拍卖有限公司	杨苹	13456216101	浙江 嘉兴
杭州恒吉文化投资有限公司	戴经理	18251291858	浙江 杭州
浙商萧山古玩收购公司	周家丰	18298035124	浙江 杭州
苍南县宝迪工艺品制造有限公司	吴登杰	13221186118	浙江 温州中国浙江苍南县龙港镇新美洲一小区168号公司电话：086057764180836公司传真：057764180290
东阳中国木雕城坤禾木雕工艺品商行	曹建伟	13656977876	浙江 中国浙江东阳市浙江省东阳中国木雕城C区30473048号公司电话：86057986521919
浙江菲能电器有限公司	俞海晶	15606511119	浙江 杭州中国浙江杭州市江干区杭州市江干区老杭海路49号公司电话：86057186793956公司传真：0571-86888010
苍南县龙港美仕达塑料制品加工厂	钟林鑫	13736988997	浙江 温州中国浙江苍南县浙江苍南龙港人民路1197号公司电话：86057768625506公司传真：057769625506
东阳中国木雕城王飞龙木雕工艺品经营部	王飞龙	13967986021	浙江 中国浙江东阳市木雕城H2356-H2359公司电话：8657986855345公司传真：057986855345
恒远根雕艺术有限公司	潘	13566882123	浙江 中国浙江临海市花街公司电话：86057613566882123公司传真：057613566882123
昀德工艺品厂	何超昀	13566192909	浙江 温州中国浙江平阳县平阳县昆阳镇车站南路135号公司电话：86057780808080公司传真：075580808080
晶莹水晶工艺品厂	凌根旋	13606798309	浙江 中山中国浙江浦江县中山花园10幢公司电话：8605794113686公司传真：05794124688
057985742002	王玲	称：义乌市在野工艺品厂	浙江 中国浙江义乌市义乌市佛堂后塘工业区公司电话：86057985742002公司传真：057985742002
9-85588645	赵东明 	称：派克工艺品有限公司	浙江 浙江义乌市义乌稠州北路645号3楼公司电话：579-85588645
东阳中国木雕城竹缘轩竹工艺品店	龚智蓉	15867995911	浙江 中国浙江东阳市浙江省东阳中国木雕城，H区1149-1152公司电话：86057986523500
通成油画有限公司	龙通成	13615894707	浙江 中国浙江义乌市青口公司电话：86057913615894707公司传真： 
平阳县思雅工艺品厂	黄云桐	13587989796	浙江 温州中国浙江平阳县平阳县昆阳镇工业区兴工路186号公司电话：86057763186336公司传真：057763186336
青田县政琦工艺品厂	刘伯海	15857817788	浙江 丽水中国浙江青田县浙江省丽水市青田县章旦乡章旦村工业园...公司电话：008605786911488公司传真：05786911077
灵璧县灵城众联密封材料厂	程锦程	13305844455	浙江 南昌中国浙江余姚市新建北路733号公司电话：86057422693100公司传真：057422693100
青田县政琦工艺礼品厂	政琦工艺礼品	13735949096	浙江 丽水中国浙江青田县浙江省丽水市青田县前仓村88号公司电话：8605786911488公司传真：05786911077
平阳县杰诚徽章厂	杨娜	13958775680	浙江 温州中国浙江平阳县昆阳镇横阳路28号公司电话：86057763886119公司传真：057723882816
义乌市勇耀汽车用品商行	周勇耀	18006519668	浙江 中国浙江义乌市国际商贸城5区4楼4街68854商位
