公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 杭州磊盛智能科技有限公司	李美华	18458436363	浙江 杭州
杭州谷一米科技有限公司	陈专	15925697379	浙江 杭州
德清卡诺晶体纤维有限公司	姚佳杰	13732371422	浙江 湖州
温州铭科智能工程有限公司	张晚发	15868740122	浙江 温州
浙江亚通通信科技有限公司销售部	胡方杰	13626506958	浙江 温州中国浙江温州市鹿城区温州高新产业园区创业园－５公司电话：860577865888008805公司传真：0577865888008015
杭州平治科技有限公司	林霞霞	13758130942	浙江 杭州
-571-81606286	：杭州拓展科技有限公司	86-571-81606216	浙江 杭州浙江 杭州市 杭州市绍兴路347号华洲创业楼1-2-401公司官网：http://www.zjtzkj.com公司电话：86-571-81606216公司传真：86-571-81606286
 0579 87448344	应承利	称：永康市谷歌工贸有限公司	浙江 金华浙江 永康市 永康市公司官网：http://www.tuanlidoors.com.cn公司电话：86 0579 87448344公司传真：86 0579 87447660
-574-88366664	：宁波鄞州横溪永利锁厂	86-574-81362381	浙江 宁波浙江 宁波市 横溪公司电话：86-574-81362381公司传真：86-574-88366664
 0579 85688184	梅艳	称：艳阳不锈钢门业	浙江 金华浙江 义乌市 浙江省义乌市北苑街道公司官网：http://www.yymy888.com.cn公司电话：86 0579 85688184公司传真：086 0579 85688184
 0571 86942787	朱先生	称：杭州奥菲尔自动门有限公司业务部	浙江 杭州浙江 杭州市江干区 杭州杭海路555号A楼195#公司官网：http://www.hzafr.cn公司电话：86 0571 86942787公司传真：86 0571 86945140
-0579-7581997	：浙江龙裕科技有限公司	86-0579-7581996	浙江 金华浙江 永康市 十里牌工业区九龙北路328号公司官网：http://www.longyudoors.com/about.asp公司电话：86-0579-7581996公司传真：86-0579-7581997
-0574-87513648	汪杰先生(经理)	称：宁波市海曙维尔特电子科技有限公司	浙江 宁波浙江 宁波市 宁波市中山西路756号公司电话：86-0574-87513648公司传真：86-0574-87510289
-0573-83979093	李小青女士(采购)	称：嘉兴久创机电科技有限公司	浙江 嘉兴浙江 海盐县 浙江嘉兴中山西路公司电话：86-0573-83979093公司传真：86-0573-82715655
-0577-88689508	雷华先生(销售经理)	称：温州市吉福报警设备有限公司义乌分公司	浙江 温州浙江 温州市 温州市姣凤北路108号公司电话：86-0577-88689508公司传真：86-0577-88689268
-0576-4552322	杨峰先生(业务员)	称：泉州贝斯特电子电器有限公司	浙江 台州浙江 台州市 黄岩后庄535号公司官网：http://www.公司电话：86-0576-4552322公司传真：86--
 0571 85378047	潘海鹏	称：杭州谷川电子科技有限公司	浙江 杭州浙江 杭州市 秋涛北路119号佳好佳商城A楼众佳写字楼207#公司官网：http://www.gcdzkj.com公司电话：86 0571 85378047公司传真：86 0571 85378047
杭州临安新声材料科技有限公司	孙静	18058114867	浙江 杭州浙江省杭州市临安市锦北街道208公司电话：0571-61093270
-0576-82274888	黄新波先生(经理)	称：台州市新基工贸有限公司	浙江 台州浙江 台州市椒江区 浙江台州市经济开发区巨鼎广场312号公司电话：86-0576-82274888公司传真：86--
-0574-88329285	胡俊锋先生(业务部)	称：宁波深瑞智能科技有限公司	浙江 宁波浙江 宁波市 东湖花园二期公司官网：http://www.srzn.com/gsjs.htm公司电话：86-0574-88329285公司传真：86-0574-88329587
-0574-62728018	：余姚市金虹电器有限公司	86-0574-62716765	浙江 宁波浙江 余姚市 振兴西路108号公司官网：http://www.yyjinhong.com公司电话：86-0574-62716765公司传真：86-0574-62728018
 0571 13116781003	李全亮	称：杭州远恒电子公司	浙江 杭州浙江 杭州市 西湖区文三西路公司官网：http://www.yh1314.cn公司电话：86 0571 13116781003公司传真：86 0571 89003632
--	：浙江朗利工程有限公司	86-0571-81583292	浙江 杭州浙江 杭州市 杭州市西湖区黄故山路创业大厦2楼J2085号公司官网：http://www.zjllgc.com/公司电话：86-0571-81583292公司传真：86--
-575-2018661	蒋桂丽女士	称：上虞聚福酒业有限公司	浙江 绍兴浙江 上虞 百官街道三号桥公司电话：86-575-2018661公司传真：86-575-2018661
-571-88059184	孙民先生	称：杭州威仕达电子科技有限公司	浙江 杭州浙江 杭州市 登云路639号2A043－045公司官网：http://www.vsccve.com公司电话：86-571-88059184公司传真：86-571-89902043
 571 88948803	刘铁梅	称：杭州鸿运楼梯有限公司	浙江 杭州浙江 杭州市 杭州市华东陶瓷品市场家装市场二楼250-251号公司官网：http://www.hzhylt123456.cn公司电话：86 571 88948803公司传真：86 571 88948803
-0579-87385388	：YONGKANG HYGEIA IMP&EXP C	86-0579-87366338	浙江 金华"浙江 金华市 the 6th floor NO 61Nanyuan East RoadYongkangZhejian"公司电话：86-0579-87366338公司传真：86-0579-87385388
