公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 深圳有家犬舍	李欧	17062160875	浙江 衢州深圳南山蛇口
浙江荣泉贸易公司	李先生	17071105569	浙江 金华
杭州曼迪迦宠物美容会所	郑女士	15336557193	浙江 杭州
浦江大龙地毯有限公司	田崇	15257559889	浙江 中国浙江浦江县浦江县前吴乡通济桥大坝下公司电话：0579-84180358公司传真：0579-84180318
宁波市鄞州锦泓带业有限公司	方洪	13705740115	浙江 宁波中国浙江宁波市宁波市鄞州集士港镇开发区集环路公司电话：86057488424778公司传真：057488421180
大地箱包有限公司	Gavin	13588699732	浙江 中国浙江义乌市义乌市凯西西路一号公司电话：865795220909公司传真：05795220908
057985967793	黄翠翠	称：江西省亿丰箱包有限公司	浙江 中国浙江义乌市义乌市荷叶塘工业区物华路3街13号公司电话：86057985967793公司传真：057985956260
杭州景鸿装饰设计工程有限公司	代林	13185019363	浙江 杭州中国浙江杭州市环城北路10号公司电话：86057188888888公司传真：057188888888
71-87815571	周仁才	称：杭州市水产养殖公司	浙江 杭州浙江省杭州市上城区定安路红门局1号公司电话：0571-87815571公司传真： 
杭州福派宠物有限公司	王爱青	15154605121	浙江 杭州
义轩达宠物用品厂	xuan254222231轩	13645896860	浙江 中国浙江义乌市义乌国际商贸城二期G区2楼15476店公司电话：86057985184761
桐庐芳嘉针纺织厂	陈玲玲	13968160892	浙江 杭州中国浙江桐庐县杭州市桐庐县横村公司电话：86057164621832公司传真：057169918626
义乌市东达宠物用品有限公司	马雪娜	13653175760	浙江 金华中国浙江金华义乌市公司电话：010-3333333
杭州清韵琴行有限公司	钟经理	13588108125	浙江 杭州公司电话：0571-86698823
嘉兴市犬道文化传播有限公司	葛莲	15858380060	浙江 嘉兴公司电话：0573-83166777
浙江大飞食品有限公司	覃心怡	18267904420	浙江 金华公司电话：0571-82679048
家有爱宠犬舍	黄小丽	13916947090	浙江 宁波公司电话：021-56869545
浙江棒棒集团	覃先生	18267904420	浙江 金华公司电话：0769-82689523
金华市天佑科技有限公司	李琰	15068051315	浙江 金华中国 浙江 金华市 金华市 孝顺镇 镇西 方村村口公司官网：http://www.0086ts.com公司电话：86 0579  83189906公司传真：86 0579 82303982
永康市鹰洪异型铆钉厂	应哲学	13967916522	浙江 金华中国 浙江 永康市 浙江省永康市经济开发区子政路133-30公司官网：http://www.yhmdcn.com公司电话：86 0579  87481181/87026161公司传真：86 0579 87451393
杭州和宇服装厂	陈先生	18258338603	浙江 杭州公司电话：057186410958
市凤起路花鸟城东区41—42-43号	3758101852	称：杭州 宠物用品批发	浙江 杭州杭州市凤起路花鸟城东区41—42-43号公司官网：www.bobopet.cn
79-56835067	3575494589	称：杭州 宠物用品有限公司	浙江 杭州杭州市文二路314号公司传真：0579-56835067
市临平镇保障桥天虹集团内	：杭州 天元宠物用品有限公司	0571-86140282	浙江 杭州杭州市临平镇保障桥天虹集团内公司官网：www.tianyuan-cn.com公司传真：0571-86140282
深圳有家犬舍	李欧	17062160875	浙江 衢州深圳南山蛇口
浙江荣泉贸易公司	李先生	17071105569	浙江 金华
杭州曼迪迦宠物美容会所	郑女士	15336557193	浙江 杭州
