公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 宁波宝工电器有限公司	樊树斌	15257877377	浙江 宁波新塘路658号
浙江枫云景生态环境科技有限公司	王女士	15268589188	浙江 杭州
宁波赛嘉电器有限公司	王充	13454713928	浙江 宁波宁波市江北区投资创业C区姜湖路239号公司官网：http://www.seagoln.cn公司传真：0574-88228701
永康市古山宇多金属制品厂	黄宝伦	13306895588	浙江 中国浙江永康市古山镇前金工业区公司电话：8057987065608公司传真：08057987065608
丽水市龙泉贸易有限公司	吴竹源	13967858565	浙江 中国浙江龙泉市浙江省龙泉市公司电话：86057813967858565公司传真：0578-7384103
余姚市煜辉电器厂	单宝军	13905843568	浙江 中国浙江余姚市余姚泗门镇小路下村公司电话：86057462160507公司传真：057462160507
8657187248309	徐黎	称：杭州佳鹏家电有限公司	浙江 杭州中国浙江杭州市庆春路9号长堤明苑8H公司电话：008657187248309公司传真：057187247091
杭州米乐电器有限公司	贺伟	13970883258	浙江 杭州中国浙江杭州市杭州市滨江区浦沿街道南环路3730号源越...公司电话：8657187753130公司传真：057187753133
义乌市志华电器商行	吕志华	13049900330	浙江 中国浙江义乌市义乌市公司电话：865798503034
慈溪市海强塑料制品有限公司	董家琪	13968250250	浙江 中国浙江慈溪市龙山镇公司电话：86057463782400公司传真： 
浙江奥力电器（小家电）有限公司	叶枝（经理）	13819557562	浙江 天津浙江嵊州市城东南开发区惠民街18号公司电话：0575-83366089公司传真：0575-83350280
057427852407	3780045501	称：宁波高新区易博电器有限公司	浙江 宁波中国浙江宁波市宁波高新区杨木路3号公司电话：86057427852407公司传真：057427852407
杭州兴湾五金机械有限公司	高明明	13777888753	浙江 杭州中国浙江杭州市江干区杭州市下沙镇湾南村五组31号公司电话：86057113777888753公司传真：0571-86920113
宁波北仑爱格特办公自动化设备有限公司	周蕾	15067448757	浙江 宁波中国浙江宁波市北仑区小港街道江家山村58号公司电话：8657486180615公司传真：057486180617
057488271103	罗奉林	称：宁波市鄞州妮诺环保电器有限公司	浙江 宁波中国浙江宁波市鄞州区栎社蒋家联丰工业区公司电话：86057488271103
浙江心之灵日用品厂	胡灵心	15924283860	浙江 中山中国浙江永康市中山工业区公司电话：008657981533240
绍兴阿利卡电器有限公司	韩丽娜	15258552910	浙江 天津中国浙江嵊州市浙江省嵊州市甘霖工业开发区C区公司电话：86057583271111公司传真：057583271188
慈溪市德胜电器厂	龚立军	13968214788	浙江 中国浙江慈溪市慈溪市附海镇南园村界河334号公司电话：86057463680120公司传真：057463680120
金华市博毅商贸有限公司	包康康	13757974851	浙江 金华中国浙江金华市金东区枫树小区28幢公司电话：86057982110900
浙江惠龙机械有限公司营销部	曾志成	13806855718	浙江 中国浙江瑞安市浙江省瑞安市飞云镇大池头工业园区云江...公司电话：86057765020588公司传真：057765020686
057487737882	庄飞	称：宁波如果信息科技有限公司	浙江 宁波中国浙江宁波市江东区浙江省宁波市江东高新区明珠路...公司电话：86057487737882
慈溪市多保电器厂	周明亮	13506741371	浙江 中国浙江慈溪市掌起镇公司电话：86057463755155公司传真：057463755153
86057386780148	周逸文	称：海盐光普电器有限公司	浙江 嘉兴中国浙江海盐县海盐小家电工业园公司电话：0086057386780148公司传真：057386780488
杭州金雾加湿设备厂销售部	徐军良	13819151645	浙江 杭州中国浙江杭州市萧山区高田9栋3号公司电话：86057156124790公司传真：057156123413
平湖御膳坊电器有限公司	黎向军	13806723084	浙江 中国浙江平湖市平湖市新仓工业园区公司电话：86057385628923公司传真：057385628915
慈溪市盈宝电器厂	徐建挺	13805825463	浙江 中国浙江慈溪市浙江省慈溪市观城工业区公司电话：86057463621118公司传真：057463621118
慈溪皓日电气有限公司	虞伟波	13586861488	浙江 中山中国浙江慈溪市观海卫镇工业园东区公司电话：0086057463880769
