公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 义乌市烫画有限公司	刘芳	13777517393	浙江 金华
浙江水上体育用品有限公司	林海	13646525128	浙江 温州
杭州礼诚服饰有限公司	姜燕	18367176380	浙江 杭州
浙江浪莎袜业股份有限公司	巩泊君	15689072169	浙江 金华浪莎袜业股份有限公司公司电话：400-6683735
宁波东钱湖旅游度假区景余东方服饰有限公司	徐自强	18668570763	浙江 宁波
宝乐箱包厂	李现星	13758933342	浙江 中国浙江东阳市东阳三联镇公司电话：86057986431003
诸暨市伟丰袜业有限公司	叶成伟	13819525662	浙江 中国浙江诸暨市浙江省诸暨市暨阳街道叶家村公司电话：86057587332307公司传真：057587332766
浙江方舟实业有限公司	杨桂玉	13185580210	浙江 天津中国浙江诸暨市经济开发区望云西路183-185公司电话：8657587178755/6/8/9公司传真：057587102288
05758773509	骆银权	称：诸暨市大唐银瑞化纤厂	浙江 中国浙江诸暨市大唐轻纺袜业市场A区120号公司电话：8605758773509
义乌市尚简电子商务商行	方超	15057913341	浙江 中国浙江义乌市国际商贸城3期公司电话：86057985703311
057456679908	5058282312	称：宁波市鄞州雨衡箱包厂	浙江 宁波中国浙江宁波市集仕港镇下车任公司电话：86057456679908公司传真：057456679933
05738869958	毛忠明	称：商丘市毛毛袜业有限公司	浙江 天津中国浙江桐乡市桐乡经济开发区屠甸分区448号公司电话：8605738869958公司传真：05738861958
桐乡市洲泉维卡姿皮鞋厂	刘丹丹	13819318845	浙江 中国浙江桐乡市维卡姿鞋业有限公司
义乌小米饰品厂	张小米	13017979325	浙江 中国浙江义乌市义乌国际商贸城公司电话：86057986882903公司传真：057986882903
海宁市星博袜厂	张沈英	13757329168	浙江 中国浙江海宁市马桥街道公司电话：086057387987907公司传真：057387987907
温州聚商电子商务有限公司	罗春太	18968700218	浙江 温州中国浙江温州市龙湾区经济技术开发区双车路68号公司电话：86057785506123公司传真：057788996138
海宁金益袜业有限公司	柴浩杰	13586310057	浙江 中国浙江海宁市浙江省海宁市中国经编工业科技园区红旗...公司电话：86057387761086公司传真：057387036068
浙江霸郎鞋业有限公司	夏	13295777771	浙江 中国浙江瑞安市瑞安市公司电话：86057765116002公司传真：057765116005
奥洪鞋业有限公司	王蓓蓓	15005861238	浙江 中国浙江温岭市横峰街道公司电话：86057686336782
高广纺织品有限公司	黄林	15858437319	浙江 中国浙江慈溪市掌起镇工业路10号高广纺织品有限公司公司电话：86057463773675
义乌市中荣袜厂	张荣耀	13516932882	浙江 中国浙江义乌市国际商贸城三期四区西81#门11街31709B,...公司电话：0579-81533172公司传真：0579-85406867
浙江宝娜斯袜业有限公司	谭菲菲	18658927610	浙江 中国浙江义乌市机场路627号公司电话：86057989980979公司传真：057989980977
义乌依莎饰品有限公司	李松岩	13216209510	浙江 中国浙江义乌市童店二区43栋2号401公司电话：8605795120004公司传真：05795127227
057488227160	赵雪	称：佳美纺织有限公司	浙江 宁波中国浙江宁波市宁波市鄞州区万达广场48克拉1009室公司电话：86057488227160公司传真： 
海盐通元诚谊袜厂	胡远明	13706835221	浙江 浙江海盐通元公司电话：0573-6617287公司传真：0573-6617287
海宁市硖石汤汤公主婴幼儿用品店	汤贤龙	13611977044	浙江 中国浙江海宁市中央商场芙蓉里11幢45号
温州仁仁轻工奢侈品包装厂	白棋华	13858882224	浙江 温州中国浙江温州市瓯海区泽雅镇仁人工业园公司电话：8657786189999
