公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 杭州万通合塑胶有限公司	刘线	18668212026	浙江 杭州
宁波瑞克英诺环保科技有限公司	勇超瑞	13056712188	浙江 宁波慈溪市横河镇石堰兴业路281号公司官网：https://innortech.1688.com/
杭州上蝶管道阀门有限公司	王岩豪	18969026063	浙江 杭州
浙江长兴初日环保机械设备有限公司	赵利金	13967251961	浙江 湖州中国浙江长兴县林城镇西街林城粮油路53号公司电话：8605726087312公司传真：05726087731
义乌市优适滤水工程有限公司	周宝玉	13625893255	浙江 中国浙江义乌市江东中路482号公司电话：8657985398856公司传真：057985397360
宁波宣溢水处理有限公司	李洁	15258167909	浙江 宁波中国浙江宁波市北仑区下邵姚墅工业区公司电话：86057486198068公司传真：057486197656
宁波圣蜜莱雅环保科技有限公司	陈丽丽	18100139203	浙江 宁波
宁波西屋净水科技有限公司	汪翔	15067421233	浙江 宁波
057463683372	刘元勋	称：源浚净水设备厂	浙江 中国浙江慈溪市慈溪市附海工业区公司电话：86057463683372
宁波优适滤水工程有限公司江西分公司	詹	15867308980	浙江 宁波中国浙江宁波市鄞州区首南街道新兴工业园区公司电话：86057428812962公司传真：057456877986
丰达凯莱净水设备有限公司	刘海涛	13757368871	浙江 中国浙江海宁市工人路100号0804公司电话：86057387090177公司传真：053787090177
71-87488723	：美的净水设备有限公司	0571-87488723	浙江 杭州中国.浙江省.杭州市公司电话：0571-87488723公司传真：0571-87488723
--	：安徽五洋矿贸有限公司	86-0576-82421616	浙江 宁波浙江 宁波市鄞州区 宁波古林镇公司电话：86-0576-82421616公司传真：86--
 0574 88540888	黄小虎	称：宁波奥柯汽车空调有限公司	浙江 宁波浙江 奉化市 宁波市奉化经济开发区西坞园公司官网：http://www.nballko.com.cn公司电话：86 0574 88540888公司传真：86 0574 88533088
-0574-87392187	叶先生先生(经理)	称：宁波千叶泳池桑拿设备有限公司	浙江 宁波浙江 宁波市 江东区兴宁路302弄12号公司电话：86-0574-87392187公司传真：86-0574-87392187
-0577-62208115	：科龙泉水处理器材（深圳）有限公司	86-0577-62208115	浙江 温州浙江 乐清市 115公司官网：http://www.szklq.com公司电话：86-0577-62208115公司传真：86-0577-62208115
温州市科达阀门有限公司	王秀玲	15057383098	浙江 温州
 0572 2175871	鲍民生	称：湖州新威华化工科技有限公司	浙江 湖州浙江 湖州市吴兴区 湖州阳光城82幢202室公司电话：86 0572 2175871公司传真：86 0572 2175871
-0579-3459157	王菊仙女士	称：义乌市炭之源竹炭制品厂	浙江 金华浙江 义乌市 义乌佛堂工业区公司电话：86-0579-3459157公司传真：86-0579-5742505
 0572 5817738	许良	称：浙江顺孚粘土化工有限公司	浙江 湖州浙江 安吉县 浙江省安吉县高禹镇公司官网：http://www.zj-Autofull.com公司电话：86 0572 5817738公司传真：86 0572 5817798
-571-87975289	：浙江省地宝矿业有限公司	86-571-85700179	浙江 杭州"浙江 杭州市 杭州亚洲城花园黄龙阁６号门6F16F2"公司电话：86-571-85700179公司传真：86-571-87975289
 0574 87578162	缪永波	称：宁波市江北兴天滤芯件厂	浙江 宁波浙江 宁波市 慈城镇日新路84号公司电话：86 0574 87578162公司传真：86 8757 8162
--	：正安五金丝网有限公司	86-579-2426799	浙江 金华浙江 金华市 劳动路278号公司电话：86-579-2426799公司传真：86--
 0574 63028071	陈永权	称：宁波经济技术开发区永权化工有限公司	浙江 宁波浙江 慈溪市 新浦镇开发区公司官网：http://www.nbcxcdb.com.cn公司电话：86 0574 63028071公司传真：86 0574 63028072
-0571-89051151	宋平先生	称：杭州樱多电器有限公司	浙江 杭州浙江 杭州市 杭州公司电话：86-0571-89051151公司传真：86--
-576-82510253	：台州市安涛塑料贸易有限公司销售部	86-576-82510152	浙江 台州浙江 台州市路桥区 路桥塑料化工市场1124号公司电话：86-576-82510152公司传真：86-576-82510253
--	：新德利建材有限公司	86-0572-6027202	浙江 湖州浙江 长兴县 李家巷镇杨家山公司电话：86-0572-6027202公司传真：86--
