公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 绍兴上虞斯莫有机化学研究所	小金	13157508769	浙江 绍兴
浙江东易耐火材料有限公司	莫文兴	15188405640	浙江 杭州
浙江三禾生物工程股份有限公司	王先生	13587011612	浙江 衢州浙江省江山市景星东路300号公司官网：www.zjshsw.com公司传真：0570-4692558
乐清市尔历光亮剂有限公司	王锡卯	13738769484	浙江 中国浙江乐清市柳市东岸工业区公司电话：86057762728200/62736878/62728977公司传真：057762736577
慈溪三茂贸易有限公司	史铁荣	13958268758	浙江 中国浙江慈溪市慈溪市宗汉街道公司电话：86057482310022公司传真：057463839721
永嘉县仁友防霉有限公司	张海珍	13858887551	浙江 温州中国浙江温州市温州浙南鞋料市场一街27号公司电话：86057788726308公司传真：057788726308
057182268807	金帅	称：杭州铭洁化工科技有限公司	浙江 杭州中国浙江杭州市萧山区河上镇公司电话：86057182268807
杭州兰茜化妆品有限公司	刘迎青	13588041975	浙江 杭州中国浙江杭州市杭州市余杭区闲林工业区闲兴路17号公司电话：8657188693177公司传真：057188693728
台州市黄岩官东塑料造粒厂	缪奇宏	13857617591	浙江 台州中国浙江台州市黄岩区东城街道王东路30号公司电话：86057684276782公司传真：057684276548
温州市鹿城区黄龙麦凯干燥剂厂	林成勇	13957788821	浙江 温州中国浙江温州市鹿城区温州市黄龙街道金钱庄87号公司电话：86057788781666/56874306公司传真：057756770128
宁波市鄞州绿色洗涤剂厂	吴永金	18968042977	浙江 宁波中国浙江宁波市鄞州区五乡镇公司电话：86057488338758公司传真：057488389576
57128909385	鲍	称：安徽升华新奥特化工有限公司	浙江 衢州中国浙江衢州市开发区公司电话：8657128909385公司传真：057188028105
杭州一洲化工有限公司	朱潇	18006785283	浙江 杭州中国浙江杭州市浙江桐庐经济开发区公司电话：86057118006785283
57682921119	孙良基	称：台州市古镇贸易有限公司	浙江 台州中国浙江台州市塑料化工市场15号楼8-C室公司电话：8657682921119公司传真：057682921117
乐清市鑫辉抛丸设备经营部	王平川	13819761935	浙江 中国浙江乐清市乐清公司电话：86057762872817公司传真：057762872817
	3989397607	称：宁海勃兴清洗剂厂	浙江 宁波浙江省宁波市宁海县梅林街道杨梅岭村公司传真： 
浙江天乐天生物科技有限公司	唐小飞	13616519191	浙江 中国浙江江山市淤头岗公司电话：8657188382662
057985167256/85167257	陈新民	称：浙江劲豹日化有限公司	浙江 深圳中国浙江义乌市义乌市福田市场H区27256店面公司电话：86057985167256/85167257公司传真：057985167255
湖州湖星日化有限公司	朱新跃	13906726580	浙江 湖州中国浙江湖州市紫金桥路518号公司电话：8605722263669公司传真：05722263669
江山市三联化工有限公司	王娟	13989553377	浙江 绍兴中国浙江绍兴县袍江工业园公司电话：8605704333868公司传真：057588156698
绍兴冯炜菲有限公司	冯炜菲	18868193429	浙江 绍兴
庆元县蓝天绿谷实业有限公司	蓝飞	13905784018	浙江 丽水中国浙江丽水市庆元县工业路客服QQ：...公司电话：8605786127188/6228118/6380099公司传真：05786124177
宁波市甬辉塑化有限公司	林萍	13957415218	浙江 中国浙江余姚市中国塑料城A区A369公司电话：8657422650029公司传真：057428526458
浙江舟山红杉科贸有限公司	曹文渊	13515808028	浙江 舟山中国浙江舟山市浙江舟山定海檀枫新苑56幢602公司电话：8605802027198
浙江冠旗纳米科技有限公司	陈一	13626707927	浙江 衢州公司电话：0570-4222272
三门县华迈化工产品有限公司	张先生	18072526386	浙江 台州公司电话：0576-83104882
杭州格茹生物科技有限公司	李娜	18258278929	浙江 杭州公司电话：0571-88778469
