公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 浙江华匡光电科技有限公司	王志军	13735528730	浙江 杭州
浙江端齐照明科技有限公司	蒋忠威	15074727167	浙江 宁波
旭升照明有限公司	胡晓林	13736397119	浙江 温州浙江省乐清市天成工业园区公司电话：0577-62125555
安吉县海宏转椅配件厂	方海青	15606821229	浙江 湖州中国浙江安吉县浙江省安吉县地铺镇芝村村下芝村自然村...公司电话：8605725202559公司传真：05725202780
74-88233266	马国富	称：宁波市鄞州凯特电筒灯具厂	浙江 宁波浙江省宁波市鄞州区潘火公司电话：0574-88233266公司传真：0574-88235211
乐清市绿光照明实业有限公司	陈伟	13058965138	浙江 中国浙江义乌市国际商贸城F区四楼乐清馆32号公司电话：8657985191287公司传真：057985617732
上虞市飞华灯具配件厂	励飞燕	13858580971	浙江 中国浙江上虞市小越镇田家村后田公司电话：86057582031276
敏豪水晶厂	赵巧丽	13606798275	浙江 广州中国浙江浦江县浙江省浦江县广州古一瑞丰灯配城8幢4号...公司电话：86057984351520公司传真：057984351520
72-5670916	何雪燕	称：浙江安吉伊风木制品厂	浙江 浙江省安吉公司电话：0572-5670916公司传真：0572-5038717
乐清市森明电气有限公司（原乐清市森越达达金属加工厂...	陈秋惠	13588977887	浙江 中国浙江乐清市浙江省乐清市象阳镇桥前工业区（桥前村...公司电话：86057762622920公司传真：057762628175
鑫垄水晶饰品厂	应国胜	13868918115	浙江 中国浙江浦江县浙江省,浦江县公司电话：86057983136636公司传真：057984512177
义乌市华硕饰品配件商行	金立新	13655890188	浙江 中国浙江义乌市兴中小区6幢17号-5公司电话：86057985587156公司传真：057985587002
义乌市出众饰品配件商行	黄耿忠	15988533553	浙江 中国浙江义乌市义乌兴中小区7栋10号公司电话：86057985587236/85583835公司传真：057985583815
义乌市中圣工艺品有限公司	何松平	13665831888	浙江 中国浙江义乌市上溪玩具基地吴晗路16号公司电话：0086057985287789公司传真：057985852311
乐清市东扬电气有限公司技术部	计磊磊	13868785694	浙江 温州中国浙江温州市中国浙江省温州市柳市镇公司电话：86057761739266公司传真：057761739266
义乌市琼一饰品配件商行	应亦武	15967966658	浙江 中国浙江义乌市兴中专业街8栋8号3后门公司电话：86057985556137公司传真：057985556137
海宁市同创电气有限公司	陈斌	13506736316	浙江 中国浙江海宁市海宁市塘南西路一号财富大厦公司电话：0086057387298978公司传真：057387298978
奉化市陈明灯饰厂	陈园盛	13056727442	浙江 宁波中国浙江奉化市宁波市奉化塔水路13-5公司电话：86057456376522公司传真：057456376522
78-3131817	史林法	称：浙江省缙云光明灯管厂	浙江 丽水浙江省丽水市缙云县七里乡金弄汽配市场公司电话：0578-3131817公司传真：0578-3131817
1-26721597	彭	称：长城电器集团防爆电器有限公司	浙江 温州浙江温州公司电话：021-26721597公司传真：021-26721597
真彩光纤工艺品厂	王芹菊	13705793706	浙江 中国浙江义乌市义乌国际商贸城三楼区6383店面公司电话：8605795286383公司传真：05795286383
海宁市袁花顺隆灯管厂	倪建江	15988315598	浙江 中国浙江海宁市海宁市袁花镇西加油站西侧50米公司电话：86057387860169公司传真：057387860169
乐清市稳压器配件机械加工中心	唐朝伟	13587771523	浙江 中国浙江乐清市柳市镇象阳寺前田村公司电话：86057762623738公司传真：057789736235
宁波市北仑区瑞云粉末冶金有限公司	陈亿	13586904820	浙江 宁波中国浙江宁波市北仑区小港街道建设中乐公司电话：8657486192592公司传真：057486192596
伟盛饰品配件商行	杨勇伟	15988531845	浙江 中国浙江义乌市浙江省义乌市下朱D区11幢1单元401室公司电话：86057985206559公司传真：057985549384
剑波灯具配件厂	陈剑波	15058423702	浙江 中国浙江余姚市余姚梁弄公司电话：86057462361109
