公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 温州贝诺机械有限公司	周浩	18945277089	浙江 温州
浙江智恩电子科技	程先生	13732577668	浙江 嘉兴
浙江德智电器有限公司	张工	15868115082	浙江 杭州
博阳压缩机有限公司	陈钦林	13967901291	浙江 天津中国浙江兰溪市兰溪市经济开发区公司电话：8657988988582公司传真：057988948506
余姚市潜发机械部件厂	沈明祥	18658424077	浙江 中国浙江余姚市丈亭镇；柯家村130号公司电话：86057418658424077公司传真：057462974338
杭州清润科技有限公司	赵豪杰	18968038580	浙江 杭州中国浙江杭州市西园五路2号2幢134室公司电话：86057161077422公司传真：057161077422
杭州卓威换热器有限公司	蒋利伟	13967145423	浙江 杭州中国浙江杭州市萧山区闻堰镇山河村凌家坞工业区公司电话：86057186600522
杭州江滨热交换器有限公司	吴水夫	13958035583	浙江 杭州浙江省杭州市滨江区新生村陆家潭211号公司电话：0571-86611943公司传真：0571-86630650
杭州萧山河庄恩婷汽车用品商行	鲍恩利	15990056411	浙江 杭州中国浙江杭州市浙江省杭州市萧山区公司电话：086057182961430
大明冷风机有限公司	徐福永	15867917218	浙江 中国浙江永康市永康市象珠工业基地五进路249号公司电话：86057987567817
温州市龙大机械制造有限公司	邵连周	13676768828	浙江 温州中国浙江温州市温州市龙湾区瑶溪镇底岭下村前公司电话：86057786378828公司传真：057786899578
浙江高端阀门有限公司技术部	朱国强	15858791440	浙江 温州中国浙江永嘉县浙江温州市东瓯工业区公司电话：86057757769999
台州吉拓泵业有限公司	应英	18857651602	浙江 中国浙江温岭市大溪公司电话：86057686324396公司传真：057686310862
杭州贝森暖通设备有限公司	顾晓锋	15058105051	浙江 杭州中国浙江杭州市萧山区城厢街道湘湖社区公司电话：86057182361705公司传真：057182361703
奉化市晨雾冷风机厂	吴乖能	13116667688	浙江 中国浙江奉化市奉化民营科技园区公司电话：86057488811790公司传真：057488855271
宁波市鄞州中河阿诺瓦清洁用品商行	余滨锋	15888112351	浙江 宁波中国浙江宁波市鄞州区四明中路46号公司电话：86057488129239
台州太之星管业有限公司	马瑞！	13586197597	浙江 浙江公司电话：0576-87429399公司传真：0576-87416919
诸暨市冷风机厂	寿荣光	13456599377	浙江 浙江省诸暨市公司电话：0575-7155055公司传真：0575-7758106
057486452222	卢	称：宁波路石贸易有限公司	浙江 宁波中国浙江宁波市镇海公司电话：86057486452222公司传真：057486452222
57762762673	3587465623	称：温州瑞景电器有限公司	浙江 中国浙江乐清市柳市镇新光工业区公司电话：8657762762673
浙江科奥机电五金市场德美暖通设备材料商行	谷静	13456801796	浙江 杭州中国浙江杭州市下城区石桥路219号浙江科奥机电五金市...公司电话：86057188048356/88937643/88754263公司传真：05718804835688754263
-0571-63477778	王石先生(经理)	称：富阳益祥环保设备有限公司	浙江 杭州浙江 富阳市 浙江富阳春建工业工能区3号公司电话：86-0571-63477778公司传真：86-0571-63477728
-0574-68875468-824	储彬先生	称：高力科技（宁波）有限公司*业务部	浙江 宁波浙江 宁波市 宁波市北仑区保税西区创业四路八号公司官网：http://KAORInb.com公司电话：86-0574-68875468-824公司传真：86-0574-86867208
-0575-3342402	过峰峰先生(总经理)	称：浙江省嵊州市华峰制冷通风工贸有限公司	浙江 绍兴浙江 嵊州市 仙湖路820号公司电话：86-0575-3342402公司传真：86-0575-3550560
 0574 63322376	劳映红	称：慈溪市浙东金属容器制造厂	浙江 宁波浙江 慈溪市 周巷镇滨江路319号公司官网：http://www.cn-zhedong.com公司电话：86 0574 63322376公司传真：86 0574 63322378
-0572-2836111	刘青先生	称：湖州青彩金属容器有限公司	浙江 湖州浙江 湖州市 南浔经济开发区公司电话：86-0572-2836111
-0571-86194018	彭建军先生	称：杭州协同印染机械有限公司	浙江 杭州浙江 杭州市 余杭区乔司镇大井小学旁公司电话：86-0571-86194018公司传真：86--
