公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 温州猛工液压叉车有限公司	徐俊	18867746289	浙江 温州温州市龙湾永强大道公司官网：www.wzmenggong.com公司传真：0577-88103219
杭州海轩叉车有限公司	汪柯杰	18257174564	浙江 杭州
杭州易叠贸易有限公司	李慧华	13133902250	浙江 杭州
宁波天盛叉车有限公司	胡罗平	18057453336	浙江 宁波中国浙江宁波市宁波市江北区东昌路359号（329国道旁）公司电话：86057418057453336公司传真：057487678307
温州振瑞汽车配件有限公司	陈增瑞	13736900865	浙江 中国浙江瑞安市望东路2号公司电话：86057765626598公司传真：057765626778
浙江德马工业设备有限公司	徐燕飞	15067248186	浙江 湖州浙江省湖州市埭溪镇上强工业园区茅坞路6号公司官网：www.damonroller.com公司电话：0572-3826065公司传真：0572-3826080
美佳五金货架有限公司	姚活泼	13750933912	浙江 中国浙江义乌市江东镇青岩刘村公司电话：86057985566780公司传真：057985566780
瑞安市利未汽车配件厂	薛春海	13906875335	浙江 中国浙江瑞安市汀田镇工业区公司电话：86057765111339公司传真：057765111339
义乌市创博货架商行	蒋万巨	15857904188	浙江 中国浙江义乌市义乌市稠州中路59号-2
余姚市舜云箱柜货架有限公司	董云奎	13805805074	浙江 中国浙江余姚市余姚市西北街道子陵路11号公司电话：86057462638856
宁波旺盛仓储设施有限公司	王庆中	13567929253	浙江 宁波中国浙江宁波市浙江省宁波市鄞州区诚招各地代理商公司电话：86057481000858公司传真：057481000858
乐清市旭升照明有限公司（销售部门）	李风	13868779698	浙江 中国浙江乐清市浙江乐清市天成工业园区公司电话：86057727866622公司传真：057762128889
057682929722	马灵	称：台州市路桥红遍天货架制造厂	浙江 台州中国浙江台州市路桥区路桥公司电话：86057682929722公司传真：057682929722
杭州仁宏展览器材用品有限公司	陈永清	13067700215	浙江 杭州中国浙江杭州市下城区杭州市西湖区转塘镇南村225号公司电话：86057187649218公司传真：057187646626
浙江省杭州沃德智能家具配件公司	左冲	13157193051	浙江 杭州中国浙江杭州市浙江省杭州留下镇工厂公司电话：8657187775900公司传真：057187775900
台州旭田包装机械有限公司	苏先生	15957619804	浙江 台州公司电话：0576-89081320
宁波市鄞州大卫金属制品有限公司	沈经理	13429347003	浙江 宁波
永康市汇峰仓储设备厂	王卓	15268634158	浙江 金华
嘉兴市优尼可机械制造有限公司	优尼可	13736436031	浙江 嘉兴公司电话：0573-82808763
杭州昱透实业有限公司	温莉莉	18989891319	浙江 杭州中国浙江杭州经济技术开发区白杨街道经四支路公司官网：http://www.china-rebot.com公司电话：0571-87609999公司传真：0571-87609999
杭州鑫格林电动车辆制造有限公司	吕鑫钢	13705719642	浙江 杭州杭州市西湖区双浦镇下杨村公司电话：0571-88060637
温州猛工液压叉车有限公司	徐俊	18867746289	浙江 温州温州市龙湾永强大道公司官网：www.wzmenggong.com公司传真：0577-88103219
杭州海轩叉车有限公司	汪柯杰	18257174564	浙江 杭州
杭州易叠贸易有限公司	李慧华	13133902250	浙江 杭州
温州猛工液压叉车有限公司	徐俊	18867746289	浙江 温州温州市龙湾永强大道公司官网：www.wzmenggong.com公司传真：0577-88103219
杭州海轩叉车有限公司	汪柯杰	18257174564	浙江 杭州
杭州易叠贸易有限公司	李慧华	13133902250	浙江 杭州
