公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 蜂窝活性炭有限公司	曾兴	13616883729	浙江 宁波
瑞安市天蓝环保设备有限公司	詹碧涛	18968087184	浙江 温州公司官网：http://www.ratlhb.com
浙江伊贝风机制造有限公司	黄星	13906567101	浙江 台州
台州春鼎机械制造有限公司	殷兵云	13506867667	浙江 台州
浙江杭州余杭区世纪大道	莫经理	13588135463	浙江 杭州tujm yukmj
浙江德昌环保材料有限公司	李经理	18856767878	浙江 杭州
杭州陆恒生物科技有限公司	吴灵锋	18157178257	浙江 杭州杭州市江干区九环路63号5幢2楼公司电话：0571-56011629公司传真：0571-56515259
慈溪市吉祥容器有限公司	周刚福	15058498249	浙江 宁波浙江省慈溪市横河工业园区公司官网：www.cxjxrq.com公司电话：010-057463834069
杭州陆恒生物科技有限公司	张益佳	18158106725	浙江 杭州九环路63号5幢2楼公司官网：https://lcyq11.cn.china.cn/公司电话：0571-56011629公司传真：0571-56515259
浙江久恩风机有限公司	孙小姐	13676861721	浙江 绍兴
杭州友洁环保科技有限公司	周俊	18334379554	浙江 杭州杭州市萧山区蜀山街道万源路1号公司官网：http://www.youjiehb.com公司电话：0571-82592175公司传真：0571-82592175
乐清市天网防爆电器有限公司	王浩灵	15958788721	浙江 温州
衢州浙能电气有限公司	王芝	15157079115	浙江 衢州中国浙江衢州市衢州市经济技术开发区公司电话：8605708270278公司传真：05708270268
浙江正太冷风机厂	赵永明	13750933688	浙江 金华中国.浙江省.金华市.义乌市浙江省义乌市大陈镇工业园...公司电话：0579-85760310,0579-85760310公司传真：0579-85966719
杭州华晃环保设备成套有限公司	姜智娟	15988119347	浙江 杭州中国浙江杭州市西湖区杭州市西湖区文三路478号华星时...公司电话：8657185668282公司传真：0571-88210218
71-63271388	阮夏庭	称：富阳振兴活性炭厂	浙江 杭州浙江省杭州市富阳市洞桥镇俞家山公司电话：0571-63271388公司传真： 
慈溪市一化填料厂	胡仙儿	13906749688	浙江 宁波浙江省宁波市慈溪市新浦镇余家路村双庆浦西路公司传真：0574-63578066
国电南瑞华宁自动化设备有限公司温州销售部	梅雪	13757796011	浙江 北京中国浙江乐清市柳市大兴西路361号公司电话：86057727871115公司传真：057727828116
苏州净泉环保设备有限公司	何继胜	18858339266	浙江 嘉兴中国浙江嘉善县嘉善台商经济开发区公司电话：86057384126935公司传真：057384126937
杭州宏合鼓风机厂	俞兴成	13858172017	浙江 杭州中国浙江杭州市萧山区杭州市萧山区浦阳镇尖湖工业园区公司电话：86057182320516公司传真：057152320516
海宁市亚东过滤设备有限公司	顾苗良	13906738195	浙江 中国浙江海宁市盐官镇郭店建设路261号公司电话：86057387688515公司传真：057387682580
74-62648328	3395848512	称：鑫龙空调器材有限公司	浙江 中国·浙江省·余姚市，模具城金盛路188号公司电话：0574-62648328公司传真：0574-62646328
057163591519	吕瑛伟	称：富阳市亚太通风机械厂	浙江 杭州中国浙江富阳市杭州富阳灵桥工业园区公司电话：86057163591519公司传真：057163553858
2100	：浙江思科国祥制冷设备有限公司	浙江省东阳经济开发区城北工业新区长松岗功能区B-6地...	浙江 天津浙江省东阳经济开发区城北工业新区长松岗功能区B-6地...
永嘉县瓯北街道连温泵阀厂	余学迪	18968986112	浙江 温州
上海鸣豹空压机有限公司	程海兵	15356315648	浙江 台州中国浙江温岭市浙江省台州市公司电话：86057686351180公司传真：057686351180
