公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 义乌市火晶甲虫箱包有限公司	黄丽萍	15356913171	浙江 金华
义乌市尔彩皮具有限公司	李梦	18072738581	浙江 金华义乌市江东路越阳2区
义乌金迈皮具有限公司	谢连	15815296451	浙江 金华义乌市苏溪镇高岭村35幢2号
浙江金华浙中箱包公司	鲍春林	15724937931	浙江 金华中国浙江金华市婺城区白龙桥公司电话：8618757643963
宁海锦华织带有限公司	阮建立	18968378299	浙江 中国浙江宁海县宁海梅林街道伍富村塔山头公司电话：86057465505151公司传真：057465505150
温州市骏马皮具厂	郑高明	18657962276	浙江 中国浙江义乌市义乌市国际商贸城F区10828商位公司电话：86057985185135
义乌海纳箱包厂	覃如海	13175537986	浙江 中国浙江义乌市义乌市下湾四区1栋公司电话：86057985596416公司传真：057985596416
8657985166662	吴晓威	称：义乌市安得箱包厂	浙江 中国浙江义乌市义乌苏溪马丁工业区3幢8号公司电话：008657985166662公司传真：057985450579
义乌市蔡永梯电子商务商行	蔡永梯	15957949097	浙江 中国浙江义乌市义乌市商博路101号
高达箱包厂	朱丽容	13735600980	浙江 广州中国浙江东阳市浙江省东阳市白云街道五马塘银田畈新村公司电话：86057986366765公司传真：057986366765
义乌市志豪皮具厂	金女士	15068060796	浙江 金华
义乌市唯酷箱包厂	李攀	15925973679	浙江 金华中国浙江义乌市浙江金华公司电话：86057985922589公司传真：057985922849
远航箱包厂	张重	15058500640	浙江 中国浙江义乌市义乌市苏溪马丁工业区公司电话：86057985913669公司传真：057985911290
义乌市博洋箱包工艺有限公司	陈小姐	13750952091	浙江 中国浙江义乌市义乌市公司电话：8657985227295公司传真：057985227295
义乌广利织带有限公司	周淮政	13957953692	浙江 中国浙江义乌市中国义乌小商品城8621摊位公司电话：86057985645660公司传真：057985645660
5798648108	君伟	称：伟业箱包厂	浙江 中国浙江义乌市义乌工业区15号公司电话：865798648108
义乌万德贸易批发有限公司	曾书毅	15967251572	浙江 中国浙江义乌市端头新村3区20幢2单元402公司电话：86057985046085公司传真：057985046085
义乌山河织带厂	田龙华	13095888104	浙江 中国浙江义乌市义亭镇雅文楼117号公司电话：8657985811137公司传真：057985811137
义乌明亮箱包厂	吴明	13157999050	浙江 深圳中国浙江义乌市福田市场H区24732公司电话：86057985164732
义乌市凯美箱包有限公司	胡桂连	15958916760	浙江 深圳中国浙江义乌市义乌福田三区25幢3号401公司电话：8657985792215公司传真：057985792215
思特箱包有限公司	陈波波	18967400869	浙江 中山中国浙江义乌市义乌青口西区公司电话：86057985437833公司传真：057985437833
杰龙箱包厂	吴建芳	15988503051	浙江 中国浙江义乌市商博路东洲花园观山苑6幢2401公司电话：86057985122369公司传真：057985101797
宁波青文扬光贸易有限公司	周文科	13968358177	浙江 宁波中国浙江宁波市宁波市联盛商业广场A区136公司电话：86057489028839公司传真：057489028839
057985039850	徐秀芳	称：义乌市依雪日用百货商行	浙江 中国浙江义乌市义乌无爱新村31栋1号公司电话：86057985039850
杭州安盛箱包有限公司	张佑菱	15068101828	浙江 杭州中国浙江杭州市杭州市余杭区临平兴旺工业城塘宁路37号公司电话：86057189170296公司传真：057189170295
05737041896	何学佳	称：海宁市艾迪尔进出口有限公司	浙江 海南省直辖中国浙江海宁市海宁市工人路122号东方商厦（原中远商...公司电话：8605737041896公司传真：05737041557
温州老陆箱包有限公司	杨林琴	13646773825	浙江 温州中国浙江温州市龙港人民路363号公司电话：86057759999670
