公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 舟山市合力印刷包装有限公司	杜奇正	13186792475	浙江 舟山
香港路丰实业有限公司	彭鹭飞	13819182949	浙江 杭州
杭州骄阳装饰材料有限公司	李亚	15088756637	浙江 杭州临平镇临平大道493号斯泰科技园2栋2楼
泰顺县利青来料加工厂	夏克来	13958981001	浙江 温州中国浙江泰顺县泰顺县新浦新洋路12号公司电话：010057767636613
绍兴市日鑫助剂厂	陈伟剑	18006668885	浙江 绍兴中国浙江绍兴市袍江工业区育贤路198号文昌雅苑4幢1单...公司电话：8657588031285公司传真：057588049927
乐清市虹桥五丰遮阳篷厂	黄嘉华	13968725071	浙江 中国浙江乐清市虹桥镇南工业区公司电话：860577623682201公司传真：057757115220
057985213096	罗赛	称：义乌市伟顺皮革商行	浙江 中国浙江义乌市南下朱B区31幢89号公司电话：86057985213096公司传真：057985213096
74-63440000-63440111	冯科洲	称：海尔斯（中国）体育用品有限公司	浙江 天津浙江省慈溪经济开发区（杭州湾新区）晓塘路北侧公司电话：0574-63440000-63440111公司传真：0574-63452580
广州福红箱包厂	车迎霞	13676803970	浙江 中国浙江义乌市青口公司电话：86057985729328公司传真：057985177931
77-86818689	项光国	称：温州人造革一厂	浙江 温州浙江省温州市龙湾区沙城镇永强大道2689号公司电话：0577-86818689公司传真：0577-86818589
温州天瑞建筑涂饰材料有限公司	郑崇光	13336980279	浙江 温州浙江省温州市鹿城区新城大道中园大厦11A公司传真：0577-88923858
苍男美晨箱包有限公司	jems.lei	13867915590	浙江 温州中国浙江温州市苍南钱库镇箱包市场公司电话：86057985592051公司传真：057985590810
苍南县龙港富万恒塑料制品厂	李孝亭	13646543562	浙江 温州中国浙江苍南县龙港镇.港河路294号公司电话：86057768632378公司传真：057764281213
海宁市海洲唐宁箱包行	李明	13967360909	浙江 中国浙江海宁市浙江省海宁市洛隆路188号公司电话：86057387925136
057686530052	童文山	称：温岭市豪利汽车用品厂	浙江 苏州中国浙江温岭市新河镇汽车用品园区三幢6号公司电话：86057686530052公司传真：057686530052
杭州润田化工有限公司	仲荣才	13989551622	浙江 杭州中国浙江杭州市江干区杭州市江干区秋涛北路83号2317室公司电话：86057189987889公司传真：057189987889
浙江浦江博森纺织用品有限公司	吴倩	15157913777	浙江 中国浙江浦江县人民东路149号公司电话：86057984112486公司传真：057988186988
面包树下的女人服装有限公司	面包树	13095947717	浙江 宁波中国浙江宁波市宁波市江东公司电话：86057413095947717
杭州江瑞华科技有限公司	方晓伟	13989890067	浙江 杭州中国浙江杭州市之江路大名空间1102室公司电话：86057185863398165公司传真：057185863378
浙江创佳世纪商贸有限公司	金剑锋	13958738881	浙江 温州中国浙江苍南县钱库镇金商里17号公司电话：8605776公司传真：0577-64476497
温州奔宇人造革有限公司外贸部	王程鸿	13917093817	浙江 温州中国浙江平阳县郑楼镇工业园区A1号公司电话：86057763783988公司传真：057763783288
杭州宝基化工有限公司	蔡远波	13777801488	浙江 杭州中国浙江杭州市杭州市公司电话：86057187379371公司传真：057186194099
057786175888	3600661284	称：温州市金飞来鞋底厂	浙江 温州中国浙江温州市瓯海区潘桥镇彭岙玉泉路48号公司电话：86057786175888公司传真：057786171222
上虞市德海化工有限公司	章素芳	13758567819	浙江 中国浙江上虞市上虞市道墟镇闰土大道闰土行政楼5层公司电话：0575-82519226公司传真：0575-82517131
慈溪市观海卫最最电器厂	徐玲	13777242500	浙江 宁波中国浙江宁波市慈溪市观海卫镇师东村后巴田46号公司电话：86057463652195
永嘉县瓯北镇爱女塑料包装制品厂	郑爱女	13868620786	浙江 温州中国浙江永嘉县瓯北镇龙桥村振兴巷33号公司电话：86057767351801公司传真：057767351801
杭州兴远箱包有限公司	谢红友	15858212131	浙江 杭州浙江省、杭州市、西湖区、三墩镇、山联工业区
