公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 宁波枫叶信德胶粘制品有限公司	阮善银	13957493033	浙江 宁波
宁波港集隆包装材料有限公司	程帅	15888566922	浙江 宁波
温州一物一码科技有限公司	吴清双	18225259748	浙江 温州浙江省温州市苍南县龙港镇仪绑工业区1栋5
义乌市久业机械设备有限公司	胡武青	15005899666	浙江 金华
杭州泰戈纸业有限公司	杨忠庭	13805730317	浙江 杭州
宁波市远景印刷有限公司	李威	18892672959	浙江 宁波
苍南县龙港新美纸箱厂	薛圣军	13858726011	浙江 温州中国浙江苍南县龙港镇龙洲东路55#公司电话：86057764196811公司传真：057764182318
台州晨荣纸品有限公司	何根财	13777670008	浙江 台州中国浙江台州市椒江区洪三路合作工业区公司电话：865768178629公司传真：05768178529
057186988670	王	称：福建恒安集团厦门商贸公司	浙江 杭州中国浙江杭州市凤起东路8号公司电话：86057186988670公司传真：057186988690
86057465165910	叶	称：宁嗨万福胶带公司	浙江 中国浙江宁海县工业区公司电话：0086057465165910公司传真：05746516590
苍南县龙港镇鑫力机械配件加工厂	温成多	13185814148	浙江 温州中国浙江平阳县平阳县敖江镇联南村公司电话：86057713185814148公司传真：057763689169
瑞安市鸿海机械有限公司	张丹	13587567960	浙江 中国浙江瑞安市飞云镇飞云西路68号公司电话：86057765022826公司传真：057765572826
临安锦腾通用机械厂	张以新	13588830748	浙江 杭州中国浙江临安市浙江省杭州临安市锦城镇锦南街道大塘路...公司电话：086057161071533
温岭市恒达纸品厂	毛玲新	13362660396	浙江 台州浙江省台州市温岭市箬横镇大路毛村公司电话：0576-86833099公司传真： 
79-5645812/5393182	余梓义	称：义乌市双达胶带厂	浙江 浙江省义乌市公司电话：0579-5645812/5393182公司传真：0579-5570885
057481096158	余国委	称：天台封箱胶带厂	浙江 台州中国浙江天台县天台始丰街道公司电话：86057481096158
余姚市科立华机械配件厂	杨炜锋	13675863999	浙江 杭州中国浙江杭州市杭州市西湖区黄龙世贸丽晶城玉泉苑5803公司电话：86057188210017公司传真：057188210765
奉化市兴博机械厂	王致兴	13616613110	浙江 中国浙江奉化市奉化岳林街圣墩村公司电话：86057488927768公司传真：057488928768
杭州飞点儿磁性剪纸有限公司	马玉英	13335997975	浙江 中国浙江义乌市浙江省义乌市国际商贸城三区73号门5楼...公司电话：86057981559622公司传真：057985572094
苍南康保纸杯厂	陈芝铜	15888233593	浙江 温州中国浙江苍南县钱库镇建西路公司电话：86057768502577公司传真：057768502577
宁波市双盈托盘厂	李	13008900007	浙江 宁波中国浙江宁波市宁波世界贸易中心副楼1018公司电话：8657487176641公司传真：057487176640
绍兴县联益包装纸品厂	倪新娟	13806742007	浙江 绍兴中国浙江绍兴县漓渚镇工业园区公司电话：86057584013297公司传真：057584013878
金海纸制品厂	林锘	15857750977	浙江 温州中国浙江苍南县龙港龙巴路地区公司电话：86057764331461公司传真：057764331461
俊佳胶带厂	楼国英	15305891165	浙江 中国浙江义乌市浙江省义乌市苏溪镇八达街公司电话：86057985916695
瑞安市叶子纸塑包装有限公司	曾步高	13806845585	浙江 温州
浙江衢州素邦电子商务有限公司	吴文飞	18128153993	浙江 衢州
义乌市鼎诚包装材料有限公司	闵勇	15868953911	浙江 金华
