公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 浙江永康文辉礼宾花制造有限公司	郑东风	15858953384	浙江 金华
浙江绍兴县华舍本正割边厂	骆向民	18857558771	浙江 绍兴
乐清市环龙机器厂	章晓兵	13456092110	浙江 温州
浙江义乌久鼎实业有限公司	周经理	13454983009	浙江 中国浙江义乌市江东街道下王新村C区53302公司电话：86057985170358公司传真：057985170356
恒源办公设备有限公司	jacky	15057915565	浙江 中国浙江义乌市童店新村66栋2号203室公司电话：8657915057915565
义乌市平恒贸易百货商行	张春艳	13867901049	浙江 中国浙江义乌市义乌国际商贸城三期公司电话：86057985364187公司传真：057985364187
武汉兴发塑料制品有限公司	樊小姐	13777511655	浙江 中国浙江义乌市浙江义乌越阳二区23栋2号公司电话：86057985360324公司传真：057985360634
杭州德力聚氟玻纤有限公司	戴方林	13777355174	浙江 杭州中国浙江杭州市下城区杭州下城区德胜中路388号长城机...公司电话：86057185382092公司传真：057185382092
义乌市妙祥日用百货商行	刘娜	15057964212	浙江 中国浙江义乌市国际商贸城77号门4区2楼12街35051摊位公司电话：86057985296659公司传真：057985296659
杨氏不干胶制品厂	杨钰燕	13505879161	浙江 温州中国浙江温州市乐清柳市公司电话：86057727810612公司传真：057727810612
金华市万得福工艺品有限公司	张一为	13355795519	浙江 金华中国浙江金华市双溪西路191号恒丰大厦9楼910公司电话：865792385016公司传真：05792385196
海宁市海港纸管厂	郑伟亮	13615734500	浙江 中国浙江海宁市海宁市金石工业园公司电话：86057387700133公司传真：057387700133
057764309018	3676470668	称：苍南龙港水门工艺纸管厂	浙江 温州中国浙江温州市温州市龙港镇水门村3031号公司电话：86057764309018公司传真：057764309018
义乌恒旺包装盒厂	邓乐群	18967986379	浙江 中国浙江义乌市城西工业区东河公司电话：86057918967986379
057383280871	陆凯华	称：嘉兴市南湖区利华纸管厂	浙江 嘉兴中国浙江嘉兴市南湖区嘉兴市南湖区新丰镇公司电话：86057383280871公司传真：057383280871
苍南县综艺纸罐厂	郑和金	13858733587	浙江 温州中国浙江温州市浙江温州苍南县钱库镇张家庄村张东北路...公司电话：86057764585523
苏莱曼进出口有限公司	马平	13705795786	浙江 中国浙江义乌市义乌市文化路公司电话：8657985568515
温州华丰塑料宝塔管厂	王家豪	13057955300	浙江 温州中国浙江温州市温州市瓯海娄东工业区公司电话：86057786281219
慈溪市神迪塑胶有限公司	谢迪松	13967843359	浙江 中国浙江慈溪市周巷镇云城村谢家弄北区46号公司电话：86057463327689公司传真：057463327689
杭州欧林电子设备有限公司	田涛	13858094095	浙江 杭州中国浙江杭州市杭州市教工路198号公司电话：86057185383037公司传真：057188052595
宁波康浩家纺制品有限公司	朱蓓蓓	13806649934	浙江 无锡中国浙江慈溪市慈溪杭州湾新区滨海二路公司电话：8657423635854公司传真：0574-63079629
浙江苍南龙威纸罐厂	许道沈	15868531188	浙江 温州中国浙江苍南县龙港镇白河路502号公司电话：8615868531188公司传真：057759966681
台州市路桥盛茂机电配件厂	戴茂财	13957669018	浙江 台州中国浙江台州市路桥区金清镇卷桥村镇前东路２３９号公司电话：86057682713133公司传真：057682712133
86057188535655	周永明	称：杭州日通风机有限公司	浙江 杭州中国浙江杭州市余杭区瓶窑镇凤都工业园凤都路10号公司电话：0086057188535655公司传真：057188535622
 0577 64568827/13506535850	陈件	称：苍南县金乡华燕机械厂	浙江 温州中国 浙江 苍南县 金乡镇城北大街86号公司电话：86 0577 64568827/13506535850
356036888	许新锋	称：海宁国国纸管厂	浙江 嘉兴中国浙江海宁市许村镇永福村荡墩上公司电话：13356036888
 0577 13732001980	李统钻	称：苍南县恒发纸管厂	浙江 温州中国 浙江 苍南县 钱库镇李家车村173号公司电话：86 0577 13732001980
