公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 玉环万昌家政有限公司	孙邦明	13456645660	浙江 台州
慈溪宗汉富有家用电器商店	范先生	18868917180	浙江 宁波
杭州和飞节能设备有限公司	赵强	18368003456	浙江 杭州
东阳市吴宁广发家电维修服务部	客服	13335792869	浙江 金华
温州神龙家政维修	何秀锋	15967749882	浙江 温州
滨江振浦路附近家电维修公司	方甜甜	18005880629	浙江 杭州
宁波科蒂曼节能科技有限公司	钱女士	15824204441	浙江 宁波
杭州顺心维修服务有限公司	吴师傅	15394288929	浙江 杭州
海宁市科威工业电子科技有限公司	战学松	13511295999	浙江 中国浙江海宁市浙江省海宁市百汇海隆广场F026号公司电话：86057387029899公司传真：057387395208
慈溪市观海卫金磊自行车配件厂（普通合伙）	孙科峰	13626837123	浙江 中国浙江慈溪市中国浙江省慈溪市坎墩街道江边路72号公司电话：86057463096708公司传真：057463096708
德悦中国笔记本维修连锁机构杭州公司	张建伟	15858225513	浙江 杭州中国浙江杭州市西湖区杭州市文三路公司电话：86057156832438
71-56262711	施申财	称：杭州旧货天天回收公司	浙江 杭州浙江杭州公司电话：0571-56262711
金华市金广传媒广告有限公司	潘善红	13957997189	浙江 金华中国浙江金华市人民西路346号公司电话：0086057989105224公司传真：057989105219
057188958883	陈孝李	称：杭州三星一体机传真机维修专卖店	浙江 杭州中国浙江杭州市文三路369号数码大厦1215室公司电话：86057188958883公司传真：057156776929
宁波阿尔泰二手设备废品物资回收有限公司	王轴	13566019702	浙江 宁波中国浙江宁波市宁波南门旧货市场公司电话：86057487483193公司传真：057488052688
台州市诚信家电维修中心	徐从阳	15727887503	浙江 台州
77-63771118	陈千贤	称：温州鸿信通讯工程有限公司	浙江 温州浙江省温州市平阳县宋桥镇宋桥镇公路边公司电话：0577-63771118公司传真：0577-63771118
杭州旭昌科技有限公司	蔡师傅	13750872464	浙江 杭州
慈溪市宸铭机械设备有限公司	叶女士	13586599616	浙江 宁波
温州环通冷暖设备制造有限公司	陈清菊	13738791367	浙江 温州公司电话：0577-86565902
宁波鸿盛轮毂修复公司	显示	13396631363	浙江 宁波
绿色三谷科技环保杭州分公司	李来富	15658863128	浙江 杭州公司电话：0371-69067937
杭州城东空调安装公司	吴宇	18006781590	浙江 杭州公司电话：0571-86961670
杭州德重自动化工程有限公司	赖峰	18072858520	浙江 杭州公司电话：0571-87680180
杭州易卡搜汽车服务有限公司	车团长	13738036033	浙江 杭州公司电话：0571-88991811
宁波北仑诚信家电维修服务部	朱静	13355952591	浙江 宁波公司电话：0574-86988692
杭州实惠家政	曹师傅	18324423200	浙江 杭州公司电话：0571-85700256
