公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 湖州核晶环保机械有限公司	王朱建	18257205830	浙江 湖州浙江省湖州市三天门路860号公司传真：0572-2091685
杭州洁凯环保设备有限公司	马经理	15384063185	浙江 杭州经济技术开发区通惠12号新世界柏丽轩
杭州诺邦无纺股份有限公司	姜丽影	18375311803	浙江 杭州
临安兴盈食品有限公司	汪克庆	15906628080	浙江 深圳中国浙江临安市临安市龙岗镇新溪村公司电话：86057163635058公司传真： 
温州市瓯海区梧田金全液压配件厂	李娟	13738322872	浙江 温州中国浙江温州市温州市瓯海区南白象老街8号公司电话：86057713738322872公司传真：057786776540
77-65388011	董进云	称：瑞安鑫豪无纺布厂	浙江 浙江瑞安公司电话：0577-65388011公司传真：0577-65388022
永嘉县瓯北镇精盛液压件厂	刘月琴	15057592889	浙江 温州中国浙江永嘉县永嘉县瓯北镇千石大街大浦洋路48号公司电话：86057767915219公司传真：057767915219
余姚市一方塑业有限公司	方武	13586763588	浙江 中国浙江余姚市浙江省余姚市丈亭镇龙丰工业区公司电话：0086057462983100
嘉兴市富瑞森水刺无纺有限公司（分公司	何	13758092995	浙江 嘉兴中国浙江嘉兴市嘉兴市新丰工业园(竹林路口)公司电话：8605738312980913758092995公司传真：057383128518
上虞市华丰实验仪器厂	章月夫	13575522667	浙江 中国浙江上虞市上虞市道墟镇镇西路11号公司电话：86057582047998公司传真：057582042005
杭州翔源压滤机有限公司	戴更强	13735888108	浙江 杭州中国浙江杭州市余杭区余杭区径山镇小古城村公司电话：86057188583971公司传真：057188581796
057985551383	黄荣森	称：义乌市顺昌无纺布店	浙江 中国浙江义乌市义乌市国际商贸城五区97号门三楼四街...公司电话：86057985551383公司传真：057981063520
丽水市徐盛堂食品有限公司	夏杰锋	18606788591	浙江 丽水中国浙江丽水市莲都区天宁工业园区微电机园区A13公司电话：8605782788464公司传真：0578-2788464
浙江金鸟压滤机有限公司	陈航	13906532931	浙江 湖州浙江省长兴县泗安镇工业区公司电话：0571-88193463公司传真：0571-88091216
玉环县陈屿叶旺机械阀门厂	黄叶旺	13706558158	浙江 台州中国浙江台州市浙江省玉环县珠港镇仰天湖村公司电话：86057687355555公司传真：057687336399
温州市福达液压附件厂	李寿明	13758456137	浙江 温州中国浙江温州市温州市瓯海区公司电话：86057786678683公司传真：057786678683
71-23650509	谢列	称：杭州临安华迅水刺布有限公司	浙江 中国 浙江 临安市 环城东路31号公司电话：0571-23650509公司传真：0571-63733783
杭州冠虹压滤机有限公司	张红卫	15168460618	浙江 杭州中国浙江杭州市拱康路118号公司电话：86057186087872
57488531255	王斌	称：奉化市鑫焕无纺布制品厂	浙江 宁波中国浙江宁波市奉化西坞公司电话：8657488531255
临安市清丰食品厂	任超雄	15906686378	浙江 中国浙江临安市临安市清凉峰镇公司电话：86057163624127公司传真：057163624127
浙江临安一希达无纺布厂	李新建	13429662402	浙江 中国浙江临安市浙江临安市玲珑街道徐家坞196号公司电话：86057163807351公司传真：057163750839
	：嘉善森海粘合剂厂	0573-4517358	浙江 嘉兴浙江省嘉兴市嘉善县干窑镇公司电话：0573-4517358公司传真： 
浙江天台永兴无纺有限公司	陈淋婷	13706548609	浙江 台州中国浙江天台县平桥镇振兴北路8号公司电话：057683665822公司传真：057683665822
浙江中谷无纺布有限公司	杨仲会	18858849268	浙江 温州中国浙江苍南县浙江温州龙港人民路285号公司电话：86057768621318公司传真：057768664318
宁波通达空压机配件制造厂	黄超	13858247570	浙江 宁波中国浙江宁波市浙江省宁波市江北区人民路366公司电话：86057487677109公司传真：057487660990
天台成宇过滤设备有限公司	庞军华	13750672585	浙江 台州中国浙江台州市天台县平桥镇赵家岱公司电话：086057683682822公司传真：057683682811
