公司名称 {:<} 	 联系人 {:<} 	 电话 {:<} 	 地址 {:<} 	
 杭州钢宇科技有限公司	钢宇	15336545170	浙江 杭州
杭州顾佳休闲用品有限公司	姚翠芳	13867181159	浙江 杭州
舟山市普陀区桃花镇海豚家园	干惠芬	13868207201	浙江 舟山浙江省舟山市普陀区桃花镇塔湾村龙头坑54号公司官网：http://www.haitunjiayuan.com
义乌市虎扑电子商务商行	胡先生	18267040793	浙江 金华
宁波赛特运动器材有限公司	张朝欣	13621624914	浙江 宁波
永康市东城威踏健身器材商行	高可利	13605892480	浙江 金华
永康市蓝兔金属制品厂	应烈	13858934100	浙江 中国浙江永康市永康市芝英街道后庄路53号公司电话：86057913905894849
义乌哈林户外野营用具有限公司	何云龙	18969356269	浙江 中国浙江义乌市城西街道井头徐209号公司电话：8657985600770公司传真：057985895266
宁波博达体育用品有限公司	吴建柱	13505843668	浙江 宁波中国浙江慈溪市宁波慈溪周巷公司电话：860574634984378公司传真：057463498408
永康市永诚休闲用品厂	吕飞航	13967451386	浙江 金华中国浙江永康市浙江.金华.永康西溪镇桐塘工业区公司电话：86057987401397公司传真：057987401397
义乌乐欣户外用品有限公司	谭红萍	13295791211	浙江 中国浙江义乌市国际商贸城FG中央大厅四楼L419326#公司电话：8657983464379公司传真：057983464379
宁波振奉帐篷厂	曹坤	13858360381	浙江 宁波中国浙江宁波市宁波北仑区小港镇红联村公司电话：86057426892025公司传真：0574-26892025
浙江金紫藤工贸有限公司	李红广	13106224444	浙江 重庆中国浙江永康市石柱镇厚仁村里新路86号公司电话：86057987356818公司传真：057987356818
7465297669	：宁波家良户外有限公司	86057465297599	浙江 宁波中国浙江宁波市浙江省宁海县公司电话：86057465297599公司传真：057465297669
乔耐户外休闲用品有限公司	彭建飞	13989824790	浙江 杭州中国浙江杭州市古墩路829号天亿家居广场公司电话：86057181020687公司传真：057186054651
义乌市卢青电子商务商行	杨义	15957985753	浙江 中国浙江义乌市春晗3区QQ：397648734公司电话：86057918066200169
057462450633	李	称：余姚市明英电器灯具厂外贸部	浙江 宁波中国浙江宁波市ADFA公司电话：86057462450633公司传真：057462467579
义乌市行足野营用具有限公司	吴成兵	18958487020	浙江 中国浙江义乌市楼下村三区20幢一号公司电话：0579-85793231公司传真：0579-85793231
慈溪市天元盛荣充气泵厂	许高军	13306740405	浙江 中国浙江慈溪市慈溪市天元镇潭北村茅甲工业区公司电话：86057487103333公司传真：057487103333
金华市艾而丹无纺制品有限公司	黄诗宗	15325919666	浙江 金华中国浙江金华市金东区浙江省金华市金东区郑店村公司电话：86057985173018公司传真：057985173208
义乌市雅居户外休闲用品有限公司	周丹青	15825776037	浙江 中国浙江义乌市义乌市国际商贸城F110112店面公司电话：86057985164427公司传真：057985164427
平阳县金尊工艺品厂	萧云达	15355928781	浙江 温州中国浙江平阳县建业路130号财税小区公司电话：86057763882859公司传真：057763882859
云和绿洲木制工艺品厂	黄春锋	13675860988	浙江 杭州中国浙江杭州市杭州余杭仁和镇公司电话：8657113675860988公司传真：057115158806556
杭州西子童车商行	李兆进	13588792800	浙江 杭州中国浙江杭州市萧山区义桥工业园区公司电话：86057182378400公司传真：057182378400
台州市宏旭文化用品有限公司	贺炜杰	13616682226	浙江 台州中国浙江台州市椒江区椒江加止上洋工业区公司电话：86057688312168
57465288229	徐红燕	称：三敏金属制品有限公司	浙江 宁波中国浙江宁波市宁海县城关公司电话：8657465288229公司传真：057465288380
武义泰勒霸邦工贸有限公司	Jacky	15356994231	浙江 中国浙江永康市中国浙江派溪工业区公司电话：8657987837823
